seed,method,batch_size,cpu_model,cpu_threads,cpu_interop_threads,torch_version,latency_batch_ms_median,latency_batch_ms_q1,latency_batch_ms_q3,latency_ms_per_observation,throughput_observations_per_second,latency_batch1_ms_median,latency_batch1_ms_q1,latency_batch1_ms_q3,forward_passes_per_observation,stored_parameters,model_state_kib_fp32,base_train_seconds,recovery_train_seconds,base_temperature,recovery_temperature,elapsed_seed_seconds
101,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.760099990060553,6.607549992622808,6.907649993081577,0.0015490604926811534,645552.5815322903,0.8441999962087721,0.8184999896911904,0.8614499965915456,1,19740,77.109375,20.65376600000309,26.628613999986555,0.9380179113447048,1.013935838404347,57.14148489999934
101,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.463199999416247,6.441650009946898,6.684499981929548,0.0014810265809844746,675207.3277005437,0.9125000215135515,0.905849999981001,0.9641499927965924,1,19740,77.109375,20.65376600000309,26.628613999986555,0.9380179113447048,1.013935838404347,57.14151640000637
101,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,52.858300012303516,52.63795000792015,53.23419999331236,0.012112351056898148,82560.35474058411,6.988400011323392,6.577849984751083,7.075300003634766,6,39493,154.26953125,20.65376600000309,26.628613999986555,0.9380179113447048,1.013935838404347,57.14154129999224
102,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.62580001517199,6.543850002344698,6.6648999927565455,0.0015182859796452773,658637.4460453318,0.888400012627244,0.8496499940520152,0.9054499969352037,1,19740,77.109375,15.066375299997162,18.380963599978713,0.818148697748099,0.870437656802158,41.87023509998107
102,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.813999993028119,6.603200003155507,6.986399996094406,0.0015614115474399907,640446.140954669,0.9377999813295901,0.9087000071303919,1.0035500017693266,1,19740,77.109375,15.066375299997162,18.380963599978713,0.818148697748099,0.870437656802158,41.87026519997744
102,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,53.52929999935441,52.83369999960996,54.38079999294132,0.012266109074095878,81525.44494421994,6.9444999971892685,6.859149987576529,7.083699994836934,6,39493,154.26953125,15.066375299997162,18.380963599978713,0.818148697748099,0.870437656802158,41.87028959998861
103,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.778499984648079,6.567899996298365,7.155300001613796,0.0015532768067479557,643800.2522510247,1.0024000075645745,0.9998000168707222,1.0588500008452684,1,19740,77.109375,13.786028100003023,16.69691810000222,0.5733853729876689,0.5810724158586605,38.87596630002372
103,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.877800013171509,6.825749995186925,6.894350008224137,0.00157603116708788,634505.2184772178,1.0235999943688512,0.976949988398701,1.0392499971203506,1,19740,77.109375,13.786028100003023,16.69691810000222,0.5733853729876689,0.5810724158586605,38.875995100010186
103,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,54.97309999191202,54.32784999720752,55.67909999808762,0.012596952335451885,79384.28068713713,7.706100004725158,7.630449996213429,7.843599989428185,6,39493,154.26953125,13.786028100003023,16.69691810000222,0.5733853729876689,0.5810724158586605,38.876018700015265
104,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.775699992431328,6.632149990764447,6.854649996967055,0.0015526351953325682,644066.2964527247,0.906300003407523,0.8742000063648447,0.9951499960152432,1,19740,77.109375,20.213953900005436,23.971918299997924,0.7249484208941313,0.7216325307731521,52.62766140000895
