replicate,negative_transfer_prevention,recovery_retention,full_selection_rate,safe_minus_pdrf_auroc,safe_minus_full_auroc
1,0.9175824175824175,0.13695529145444255,0.3637534818941504,0.003902958213017338,-0.005793922283323538
2,0.8045112781954887,0.22493224932249323,0.40033077994428967,0.0026024815769855048,-0.0036034619474818452
3,0.8803222094361335,0.148171109733416,0.499025069637883,0.005120476774596705,-0.003983374098123216
4,0.8856110776640578,0.19603680113234254,0.3221274373259053,0.002304426885661681,-0.001204270266243923
5,0.896351575456053,0.17511520737327188,0.32940459610027856,0.003916970695287292,-0.005327814362948491
6,0.9045012165450121,0.16301075268817206,0.3969359331476323,0.005833647111195384,-0.0051862541591661815
7,0.9819587628865979,0.051735874744724304,0.5570682451253481,0.005170212924081596,-0.003980980871932771
8,0.9067717996289425,0.1023535851122058,0.31497214484679664,0.003896002338167559,-0.0012695187399636154
9,0.914365933551708,0.15115751248297776,0.5343140668523677,0.007891614650867629,-0.0016351685864441912
10,0.9099399599733156,0.15056179775280898,0.3918523676880223,0.0046666247061377675,-0.001930646138753378
11,0.9113712374581939,0.15827338129496402,0.5313196378830084,0.004833687335008108,-0.003128004415159813
12,0.9036334913112164,0.15763813651137595,0.34402855153203343,0.005120298100693366,-0.001659729119573683
13,0.921556886227545,0.11463250168577209,0.401566852367688,0.0046916042835567495,-0.0003038401302313254
14,0.9516908212560387,0.07266260162601626,0.322649721448468,0.004197217851166446,-0.0031302073801900976
15,0.851221317542561,0.2705479452054795,0.3477367688022284,0.0037208171433901205,-0.0048667499171890505
16,0.8865116279069767,0.2129793510324484,0.4907033426183844,0.006064743439004094,-0.0032676278333062525
17,0.8729857819905213,0.17325017325017325,0.5228238161559888,0.005702433446377886,-0.0026367223850066734
18,0.9439083232810616,0.059834123222748815,0.3058147632311978,0.002575873504593096,-0.0015277667922085625
19,0.9330922242314648,0.15375586854460094,0.49737116991643454,0.008369567967067781,-0.0070338325516620115
20,0.9419398907103825,0.1150398406374502,0.5163126740947075,0.007040665228326803,-0.0035315510466891187
21,0.8836833602584814,0.14393305439330545,0.5023154596100279,0.003363296540573657,-0.0032153448127211215
22,0.8731117824773413,0.1945736434108527,0.5569986072423398,0.0046633351106728504,-0.0008628121109423015
23,0.9193954659949622,0.045689655172413794,0.3592966573816156,0.0004168257413217358,-0.0012759003688387338
24,0.8697771587743732,0.2493138151875572,0.5141887186629527,0.007515100643106454,-0.00581441892153256
25,0.9394856278366112,0.07991660875608061,0.31838440111420613,0.004303258663577614,-0.0036736100889700474
26,0.9303482587064676,0.06866952789699571,0.41512883008356544,0.004938003157561099,-0.004941425287942169
27,0.8986945169712793,0.195357833655706,0.5808147632311977,0.008833041560385557,-0.0022576760516256345
28,0.8866869918699187,0.21912955465587045,0.4900243732590529,0.005893115743895616,-0.0014912876414613363
29,0.883248730964467,0.17727025557368134,0.4907207520891365,0.005832333706812798,-0.00626558010737488
30,0.931067044381492,0.10591016548463357,0.36504178272980503,0.00506563849809305,-0.003328802538921871
31,0.8685162846803378,0.21235347159603246,0.6159818941504178,0.008458753362877158,-0.007623035174480153
32,0.8881640260950606,0.13636363636363635,0.5697597493036212,0.005038110648344252,-0.0011899626281967057
33,0.9151436031331592,0.158021712907117,0.23133704735376046,0.0027585562485086257,-0.0033414435978132984
34,0.8445558739255015,0.28955078125,0.4689066852367688,0.005447345818590188,-0.00648550789922675
35,0.9198036006546645,0.1620755925688661,0.45551880222841223,0.005240189660572159,-0.004293177616921162
36,0.887248322147651,0.18324607329842932,0.4679143454038997,0.002915338580310123,-0.0030778721365125605
37,0.9166221272047034,0.06379707916986933,0.48354805013927576,0.005217089282483989,0.0027172247304901864
38,0.9028609447771124,0.13704276146316333,0.3704038997214485,0.004849190280354687,-0.004423863115750271
39,0.9001029866117405,0.18518518518518517,0.43884052924791084,0.006349399246205811,-0.004406926177421888
40,0.8951342281879194,0.1673228346456693,0.49803272980501395,0.003986734657918323,-0.002440325883127925
41,0.9223809523809524,0.1608125264494287,0.3868906685236769,0.006095299415359801,-0.0037446729329388972
42,0.9075067024128687,0.10277492291880781,0.4870647632311978,0.0010878630111041954,7.160295408870088e-05
43,0.9299610894941635,0.06715328467153285,0.46885445682451254,0.005586242842690603,0.000488081157143494
44,0.9328063241106719,0.10409924487594391,0.5584610027855154,0.007431454952001482,-0.0034965202590188094
45,0.9188078108941419,0.07291666666666667,0.43419220055710306,0.00210677870992082,-0.002076691100153183
46,0.8271103896103896,0.26278563656147985,0.4763231197771588,0.004534442133992234,-0.00609675932433551
47,0.8856932153392331,0.1664626682986536,0.36272632311977715,0.004382481636281521,-0.002931176959115267
48,0.8923076923076922,0.27902439024390246,0.34418523676880225,0.004712900518821228,-0.009414970332657147
49,0.9643347050754458,0.07073057235923685,0.47378133704735376,0.007136793263574415,-0.004360217778335063
50,0.8466505246166263,0.2622139764996908,0.40614554317548746,0.004518226670730097,-0.0036739837116637197
51,0.8727134146341463,0.11463981409759876,0.3904944289693593,0.002732831986446471,0.0005319846713227605
52,0.9058988764044944,0.21394686907020874,0.4600974930362117,0.007244158094742659,-0.005412732390136066
53,0.9181547619047619,0.05175292153589316,0.38756963788300836,0.00420727630988571,0.0016345134432480535
54,0.8538205980066444,0.09991809991809991,0.4656685236768802,0.004183475384651136,-0.0026046555506633595
