seed,fold,feature_set,n_features,fit_rows,fit_recovery_positive,fit_negative_transfer,validation_rows,validation_groups,validation_informative,validation_recovery_positive,validation_negative_transfer,one_class_fit,n_iter,convergence_warning,converged
101,1,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,135,70,65,359,137,42,24,18,False,14,False,True
101,2,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,148,83,65,359,137,29,11,18,False,15,False,True
101,3,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,135,71,64,387,136,42,23,19,False,15,False,True
101,4,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,146,77,69,360,136,31,17,14,False,14,False,True
101,5,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,144,75,69,332,136,33,19,14,False,15,False,True
102,1,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,67,25,42,353,133,22,15,7,False,12,False,True
102,2,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,75,33,42,365,137,14,7,7,False,11,False,True
102,3,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,71,35,36,359,136,18,5,13,False,9,False,True
102,4,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,69,29,40,375,138,20,11,9,False,11,False,True
102,5,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,74,38,36,388,136,15,2,13,False,11,False,True
