seed,feature_set,n_features,informative_rows,recovery_positive_rows,negative_transfer_rows,safe_threshold,balanced_threshold,final_n_iter,final_converged,final_convergence_warning,selector_auroc,selector_auprc,selector_brier
101,confidence_entropy_6,6,177,94,83,0.875,0.5,12,True,False,0.8211996923865675,0.8684522283338931,0.1710766866399236
101,disagreement_5,5,177,94,83,0.9,0.675,10,True,False,0.8855421686746988,0.8812856919614609,0.13758262567398788
101,all_12,12,177,94,83,0.8,0.675,16,True,False,0.8882337862086644,0.8833855185843984,0.13486480208667698
102,confidence_entropy_6,6,89,40,49,0.875,0.55,8,True,False,0.8760204081632653,0.8560300463575129,0.13917845534314427
102,disagreement_5,5,89,40,49,0.825,0.575,11,True,False,0.8693877551020408,0.8560229399648359,0.14332528077516632
102,all_12,12,89,40,49,0.9,0.575,11,True,False,0.8938775510204081,0.8788517293299162,0.1263440421838634
103,confidence_entropy_6,6,90,49,41,0.875,0.575,8,True,False,0.8143354902936785,0.8471023851508427,0.17302719048778487
103,disagreement_5,5,90,49,41,0.825,0.675,10,True,False,0.7730214036834246,0.8060693732420149,0.1888792081238809
103,all_12,12,90,49,41,0.825,0.5,12,True,False,0.852165256346441,0.86295754009367,0.1545338674002843
104,confidence_entropy_6,6,89,67,22,0.75,0.525,10,True,False,0.9253731343283583,0.9772569507697599,0.10958888770203543
104,disagreement_5,5,89,67,22,0.7,0.5,8,True,False,0.9274084124830394,0.9769835289011628,0.11217739242304627
104,all_12,12,89,67,22,0.875,0.55,12,True,False,0.9382632293080053,0.9811212333028809,0.09293005307161542
105,confidence_entropy_6,6,194,122,72,0.775,0.525,10,True,False,0.6303506375227688,0.6936177049742955,0.23387535737481335
105,disagreement_5,5,194,122,72,0.825,0.825,11,True,False,0.7122040072859744,0.8123228980616679,0.20824399202673613
105,all_12,12,194,122,72,0.8,0.6,14,True,False,0.8656648451730419,0.9292207525501651,0.1432534938148189
106,confidence_entropy_6,6,92,62,30,0.8500000000000001,0.55,10,True,False,0.8198924731182796,0.9106618038663227,0.1705257372435625
106,disagreement_5,5,92,62,30,0.875,0.7,11,True,False,0.9451612903225806,0.9675464859486044,0.07262519946991895
106,all_12,12,92,62,30,0.875,0.5,12,True,False,0.9494623655913978,0.9711685931998728,0.07074915164462203
107,confidence_entropy_6,6,224,99,125,0.8,0.525,9,True,False,0.6765252525252525,0.620292937284615,0.23225588710691705
107,disagreement_5,5,224,99,125,0.9,0.5,10,True,False,0.8206868686868687,0.7885234291133737,0.18756879314988018
107,all_12,12,224,99,125,0.9,0.5,18,True,False,0.7912727272727272,0.7647443221595192,0.18825413872457797
108,confidence_entropy_6,6,122,54,68,0.8500000000000001,0.675,11,True,False,0.738562091503268,0.7444525546458036,0.20203603422178418
108,disagreement_5,5,122,54,68,0.875,0.55,11,True,False,0.8169934640522875,0.7223176870193333,0.19007572514063267
108,all_12,12,122,54,68,0.9,0.525,14,True,False,0.7905773420479302,0.735024667719731,0.18780224527768793
109,confidence_entropy_6,6,122,108,14,0.675,0.5,10,True,False,0.8214285714285714,0.9736235292494564,0.17933870832217338
109,disagreement_5,5,122,108,14,0.75,0.5,12,True,False,0.7175925925925927,0.9437177572029267,0.19176244868689715
109,all_12,12,122,108,14,0.725,0.55,15,True,False,0.8386243386243386,0.9720858809857793,0.13970269613080552
110,confidence_entropy_6,6,99,56,43,0.9,0.5,11,True,False,0.6931063122923589,0.7009426146732587,0.23104505496927655
110,disagreement_5,5,99,56,43,0.5,0.5,8,True,False,0.9418604651162791,0.9175736314264177,0.09461688649920713
110,all_12,12,99,56,43,0.55,0.55,13,True,False,0.9156976744186047,0.8766990332499945,0.09452546684106966
