seed,held_out_fault,calibration_faults,safe_threshold,pdrf_macro_auroc,full_macro_auroc,safe_macro_auroc,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy
101,gaussian,offset+drift+stuck_at,0.8,0.7983787124297548,0.8061075907338839,0.8026445417406518,1436,63,14,0.2222222222222222,33,4,0.12121212121212122,0.8787878787878788,0.5633704735376045,0.4832869080779944
101,offset,gaussian+drift+stuck_at,0.825,0.8341263146838457,0.8283894323623935,0.8327265861926129,1436,21,1,0.047619047619047616,30,2,0.06666666666666667,0.9333333333333333,0.5445682451253482,0.4832869080779944
101,drift,gaussian+offset+stuck_at,0.8,0.8392331603494193,0.8314936843638194,0.8363819619056976,1436,21,1,0.047619047619047616,26,5,0.19230769230769232,0.8076923076923077,0.3022284122562674,0.5055710306406686
101,stuck_at,gaussian+offset+drift,0.875,0.8254261949994302,0.8220401733199787,0.8261688072760004,1436,31,1,0.03225806451612903,21,1,0.047619047619047616,0.9523809523809523,0.1309192200557103,0.4742339832869081
102,gaussian,offset+drift+stuck_at,0.875,0.7861952678185539,0.8011430236483665,0.7897241694246621,1436,49,10,0.20408163265306123,15,1,0.06666666666666667,0.9333333333333333,0.4456824512534819,0.4777158774373259
102,offset,gaussian+drift+stuck_at,0.825,0.8248629663811139,0.82972167596385,0.8293641193173681,1436,11,1,0.09090909090909091,2,1,0.5,0.5,0.7493036211699164,0.5111420612813371
102,drift,gaussian+offset+stuck_at,0.8500000000000001,0.8348238966687115,0.8392167149846097,0.8395119897014373,1436,7,3,0.42857142857142855,7,1,0.14285714285714285,0.8571428571428572,0.8516713091922006,0.5383008356545961
102,stuck_at,gaussian+offset+drift,0.9,0.8226905085073303,0.8289838902693929,0.8213230570586142,1436,17,0,0.0,4,0,0.0,1.0,0.2096100278551532,0.5139275766016713
103,gaussian,offset+drift+stuck_at,0.9,0.7696892931551836,0.7844100972288096,0.7795744126875198,1436,50,11,0.22,17,1,0.058823529411764705,0.9411764705882353,0.7430362116991643,0.45403899721448465
103,offset,gaussian+drift+stuck_at,0.75,0.793134520271197,0.8036507007003846,0.8038079784909429,1436,26,9,0.34615384615384615,5,0,0.0,1.0,0.9227019498607242,0.4672701949860724
103,drift,gaussian+offset+stuck_at,0.9,0.8061884331249103,0.8128778309170693,0.8134330063770626,1436,18,2,0.1111111111111111,4,0,0.0,1.0,0.9011142061281338,0.49651810584958217
103,stuck_at,gaussian+offset+drift,0.8,0.7994562245026181,0.8074956584282008,0.806343297352239,1436,31,0,0.0,4,0,0.0,1.0,0.7012534818941504,0.4763231197771588
104,gaussian,offset+drift+stuck_at,0.775,0.7725404933555938,0.7861824977322555,0.7845457369438938,1436,42,11,0.2619047619047619,20,5,0.25,0.75,0.7973537604456824,0.46935933147632314
104,offset,gaussian+drift+stuck_at,0.875,0.8196603053885768,0.8169365783433628,0.8187857086661859,1436,35,3,0.08571428571428572,29,1,0.034482758620689655,0.9655172413793104,0.6810584958217271,0.5
104,drift,gaussian+offset+stuck_at,0.525,0.8233607128312365,0.8197700820593647,0.8198250156838737,1436,19,3,0.15789473684210525,18,3,0.16666666666666666,0.8333333333333334,0.9282729805013927,0.5125348189415042
104,stuck_at,gaussian+offset+drift,0.75,0.8108556008611568,0.8128480174578853,0.8123257693206499,1436,43,6,0.13953488372093023,23,4,0.17391304347826086,0.8260869565217391,0.7646239554317549,0.4860724233983287
105,gaussian,offset+drift+stuck_at,0.825,0.7922080391404248,0.7998535001290269,0.7971070031483429,1436,98,20,0.20408163265306123,92,10,0.10869565217391304,0.8913043478260869,0.45403899721448465,0.4756267409470752
105,offset,gaussian+drift+stuck_at,0.8500000000000001,0.8345025714883397,0.8062590448362642,0.8286292449936782,1436,39,1,0.02564102564102564,178,7,0.03932584269662921,0.9606741573033708,0.35097493036211697,0.49512534818941506
