fault_type,comparison,mean_difference,positive_seeds,n_seeds,wilcoxon_p_two_sided
drift,Full_minus_PDRF,0.00013209614376545885,5,10,0.6953125
drift,Safe_minus_PDRF,0.0015073551406779128,7,10,0.275390625
drift,Safe_minus_Full,0.001375258996912454,6,10,0.921875
gaussian,Full_minus_PDRF,0.014328129886908281,10,10,0.001953125
gaussian,Safe_minus_PDRF,0.006632830977817727,10,10,0.001953125
gaussian,Safe_minus_Full,-0.007695298909090553,0,10,0.001953125
offset,Full_minus_PDRF,0.0009078734091524931,5,10,0.556640625
offset,Safe_minus_PDRF,0.0022074510497914978,6,10,0.322265625
offset,Safe_minus_Full,0.0012995776406390046,6,10,1.0
stuck_at,Full_minus_PDRF,0.0035067019700909417,8,10,0.16015625
stuck_at,Safe_minus_PDRF,0.0021066928890152493,9,10,0.048828125
stuck_at,Safe_minus_Full,-0.0014000090810756926,3,10,0.375
