seed,training_rows,eligible_rows,excluded_rows,eligible_fraction,excluded_fraction
101,5933,5914,19,0.9967975728973538,0.003202427102646216
102,5933,5911,22,0.9962919265127255,0.003708073487274566
103,5933,5907,26,0.995617731333221,0.004382268666779033
104,5933,5914,19,0.9967975728973538,0.003202427102646216
105,5933,5905,28,0.9952806337434688,0.004719366256531266
106,5933,5910,23,0.9961233777178493,0.0038766222821506827
107,5933,5909,24,0.9959548289229732,0.004045171077026799
108,5933,5907,26,0.995617731333221,0.004382268666779033
109,5933,5912,21,0.9964604753076015,0.0035395246923984494
110,5933,5912,21,0.9964604753076015,0.0035395246923984494
