seed,calibration_rows,correctness_disagreements,recovery_positive_rows,negative_transfer_rows,minority_events_per_variable,safe_threshold,balanced_threshold,final_n_iter,final_converged,final_convergence_warning,selector_auroc,selector_auprc,selector_brier
101,1797,177,94,83,6.916666666666667,0.8,0.675,16,True,False,0.8882337862086644,0.8833855185843984,0.13486480208667698
102,1840,89,40,49,3.3333333333333335,0.9,0.575,11,True,False,0.8938775510204081,0.8788517293299162,0.1263440421838634
103,1860,90,49,41,3.4166666666666665,0.825,0.5,12,True,False,0.852165256346441,0.86295754009367,0.1545338674002843
104,1868,89,67,22,1.8333333333333333,0.875,0.55,12,True,False,0.9382632293080053,0.9811212333028809,0.09293005307161542
105,1866,194,122,72,6.0,0.8,0.6,14,True,False,0.8656648451730419,0.9292207525501651,0.1432534938148189
106,1869,92,62,30,2.5,0.875,0.5,12,True,False,0.9494623655913978,0.9711685931998728,0.07074915164462203
107,1829,224,99,125,8.25,0.9,0.5,18,True,False,0.7912727272727272,0.7647443221595192,0.18825413872457797
108,1853,122,54,68,4.5,0.9,0.525,14,True,False,0.7905773420479302,0.735024667719731,0.18780224527768793
109,1880,122,108,14,1.1666666666666667,0.725,0.55,15,True,False,0.8386243386243386,0.9720858809857793,0.13970269613080552
110,1947,99,56,43,3.5833333333333335,0.55,0.55,13,True,False,0.9156976744186047,0.8766990332499945,0.09452546684106966
