seed,bin,lower,upper,n,mean_probability,observed_recovery_preference
101,1,0.0,0.1,23,0.06463938149439535,0.08695652173913043
101,2,0.1,0.2,28,0.1371729872083062,0.10714285714285714
101,3,0.2,0.30000000000000004,19,0.2516708738673869,0.21052631578947367
101,4,0.30000000000000004,0.4,9,0.3562263726889465,0.8888888888888888
101,5,0.4,0.5,12,0.44074507778037564,0.5
101,6,0.5,0.6000000000000001,6,0.5473694661327112,0.5
101,7,0.6000000000000001,0.7000000000000001,12,0.6424846608210611,0.4166666666666667
101,8,0.7000000000000001,0.8,12,0.7418000960318301,0.75
101,9,0.8,0.9,20,0.8558767654529993,1.0
101,10,0.9,1.0,36,0.9587332022160342,0.9444444444444444
102,1,0.0,0.1,21,0.056645740130045814,0.09523809523809523
102,2,0.1,0.2,12,0.1507618376007684,0.0
102,3,0.2,0.30000000000000004,6,0.26540422577971595,0.16666666666666666
102,4,0.30000000000000004,0.4,7,0.3631739701823736,0.42857142857142855
102,5,0.4,0.5,4,0.4450459958599131,0.25
102,6,0.5,0.6000000000000001,4,0.5630130034796007,0.75
102,7,0.6000000000000001,0.7000000000000001,8,0.643289765630959,0.875
102,8,0.7000000000000001,0.8,5,0.7790640842872522,0.8
102,9,0.8,0.9,4,0.8538443607511615,0.5
102,10,0.9,1.0,18,0.975934799601665,0.9444444444444444
103,1,0.0,0.1,10,0.06370959041524374,0.1
103,2,0.1,0.2,15,0.14767473193790123,0.13333333333333333
103,3,0.2,0.30000000000000004,8,0.24622385377178355,0.25
103,4,0.30000000000000004,0.4,7,0.3475446309678411,0.5714285714285714
103,5,0.4,0.5,1,0.484559332406137,1.0
103,6,0.5,0.6000000000000001,4,0.510739571473954,0.75
103,7,0.6000000000000001,0.7000000000000001,7,0.644411254930079,0.5714285714285714
103,8,0.7000000000000001,0.8,11,0.729034467555185,0.7272727272727273
103,9,0.8,0.9,9,0.8386584694300113,0.8888888888888888
103,10,0.9,1.0,18,0.9563007678940377,0.8888888888888888
104,1,0.0,0.1,12,0.0664489423737176,0.16666666666666666
104,2,0.1,0.2,9,0.14633409717249213,0.2222222222222222
104,3,0.2,0.30000000000000004,1,0.22851932381615817,0.0
104,4,0.30000000000000004,0.4,3,0.3484178752602529,1.0
104,5,0.4,0.5,1,0.49025286814270114,1.0
104,6,0.5,0.6000000000000001,4,0.5700064791815738,0.75
104,7,0.6000000000000001,0.7000000000000001,4,0.6721812686636895,0.5
104,8,0.7000000000000001,0.8,4,0.7668559775032667,1.0
104,9,0.8,0.9,12,0.862222293481142,0.9166666666666666
104,10,0.9,1.0,39,0.9670165967161026,1.0
105,1,0.0,0.1,9,0.0587741851795929,0.3333333333333333
105,2,0.1,0.2,29,0.15705231283872845,0.27586206896551724
105,3,0.2,0.30000000000000004,22,0.24478818998885832,0.22727272727272727
