rule,matching,threshold,target,calibration_n,calibration_recovery_opportunities,calibration_recovery_retained,calibration_recovery_retention,calibration_negative_transfer_opportunities,calibration_negative_transfer_remaining,calibration_negative_transfer_rate,calibration_negative_transfer_prevention,calibration_full_selection_rate,calibration_selected_accuracy,seed
Higher-confidence,prevention_matched,0.2286246454715723,0.9759036144578314,1797.0,94.0,19.0,0.20212765957446807,83.0,1.0,0.012048192771084338,0.9879518072289156,0.04006677796327212,0.6466332776850306,101
Higher-confidence,retention_matched,-0.05127290964126586,0.574468085106383,1797.0,94.0,54.0,0.574468085106383,83.0,51.0,0.6144578313253012,0.3855421686746988,0.7200890372843628,0.6382860322760155,101
Lower-entropy,prevention_matched,0.10306573457115893,0.9759036144578314,1797.0,94.0,22.0,0.23404255319148937,83.0,2.0,0.024096385542168676,0.9759036144578314,0.08013355592654424,0.6477462437395659,101
Lower-entropy,retention_matched,-0.05098735102812789,0.574468085106383,1797.0,94.0,54.0,0.574468085106383,83.0,54.0,0.6506024096385542,0.3493975903614458,0.6399554813578185,0.6366165831942125,101
Lower-LOO-disagreement,prevention_matched,0.06688990349712168,0.9759036144578314,1797.0,94.0,9.0,0.09574468085106383,83.0,2.0,0.024096385542168676,0.9759036144578314,0.04006677796327212,0.6405119643850863,101
Lower-LOO-disagreement,retention_matched,-0.006518016301329757,0.574468085106383,1797.0,94.0,55.0,0.5851063829787234,83.0,72.0,0.8674698795180723,0.1325301204819277,0.8797996661101837,0.6271563717306622,101
Higher-JS-disagreement,prevention_matched,0.12532904028892503,0.9759036144578314,1797.0,94.0,44.0,0.46808510638297873,83.0,3.0,0.03614457831325301,0.963855421686747,0.03005008347245409,0.659432387312187,101
Higher-JS-disagreement,retention_matched,0.10871655344963062,0.574468085106383,1797.0,94.0,52.0,0.5531914893617021,83.0,4.0,0.04819277108433735,0.9518072289156626,0.04006677796327212,0.6633277685030606,101
Higher-confidence,prevention_matched,0.0677570271492005,0.9795918367346939,1840.0,40.0,18.0,0.45,49.0,2.0,0.04081632653061224,0.9591836734693877,0.08043478260869565,0.7277173913043479,102
Higher-confidence,retention_matched,0.07575976282358167,0.425,1840.0,40.0,17.0,0.425,49.0,2.0,0.04081632653061224,0.9591836734693877,0.07010869565217391,0.7271739130434782,102
Lower-entropy,prevention_matched,0.022644860417221094,0.9795918367346939,1840.0,40.0,18.0,0.45,49.0,1.0,0.02040816326530612,0.9795918367346939,0.18043478260869567,0.7282608695652174,102
Lower-entropy,retention_matched,0.04642912793480593,0.425,1840.0,40.0,17.0,0.425,49.0,0.0,0.0,1.0,0.11032608695652174,0.7282608695652174,102
Lower-LOO-disagreement,prevention_matched,0.04660368853618158,0.9795918367346939,1840.0,40.0,5.0,0.125,49.0,1.0,0.02040816326530612,0.9795918367346939,0.1,0.721195652173913,102
Lower-LOO-disagreement,retention_matched,0.009965608222942714,0.425,1840.0,40.0,17.0,0.425,49.0,24.0,0.4897959183673469,0.5102040816326531,0.3798913043478261,0.7152173913043478,102
Higher-JS-disagreement,prevention_matched,0.04729047738015652,0.9795918367346939,1840.0,40.0,23.0,0.575,49.0,1.0,0.02040816326530612,0.9795918367346939,0.06032608695652174,0.7309782608695652,102
Higher-JS-disagreement,retention_matched,0.08887664526700974,0.425,1840.0,40.0,17.0,0.425,49.0,0.0,0.0,1.0,0.02010869565217391,0.7282608695652174,102
Higher-confidence,prevention_matched,0.1856069725751877,0.9512195121951219,1860.0,49.0,9.0,0.1836734693877551,41.0,3.0,0.07317073170731707,0.926829268292683,0.030107526881720432,0.6268817204301075,103
Higher-confidence,retention_matched,-0.045393941402435266,0.42857142857142855,1860.0,49.0,21.0,0.42857142857142855,41.0,16.0,0.3902439024390244,0.6097560975609756,0.7198924731182795,0.6263440860215054,103
