seed,fault_type,prevalence,stream,variant,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy,no_fault_recovery_selection_rate,harmful_switch_rate
101,gaussian,0.1,full_mixed_stream,Balanced-CF,4364,72,5,0.06944444444444445,94,11,0.11702127659574468,0.8829787234042553,0.6079285059578369,0.5756186984417965,,
101,gaussian,0.1,full_mixed_stream,Safe-CF,4364,72,2,0.027777777777777776,94,6,0.06382978723404255,0.9361702127659575,0.3547204399633364,0.576076993583868,,
101,offset,0.1,full_mixed_stream,Balanced-CF,4364,62,2,0.03225806451612903,92,10,0.10869565217391304,0.8913043478260869,0.6040329972502292,0.5774518790100825,,
101,offset,0.1,full_mixed_stream,Safe-CF,4364,62,0,0.0,92,6,0.06521739130434782,0.9347826086956522,0.35151237396883594,0.577910174152154,,
101,drift,0.1,full_mixed_stream,Balanced-CF,4364,62,3,0.04838709677419355,92,10,0.10869565217391304,0.8913043478260869,0.6026581118240146,0.5781393217231897,,
101,drift,0.1,full_mixed_stream,Safe-CF,4364,62,0,0.0,92,6,0.06521739130434782,0.9347826086956522,0.35013748854262144,0.5783684692942255,,
101,stuck_at,0.1,full_mixed_stream,Balanced-CF,4364,68,2,0.029411764705882353,92,8,0.08695652173913043,0.9130434782608696,0.6001374885426215,0.5767644362969753,,
101,stuck_at,0.1,full_mixed_stream,Safe-CF,4364,68,0,0.0,92,5,0.05434782608695652,0.9456521739130435,0.35013748854262144,0.576993583868011,,
101,gaussian,0.4,full_mixed_stream,Balanced-CF,4364,100,23,0.23,99,10,0.10101010101010101,0.898989898989899,0.6331347387717691,0.5556828597616865,,
101,gaussian,0.4,full_mixed_stream,Safe-CF,4364,100,15,0.15,99,9,0.09090909090909091,0.9090909090909091,0.3890925756186984,0.5540788267644363,,
101,offset,0.4,full_mixed_stream,Balanced-CF,4364,58,3,0.05172413793103448,96,9,0.09375,0.90625,0.6049495875343721,0.5538496791934006,,
101,offset,0.4,full_mixed_stream,Safe-CF,4364,58,1,0.017241379310344827,96,6,0.0625,0.9375,0.3528872593950504,0.5540788267644363,,
