seed,true_outcome,predicted_outcome,n
101,0,0,55
101,0,1,0
101,0,2,14
101,1,0,153
101,1,1,1208
101,1,2,247
101,2,0,30
101,2,1,36
101,2,2,54
102,0,0,42
102,0,1,0
102,0,2,6
102,1,0,200
102,1,1,1441
102,1,2,125
102,2,0,4
102,2,1,3
102,2,2,19
103,0,0,15
103,0,1,1
103,0,2,5
103,1,0,118
103,1,1,1521
103,1,2,150
103,2,0,14
103,2,1,5
103,2,2,31
104,0,0,25
104,0,1,0
104,0,2,11
104,1,0,83
104,1,1,1574
104,1,2,141
104,2,0,6
104,2,1,3
104,2,2,25
105,0,0,6
105,0,1,0
105,0,2,4
105,1,0,99
105,1,1,1514
105,1,2,217
105,2,0,15
105,2,1,1
105,2,2,10
106,0,0,24
106,0,1,0
106,0,2,10
106,1,0,99
106,1,1,1425
106,1,2,263
106,2,0,12
106,2,1,6
106,2,2,30
107,0,0,15
107,0,1,0
107,0,2,3
107,1,0,70
107,1,1,1435
107,1,2,240
107,2,0,20
107,2,1,4
107,2,2,42
108,0,0,49
108,0,1,2
108,0,2,25
108,1,0,123
108,1,1,1441
108,1,2,185
108,2,0,6
108,2,1,2
108,2,2,20
109,0,0,10
109,0,1,1
109,0,2,7
109,1,0,93
109,1,1,1424
109,1,2,256
109,2,0,26
109,2,1,16
109,2,2,47
110,0,0,25
110,0,1,2
110,0,2,4
110,1,0,87
110,1,1,1506
110,1,2,274
110,2,0,21
110,2,1,4
110,2,2,24
