seed,outcome,bin,n,mean_probability,observed_frequency
101,base_better,1,180,0.0010692134803582626,0.0
101,base_better,2,180,0.0014815251453499977,0.0
101,base_better,3,180,0.0020521414146665857,0.0
101,base_better,4,180,0.002385699046723724,0.0
101,base_better,5,180,0.004502430354257728,0.0
101,base_better,6,180,0.013384928864195874,0.0
101,base_better,7,180,0.05052328414571152,0.0
101,base_better,8,179,0.139352003497588,0.00558659217877095
101,base_better,9,179,0.39100721635051255,0.10614525139664804
101,base_better,10,179,0.7222053235233696,0.2737430167597765
101,recovery_better,1,180,0.14347731006107453,0.016666666666666666
101,recovery_better,2,180,0.1555846502861482,0.0
101,recovery_better,3,180,0.1598882114631384,0.0
101,recovery_better,4,180,0.16733421056454195,0.0
101,recovery_better,5,180,0.19586709063092878,0.011111111111111112
101,recovery_better,6,180,0.24599459706968124,0.027777777777777776
101,recovery_better,7,180,0.30911943222809607,0.05555555555555555
101,recovery_better,8,179,0.3873223129731097,0.1787709497206704
101,recovery_better,9,179,0.4657368193353347,0.22346368715083798
101,recovery_better,10,179,0.5443029376890406,0.1564245810055866
102,base_better,1,184,5.239241231797553e-05,0.0
102,base_better,2,184,6.306864909597925e-05,0.0
102,base_better,3,184,7.839265675789597e-05,0.0
102,base_better,4,184,0.00011856864860955256,0.0
102,base_better,5,184,0.00023899407667509487,0.0
102,base_better,6,184,0.0013383862536698388,0.0
102,base_better,7,184,0.008339262140267622,0.0
102,base_better,8,184,0.05787633754722896,0.005434782608695652
102,base_better,9,184,0.3297018842463689,0.03804347826086957
102,base_better,10,184,0.8011377636573233,0.21739130434782608
102,recovery_better,1,184,0.0409654583519759,0.0
102,recovery_better,2,184,0.06918119140335756,0.0
102,recovery_better,3,184,0.09437179006716372,0.010869565217391304
102,recovery_better,4,184,0.1082292489754895,0.0
102,recovery_better,5,184,0.11984375137971835,0.0
102,recovery_better,6,184,0.12932952012044868,0.0
102,recovery_better,7,184,0.14728637349342802,0.005434782608695652
102,recovery_better,8,184,0.1993154016451701,0.005434782608695652
102,recovery_better,9,184,0.3110231812443117,0.010869565217391304
102,recovery_better,10,184,0.5819797340519863,0.10869565217391304
103,base_better,1,186,7.982755633476899e-05,0.0
103,base_better,2,186,0.0016340848586785459,0.0
103,base_better,3,186,0.002676376560040056,0.0
103,base_better,4,186,0.003262537984900698,0.0
103,base_better,5,186,0.0039023152325482016,0.0
103,base_better,6,186,0.005283242400472072,0.0
103,base_better,7,186,0.012085518804450265,0.005376344086021506
103,base_better,8,186,0.04434986899658997,0.005376344086021506
103,base_better,9,186,0.2024912414107679,0.016129032258064516
103,base_better,10,186,0.5857156725553997,0.08602150537634409
103,recovery_better,1,186,0.039324246124694755,0.005376344086021506
103,recovery_better,2,186,0.04743223046785125,0.0
103,recovery_better,3,186,0.050674359789911395,0.0
103,recovery_better,4,186,0.05311643135491769,0.0
103,recovery_better,5,186,0.057967175538560185,0.0
103,recovery_better,6,186,0.0706784785104232,0.0
103,recovery_better,7,186,0.11488690984863638,0.010752688172043012
103,recovery_better,8,186,0.2180176592529845,0.010752688172043012
103,recovery_better,9,186,0.3597763907495133,0.08064516129032258
103,recovery_better,10,186,0.5436710382881325,0.16129032258064516
104,base_better,1,187,0.0006552025116638611,0.0
104,base_better,2,187,0.0009362470755819067,0.0
104,base_better,3,187,0.0021784885817187558,0.0
104,base_better,4,187,0.004033982748458239,0.0
104,base_better,5,187,0.004291389941933563,0.0
104,base_better,6,187,0.005307187426673415,0.0
104,base_better,7,187,0.006691578413636911,0.0
104,base_better,8,187,0.02835401057797527,0.0053475935828877
104,base_better,9,186,0.15659580148547356,0.016129032258064516
104,base_better,10,186,0.547331584600189,0.17204301075268819
