seed,fault_type,view,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,drift,B8-9_pooled,Always PDRF,1.0,256,17,0,0.0,4,0,1.0,0.0,0.5703125,0.0,1.0,0.0,0.5703125,0.9164334504412633,0.7856115831581536,1.1770414268237914,0.6061548295817141,0.23457235831115947,0.22622773236313432,0.115498725094531
101,drift,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,17,17,1.0,4,4,0.0,1.0,0.62109375,507.8125,1.0,507.8125,0.62109375,0.9231112778181237,0.7864399815454481,1.091138767768756,0.5489897514589457,0.20486637063359914,0.20288734451334658,0.10413872788314193
101,drift,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,17,0,0.0,4,0,1.0,0.66796875,0.5703125,0.0,1.0,0.0,0.5703125,0.9209483218187589,0.7872458659468554,1.1130937328563004,0.5788943169042557,0.21837385629314882,0.21224953333475718,0.11280462485466643
101,drift,B8-9_pooled,Prospective gate Lite-CF,2.0,256,17,0,0.0,4,0,1.0,0.66796875,0.5703125,0.0,1.0,0.0,0.5703125,0.9209483218187589,0.7872458659468554,1.1130937328563004,0.5788943169042557,0.21837385629314882,0.21224953333475718,0.11280462485466643
101,drift,B8-9_pooled,All-row multinomial (utility 1:1),2.0,256,17,16,0.9411764705882353,4,0,1.0,0.90625,0.6328125,625.0,1.0,625.0,0.6328125,0.9248302604145445,0.7876517093269998,1.0841613678416269,0.5462174995354214,0.19891400279973953,0.19030157821688434,0.10473183134479534
101,drift,B10,Always PDRF,1.0,1180,23,0,0.0,25,0,1.0,0.0,0.49491525423728816,0.0,1.0,0.0,0.49491525423728816,0.8292680021714971,0.5649481251138192,2.773547552007631,0.819426943699697,0.3538670527741575,0.3538670527741575,0.13589310531222284
101,drift,B10,Always RO-PDRF-Lite,1.0,1180,23,23,1.0,25,25,0.0,1.0,0.49322033898305084,-16.949152542372882,1.0,-16.949152542372882,0.49322033898305084,0.8244528636219689,0.5646672218630148,2.6581935484515893,0.831253731806784,0.355358591498699,0.35535962361941337,0.13721921795104983
101,drift,B10,Frozen Lite-CF (ungated),2.0,1180,23,2,0.08695652173913043,25,6,0.76,0.8228813559322034,0.4915254237288136,-33.898305084745765,1.0,-33.898305084745765,0.4915254237288136,0.8277377917540796,0.5674312305965686,2.65191404300041,0.8295143297219892,0.355511026876029,0.3555120589967433,0.13610480767948752
101,drift,B10,Prospective gate Lite-CF,2.0,1180,23,2,0.08695652173913043,25,6,0.76,0.8228813559322034,0.4915254237288136,-33.898305084745765,1.0,-33.898305084745765,0.4915254237288136,0.8277377917540796,0.5674312305965686,2.65191404300041,0.8295143297219892,0.355511026876029,0.3555120589967433,0.13610480767948752
101,drift,B10,All-row multinomial (utility 1:1),2.0,1180,23,21,0.9130434782608695,25,21,0.16000000000000003,0.9703389830508474,0.49491525423728816,0.0,1.0,0.0,0.49491525423728816,0.8257018617991957,0.5656127505079501,2.6485818636122014,0.8291225880478889,0.3545971978589968,0.3545982299797112,0.13549511164516503
101,gaussian,B8-9_pooled,Always PDRF,1.0,256,19,0,0.0,5,0,1.0,0.0,0.55078125,0.0,1.0,0.0,0.55078125,0.8530751965593759,0.5956629154032886,1.9657424676332482,0.6723596650375658,0.25209969168674523,0.25209969168674534,0.11147160497322318
101,gaussian,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,19,19,1.0,5,5,0.0,1.0,0.60546875,546.875,1.0,546.875,0.60546875,0.8764812329750895,0.6329693945424385,1.4948679596355214,0.5909104241376557,0.18969741546408422,0.17764264202788033,0.09679102534052021
101,gaussian,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,19,2,0.10526315789473684,5,0,1.0,0.703125,0.55859375,78.125,1.0,78.125,0.55859375,0.866020048678369,0.6158257034795983,1.637938942844134,0.6323857514285234,0.2203812241511104,0.22110534968265197,0.10457673227845989
101,gaussian,B8-9_pooled,Prospective gate Lite-CF,2.0,256,19,2,0.10526315789473684,5,0,1.0,0.703125,0.55859375,78.125,1.0,78.125,0.55859375,0.866020048678369,0.6158257034795983,1.637938942844134,0.6323857514285234,0.2203812241511104,0.22110534968265197,0.10457673227845989
101,gaussian,B8-9_pooled,All-row multinomial (utility 1:1),2.0,256,19,10,0.5263157894736842,5,2,0.6,0.8984375,0.58203125,312.5,1.0,312.5,0.58203125,0.8743325889699848,0.6282912554181617,1.5226519033876502,0.6026292445254675,0.19535036119734178,0.19607448672888333,0.09861883338112766
101,gaussian,B10,Always PDRF,1.0,1180,51,0,0.0,27,0,1.0,0.0,0.46016949152542375,0.0,1.0,0.0,0.46016949152542375,0.7870654718739258,0.4831364310885722,3.028728760693708,0.8637587715507913,0.3736147282372402,0.3718686143614425,0.1339673804848217
101,gaussian,B10,Always RO-PDRF-Lite,1.0,1180,51,51,1.0,27,27,0.0,1.0,0.48050847457627116,203.38983050847457,1.0,203.38983050847457,0.48050847457627116,0.7976047774066691,0.5006755805431639,2.5892511609630224,0.8149227401616372,0.3358591553652016,0.3349783918390146,0.12303868197803802
101,gaussian,B10,Frozen Lite-CF (ungated),2.0,1180,51,9,0.17647058823529413,27,3,0.8888888888888888,0.764406779661017,0.4652542372881356,50.847457627118644,1.0,50.847457627118644,0.4652542372881356,0.7943311409876054,0.49435737395518126,2.6600580476041706,0.827962382648556,0.3519946959268179,0.35024858205102033,0.1252651940292093
101,gaussian,B10,Prospective gate Lite-CF,2.0,1180,51,9,0.17647058823529413,27,3,0.8888888888888888,0.764406779661017,0.4652542372881356,50.847457627118644,1.0,50.847457627118644,0.4652542372881356,0.7943311409876054,0.49435737395518126,2.6600580476041706,0.827962382648556,0.3519946959268179,0.35024858205102033,0.1252651940292093
101,gaussian,B10,All-row multinomial (utility 1:1),2.0,1180,51,30,0.5882352941176471,27,15,0.4444444444444444,0.9194915254237288,0.4728813559322034,127.11864406779661,1.0,127.11864406779661,0.4728813559322034,0.7964656404848016,0.49846997904310597,2.6036134602899605,0.8186532030378614,0.34384943442466054,0.3438494344246607,0.12429103286333236
101,offset,B8-9_pooled,Always PDRF,1.0,256,6,0,0.0,4,0,1.0,0.0,0.51171875,0.0,1.0,0.0,0.51171875,0.8919137780232327,0.7796359903190369,1.5619750742810345,0.7314750792907492,0.29775902772937307,0.3005719963516617,0.13877701966890205
101,offset,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,6,6,1.0,4,4,0.0,1.0,0.51953125,78.125,1.0,78.125,0.51953125,0.906288328762915,0.7777265241044079,1.3567832188782623,0.6374208430906134,0.2484284606646417,0.2621181678253332,0.11755919424581092
