method,view,measure,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
All-row multinomial (utility 1:1),B10,accuracy,estimate,10,0.48213983050847453,0.4750074246266468,0.48927223639030226,0.48368644067796607,0.4769597457627119,0.4875,0.4635593220338983,0.4983050847457627
All-row multinomial (utility 1:1),B10,macro_auroc,estimate,10,0.8028865114649729,0.7939856578289992,0.8117873651009466,0.8072631239019626,0.792445833329003,0.8130896698504009,0.7838996517611359,0.8182938343376137
All-row multinomial (utility 1:1),B10,utility_per_10000,estimate,10,80.9322033898305,37.40439487866851,124.4600119009925,81.5677966101695,46.08050847457627,93.75,-8.474576271186441,205.50847457627117
All-row multinomial (utility 1:1),B8-9_pooled,accuracy,estimate,10,0.56962890625,0.5529891783299089,0.586268634170091,0.5712890625,0.569580078125,0.57275390625,0.5185546875,0.607421875
All-row multinomial (utility 1:1),B8-9_pooled,macro_auroc,estimate,10,0.8771303534500475,0.8662060688449785,0.8880546380551165,0.8704893771198261,0.8663462045936916,0.8864295107011467,0.8585831089305633,0.9020154197764242
All-row multinomial (utility 1:1),B8-9_pooled,utility_per_10000,estimate,10,232.421875,83.21464078318368,381.62910921681635,234.375,117.1875,327.1484375,-166.015625,556.640625
All-row multinomial (utility 1:1),equal_weight_batches,accuracy,estimate,10,0.5362172173400988,0.5252353242424379,0.5471991104377596,0.5363837198582961,0.5316164591058659,0.545480625777236,0.5024261755193958,0.559166139886479
All-row multinomial (utility 1:1),equal_weight_batches,macro_auroc,estimate,10,0.8591155483444061,0.8520444898622983,0.8661866068265138,0.8581156367735272,0.8541218374677311,0.8624980907276076,0.8440537531805999,0.8799804612232872
All-row multinomial (utility 1:1),equal_weight_batches,utility_per_10000,estimate,10,179.21405336659572,64.86570787963981,293.5623988535516,160.01618438059114,81.75475654289212,239.39331619416367,-80.26366289078153,450.84270719863935
All-row multinomial (utility 1:1),observation_weighted_overall,accuracy,estimate,10,0.4977367688022284,0.49166304765852803,0.5038104899459288,0.49747562674094703,0.4937325905292479,0.5038300835654597,0.4827646239554318,0.5113161559888579
All-row multinomial (utility 1:1),observation_weighted_overall,macro_auroc,estimate,10,0.8160043565039142,0.8084034305635754,0.823605282444253,0.8199926142699173,0.8061862305898833,0.8245830284482458,0.801065952587582,0.8292869600588901
All-row multinomial (utility 1:1),observation_weighted_overall,utility_per_10000,estimate,10,107.93871866295262,50.5271829686578,165.35025435724745,107.06824512534818,38.736072423398326,132.74721448467966,19.15041782729805,268.1058495821727
All-row multinomial (utility 1:1),worst_batch,accuracy,estimate,10,0.4804525982492084,0.4742535919517788,0.486651604546638,0.48072033898305083,0.47686778264108776,0.48479872881355934,0.4635593220338983,0.4917582417582418
All-row multinomial (utility 1:1),worst_batch,macro_auroc,estimate,10,0.8028865114649729,0.7939856578289992,0.8117873651009466,0.8072631239019628,0.7924458333290031,0.8130896698504008,0.7838996517611359,0.8182938343376138
All-row multinomial (utility 1:1),worst_batch,utility_per_10000,estimate,10,51.5076025669246,-21.71927378804144,124.73447892189063,62.430154591171544,22.24576271186441,92.6906779661017,-181.8181818181818,205.50847457627117
Always PDRF,B10,accuracy,estimate,10,0.4740466101694915,0.46605261880731325,0.4820406015316698,0.4729872881355932,0.46800847457627115,0.47574152542372883,0.45826271186440676,0.4966101694915254
Always PDRF,B10,macro_auroc,estimate,10,0.7990384097379317,0.789614833238767,0.8084619862370964,0.8026218356016865,0.7913437626268147,0.8074200336964511,0.7776950008005586,0.8155938717508983
Always PDRF,B10,utility_per_10000,estimate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,B8-9_pooled,accuracy,estimate,10,0.54638671875,0.5194041699691149,0.5733692675308851,0.5576171875,0.52685546875,0.5625,0.462890625,0.58984375
Always PDRF,B8-9_pooled,macro_auroc,estimate,10,0.8689012004533054,0.8572758180255942,0.8805265828810167,0.8676969263693053,0.8600575043367271,0.8840698553107313,0.8394339974885855,0.8874414971127038
Always PDRF,B8-9_pooled,utility_per_10000,estimate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,equal_weight_batches,accuracy,estimate,10,0.5182958120034391,0.4982105001276355,0.5383811238792426,0.5269804583363905,0.5056656914178101,0.5372131752428364,0.4573419047995319,0.547512280563128
Always PDRF,equal_weight_batches,macro_auroc,estimate,10,0.8527572958769707,0.8448934807522559,0.8606211110016855,0.8536002502658349,0.8507873357581368,0.8591737123891413,0.829727749804969,0.8692076596490305
Always PDRF,equal_weight_batches,utility_per_10000,estimate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,observation_weighted_overall,accuracy,estimate,10,0.4869428969359332,0.4777406088274901,0.49614518504437627,0.4866817548746518,0.4813718662952646,0.4948206824512535,0.46692200557103064,0.5083565459610028
Always PDRF,observation_weighted_overall,macro_auroc,estimate,10,0.8114969624061764,0.8032959186051682,0.8196980062071846,0.8142281310181196,0.8051040731391258,0.8204675259391456,0.7920516172143531,0.8243728001352415
Always PDRF,observation_weighted_overall,utility_per_10000,estimate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,worst_batch,accuracy,estimate,10,0.46694449618178435,0.45215196523927875,0.48173702712428995,0.4729872881355932,0.46546610169491526,0.47574152542372883,0.4148351648351648,0.48792372881355933
Always PDRF,worst_batch,macro_auroc,estimate,10,0.7990384097379317,0.789614833238767,0.8084619862370964,0.8026218356016867,0.7913437626268147,0.8074200336964511,0.7776950008005586,0.8155938717508983
Always PDRF,worst_batch,utility_per_10000,estimate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always RO-PDRF-Lite,B10,accuracy,estimate,10,0.4846610169491526,0.4778612274051067,0.49146080649319845,0.48516949152542377,0.4807203389830509,0.4883474576271186,0.46864406779661016,0.5021186440677967
Always RO-PDRF-Lite,B10,macro_auroc,estimate,10,0.804441776979125,0.7958175106218502,0.8130660433363998,0.8110771007310174,0.7964577572149242,0.8134254238441387,0.7839509890717943,0.8172826355133651
Always RO-PDRF-Lite,B10,utility_per_10000,estimate,10,106.14406779661017,70.02028933819528,142.26784625502506,104.87288135593221,64.08898305084746,126.0593220338983,42.37288135593219,205.50847457627117
Always RO-PDRF-Lite,B8-9_pooled,accuracy,estimate,10,0.57158203125,0.5545048574111169,0.588659205088883,0.57177734375,0.568115234375,0.57666015625,0.5185546875,0.61328125
Always RO-PDRF-Lite,B8-9_pooled,macro_auroc,estimate,10,0.8780303550218885,0.8672045939512694,0.8888561160925077,0.8736394187373817,0.8679354666003746,0.8897137169240799,0.8578293213497983,0.9012201174394204
Always RO-PDRF-Lite,B8-9_pooled,utility_per_10000,estimate,10,251.953125,110.96773867227716,392.93851132772284,258.7890625,148.92578125,375.9765625,-146.484375,556.640625
Always RO-PDRF-Lite,equal_weight_batches,accuracy,estimate,10,0.5387659045286164,0.5273195540060981,0.5502122550511347,0.5408707112096942,0.5334285770726449,0.5474021623386032,0.5024261755193958,0.5633263864196066
Always RO-PDRF-Lite,equal_weight_batches,macro_auroc,estimate,10,0.8606873301142469,0.8539656612274229,0.8674089990010709,0.8597087442756118,0.8565232774767328,0.8663338475794367,0.8440150633849726,0.8787460761720132
Always RO-PDRF-Lite,equal_weight_batches,utility_per_10000,estimate,10,204.70092525177267,98.03072711809808,311.3711233854473,181.82323796730577,118.34434397993721,286.78871740312417,-58.0267190436682,450.84270719863935
Always RO-PDRF-Lite,observation_weighted_overall,accuracy,estimate,10,0.5001566852367688,0.4938255487823675,0.5064878216911701,0.49939066852367686,0.49482068245125344,0.5053969359331476,0.487116991643454,0.5154944289693594
Always RO-PDRF-Lite,observation_weighted_overall,macro_auroc,estimate,10,0.8175216074371573,0.8100130771757557,0.8250301376985589,0.8236281688036693,0.8098819750601308,0.8251915702970791,0.8009576812436483,0.82852660707593
Always RO-PDRF-Lite,observation_weighted_overall,utility_per_10000,estimate,10,132.13788300835657,83.9129177396315,180.36284827708164,130.57103064066854,73.11977715877437,159.73189415041784,62.674094707520894,268.1058495821727
Always RO-PDRF-Lite,worst_batch,accuracy,estimate,10,0.48362846898863854,0.4767462889226286,0.4905106490546485,0.4826271186440678,0.47864360216055135,0.48787076271186436,0.46864406779661016,0.5021186440677967
Always RO-PDRF-Lite,worst_batch,macro_auroc,estimate,10,0.8044417769791249,0.7958175106218501,0.8130660433363996,0.8110771007310172,0.7964577572149242,0.8134254238441387,0.7839509890717942,0.8172826355133651
Always RO-PDRF-Lite,worst_batch,utility_per_10000,estimate,10,70.15505680759917,0.5004671761461594,139.8096464390522,73.09322033898306,53.46084000745017,110.69915254237289,-164.83516483516485,205.50847457627117
Frozen Lite-CF (ungated),B10,accuracy,estimate,10,0.4751271186440678,0.466716803662822,0.48353743362531365,0.4736228813559322,0.46885593220338984,0.47812499999999997,0.45826271186440676,0.4972457627118644
Frozen Lite-CF (ungated),B10,macro_auroc,estimate,10,0.802169554907822,0.7926552007348188,0.8116839090808253,0.8074103372779545,0.7922452131853575,0.8109665540427434,0.7787369036392698,0.8185426053481114
Frozen Lite-CF (ungated),B10,utility_per_10000,estimate,10,10.805084745762713,-0.4789982755011888,22.089167767026616,3.1779661016949152,-1.5889830508474576,26.483050847457626,-4.2372881355932215,33.898305084745765
Frozen Lite-CF (ungated),B8-9_pooled,accuracy,estimate,10,0.55029296875,0.5264559948115785,0.5741299426884215,0.56005859375,0.52783203125,0.56689453125,0.484375,0.5927734375
Frozen Lite-CF (ungated),B8-9_pooled,macro_auroc,estimate,10,0.8747120549899001,0.8637658172464191,0.8856582927333811,0.8712435092019971,0.8637554861386565,0.8845938211073995,0.8514345726094542,0.902023256213431
