method,seed,view,metric,value
All-row multinomial (utility 1:1),101,observation_weighted_overall,accuracy,0.49860724233983283
All-row multinomial (utility 1:1),101,equal_weight_batches,accuracy,0.5376958258314191
All-row multinomial (utility 1:1),101,worst_batch,accuracy,0.4830508474576271
All-row multinomial (utility 1:1),101,B8-9_pooled,accuracy,0.5703125
All-row multinomial (utility 1:1),101,B10,accuracy,0.48305084745762705
All-row multinomial (utility 1:1),101,observation_weighted_overall,macro_auroc,0.8292869600588901
All-row multinomial (utility 1:1),101,equal_weight_batches,macro_auroc,0.8799804612232872
All-row multinomial (utility 1:1),101,worst_batch,macro_auroc,0.8182938343376138
All-row multinomial (utility 1:1),101,B8-9_pooled,macro_auroc,0.9020154197764242
All-row multinomial (utility 1:1),101,B10,macro_auroc,0.8182938343376137
All-row multinomial (utility 1:1),101,observation_weighted_overall,utility_per_10000,128.8300835654596
All-row multinomial (utility 1:1),101,equal_weight_batches,utility_per_10000,241.0358003578343
All-row multinomial (utility 1:1),101,worst_batch,utility_per_10000,84.74576271186442
All-row multinomial (utility 1:1),101,B8-9_pooled,utility_per_10000,332.03125
All-row multinomial (utility 1:1),101,B10,utility_per_10000,84.74576271186442
All-row multinomial (utility 1:1),102,observation_weighted_overall,accuracy,0.5113161559888579
All-row multinomial (utility 1:1),102,equal_weight_batches,accuracy,0.5350716138851732
All-row multinomial (utility 1:1),102,worst_batch,accuracy,0.4917582417582418
All-row multinomial (utility 1:1),102,B8-9_pooled,accuracy,0.5712890625
All-row multinomial (utility 1:1),102,B10,accuracy,0.4983050847457627
All-row multinomial (utility 1:1),102,observation_weighted_overall,macro_auroc,0.8175544728554545
All-row multinomial (utility 1:1),102,equal_weight_batches,macro_auroc,0.8509020399389545
All-row multinomial (utility 1:1),102,worst_batch,macro_auroc,0.8037112076756114
All-row multinomial (utility 1:1),102,B8-9_pooled,macro_auroc,0.8691768523089967
All-row multinomial (utility 1:1),102,B10,macro_auroc,0.8037112076756113
All-row multinomial (utility 1:1),102,observation_weighted_overall,utility_per_10000,29.596100278551532
All-row multinomial (utility 1:1),102,equal_weight_batches,utility_per_10000,63.42527528968207
All-row multinomial (utility 1:1),102,worst_batch,utility_per_10000,16.949152542372882
All-row multinomial (utility 1:1),102,B8-9_pooled,utility_per_10000,87.890625
All-row multinomial (utility 1:1),102,B10,utility_per_10000,16.949152542372882
All-row multinomial (utility 1:1),103,observation_weighted_overall,accuracy,0.48990250696378823
All-row multinomial (utility 1:1),103,equal_weight_batches,accuracy,0.5309028777249116
All-row multinomial (utility 1:1),103,worst_batch,accuracy,0.4722457627118644
All-row multinomial (utility 1:1),103,B8-9_pooled,accuracy,0.5712890625
All-row multinomial (utility 1:1),103,B10,accuracy,0.4722457627118644
All-row multinomial (utility 1:1),103,observation_weighted_overall,macro_auroc,0.801065952587582
All-row multinomial (utility 1:1),103,equal_weight_batches,macro_auroc,0.8440537531805999
All-row multinomial (utility 1:1),103,worst_batch,macro_auroc,0.7880918382786573
All-row multinomial (utility 1:1),103,B8-9_pooled,macro_auroc,0.8585831089305633
All-row multinomial (utility 1:1),103,B10,macro_auroc,0.7880918382786573
All-row multinomial (utility 1:1),103,observation_weighted_overall,utility_per_10000,200.20891364902508
All-row multinomial (utility 1:1),103,equal_weight_batches,utility_per_10000,396.7600196413755
All-row multinomial (utility 1:1),103,worst_batch,utility_per_10000,139.83050847457628
All-row multinomial (utility 1:1),103,B8-9_pooled,utility_per_10000,478.515625
All-row multinomial (utility 1:1),103,B10,utility_per_10000,139.83050847457628
All-row multinomial (utility 1:1),104,observation_weighted_overall,accuracy,0.4937325905292479
All-row multinomial (utility 1:1),104,equal_weight_batches,accuracy,0.5394859142740499
All-row multinomial (utility 1:1),104,worst_batch,accuracy,0.4764830508474576
All-row multinomial (utility 1:1),104,B8-9_pooled,accuracy,0.5732421875
All-row multinomial (utility 1:1),104,B10,accuracy,0.4764830508474577
All-row multinomial (utility 1:1),104,observation_weighted_overall,macro_auroc,0.8078960203922884
All-row multinomial (utility 1:1),104,equal_weight_batches,macro_auroc,0.8597079265049059
All-row multinomial (utility 1:1),104,worst_batch,macro_auroc,0.7931824722379581
All-row multinomial (utility 1:1),104,B8-9_pooled,macro_auroc,0.8822135540940552
All-row multinomial (utility 1:1),104,B10,macro_auroc,0.793182472237958
All-row multinomial (utility 1:1),104,observation_weighted_overall,utility_per_10000,34.81894150417828
All-row multinomial (utility 1:1),104,equal_weight_batches,utility_per_10000,-80.26366289078153
All-row multinomial (utility 1:1),104,worst_batch,utility_per_10000,-181.8181818181818
All-row multinomial (utility 1:1),104,B8-9_pooled,utility_per_10000,-166.015625
All-row multinomial (utility 1:1),104,B10,utility_per_10000,78.38983050847457
All-row multinomial (utility 1:1),105,observation_weighted_overall,accuracy,0.49860724233983283
All-row multinomial (utility 1:1),105,equal_weight_batches,accuracy,0.5497174670903485
All-row multinomial (utility 1:1),105,worst_batch,accuracy,0.47838983050847456
All-row multinomial (utility 1:1),105,B8-9_pooled,accuracy,0.591796875
All-row multinomial (utility 1:1),105,B10,accuracy,0.4783898305084745
All-row multinomial (utility 1:1),105,observation_weighted_overall,macro_auroc,0.8247170763520587
All-row multinomial (utility 1:1),105,equal_weight_batches,macro_auroc,0.8565233470421486
All-row multinomial (utility 1:1),105,worst_batch,macro_auroc,0.8111678564677429
All-row multinomial (utility 1:1),105,B8-9_pooled,macro_auroc,0.8691467795667219
All-row multinomial (utility 1:1),105,B10,macro_auroc,0.811167856467743
All-row multinomial (utility 1:1),105,observation_weighted_overall,utility_per_10000,109.67966573816156
All-row multinomial (utility 1:1),105,equal_weight_batches,utility_per_10000,191.24825268893065
All-row multinomial (utility 1:1),105,worst_batch,utility_per_10000,69.91525423728814
All-row multinomial (utility 1:1),105,B8-9_pooled,utility_per_10000,292.96875
All-row multinomial (utility 1:1),105,B10,utility_per_10000,69.91525423728814
All-row multinomial (utility 1:1),106,observation_weighted_overall,accuracy,0.5055710306406686
All-row multinomial (utility 1:1),106,equal_weight_batches,accuracy,0.5474788629449646
All-row multinomial (utility 1:1),106,worst_batch,accuracy,0.4917372881355932
All-row multinomial (utility 1:1),106,B8-9_pooled,accuracy,0.5693359375
All-row multinomial (utility 1:1),106,B10,accuracy,0.49173728813559325
All-row multinomial (utility 1:1),106,observation_weighted_overall,macro_auroc,0.82418788413551
