mixture,test_mechanism,seed,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
uniform,gaussian,101,0.7,Conditional Lite-CF,2.0,1436,70,8,0.11428571428571428,32,3,0.90625,0.7367688022284122,0.47980501392757663,34.81894150417827,1.0,34.81894150417827,0.47980501392757663,0.8051786561161293,0.508185958357181,2.4935290491740383,0.795896079339578,0.3301243820192372,0.33012438201923716,0.11774258204052919
uniform,offset,101,0.7,Conditional Lite-CF,2.0,1436,47,9,0.19148936170212766,37,10,0.7297297297297297,0.786908077994429,0.4832869080779944,-6.963788300835654,1.0,-6.963788300835654,0.4832869080779944,0.8384251917004244,0.5894273756919467,2.4803842879540663,0.8026887551465958,0.34188603241364746,0.34140569772841806,0.12804226743336006
uniform,drift,101,0.7,Conditional Lite-CF,2.0,1436,40,1,0.025,29,4,0.8620689655172413,0.7792479108635098,0.5062674094707521,-20.891364902506965,1.0,-20.891364902506965,0.5062674094707521,0.8385654605105083,0.5936151937935975,2.3794408563004352,0.7841697255215107,0.32857340912288946,0.3284922217510084,0.12423945561359255
uniform,stuck_at,101,0.7,Conditional Lite-CF,2.0,1436,50,3,0.06,31,3,0.9032258064516129,0.7423398328690808,0.4742339832869081,0.0,1.0,0.0,0.4742339832869081,0.833467835818864,0.592170106416967,2.3749168434394194,0.7919566486114774,0.3305144318763067,0.33051443187630664,0.1290608081034468
gaussian_70pct,gaussian,101,0.725,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,5,0.84375,0.7611420612813371,0.4805013927576602,41.78272980501393,1.0,41.78272980501393,0.4805013927576602,0.8060273037879835,0.5091922401225286,2.4628112563769666,0.7897235896744865,0.3239414923656437,0.32394149236564374,0.11639946772607494
gaussian_70pct,offset,101,0.725,Conditional Lite-CF,2.0,1436,47,17,0.3617021276595745,37,17,0.5405405405405406,0.8189415041782729,0.483983286908078,0.0,1.0,0.0,0.483983286908078,0.838042211331932,0.588740007175884,2.471282588809451,0.8003958691271681,0.33684894111774455,0.3363686064325151,0.12799351157168826
gaussian_70pct,drift,101,0.725,Conditional Lite-CF,2.0,1436,40,4,0.1,29,9,0.6896551724137931,0.7959610027855153,0.504874651810585,-34.81894150417827,1.0,-34.81894150417827,0.504874651810585,0.8386772778181942,0.5938546358287219,2.37205662123906,0.7817907496760054,0.32729769264790887,0.32721650527602775,0.12402104826923095
gaussian_70pct,stuck_at,101,0.725,Conditional Lite-CF,2.0,1436,50,11,0.22,31,7,0.7741935483870968,0.7876044568245125,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8342478342822052,0.5940966491861356,2.355552126455826,0.7827585902044063,0.3202844898103309,0.3202844898103309,0.12730621156150926
offset_70pct,gaussian,101,0.675,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,5,0.84375,0.7618384401114207,0.4805013927576602,41.78272980501393,1.0,41.78272980501393,0.4805013927576602,0.80606368954367,0.5093599455340939,2.4928639111712774,0.8006434554806424,0.338406525465592,0.338406525465592,0.11956159481739569
offset_70pct,offset,101,0.675,Conditional Lite-CF,2.0,1436,47,13,0.2765957446808511,37,12,0.6756756756756757,0.8154596100278552,0.48467966573816157,6.963788300835654,1.0,6.963788300835654,0.48467966573816157,0.8378526134512482,0.5884791388419394,2.4891672108057126,0.810422860546536,0.348696068245438,0.3482157335602085,0.12921236498984726
offset_70pct,drift,101,0.675,Conditional Lite-CF,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.8064066852367688,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8383161509880157,0.5931680738076128,2.3819971238858093,0.7878695040044112,0.333767749157753,0.33368656178587197,0.1243259705541601
offset_70pct,stuck_at,101,0.675,Conditional Lite-CF,2.0,1436,50,8,0.16,31,3,0.9032258064516129,0.7625348189415042,0.4777158774373259,34.81894150417827,1.0,34.81894150417827,0.4777158774373259,0.8331538056455868,0.5918440650112402,2.3817023559638177,0.797099559055316,0.33374441796650517,0.33374441796650517,0.12965655037041174
drift_70pct,gaussian,101,0.675,Conditional Lite-CF,2.0,1436,70,13,0.18571428571428572,32,6,0.8125,0.770891364902507,0.48119777158774374,48.74651810584958,1.0,48.74651810584958,0.48119777158774374,0.8062030478190975,0.5092053825285854,2.475666439956908,0.793667124607507,0.32935990797816483,0.32935990797816483,0.11755473581713023
drift_70pct,offset,101,0.675,Conditional Lite-CF,2.0,1436,47,10,0.2127659574468085,37,16,0.5675675675675675,0.8210306406685237,0.47980501392757663,-41.78272980501393,1.0,-41.78272980501393,0.47980501392757663,0.8374958102562218,0.5883105182689373,2.4799798338111607,0.8053547582714349,0.3445797311759892,0.3440993964907598,0.12889815396017507
drift_70pct,drift,101,0.675,Conditional Lite-CF,2.0,1436,40,3,0.075,29,7,0.7586206896551724,0.8105849582172702,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386815871398331,0.5936595811475549,2.377298629398,0.7845229778625304,0.32980612340027443,0.32972493602839337,0.12407118528048537
drift_70pct,stuck_at,101,0.675,Conditional Lite-CF,2.0,1436,50,10,0.2,31,6,0.8064516129032258,0.7778551532033426,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8339004287830135,0.5939883059936383,2.3637316617558612,0.7875841385736639,0.3251809994164204,0.3251809994164205,0.12834643405388257
stuck_at_70pct,gaussian,101,0.675,Conditional Lite-CF,2.0,1436,70,12,0.17142857142857143,32,5,0.84375,0.775766016713092,0.48119777158774374,48.74651810584958,1.0,48.74651810584958,0.48119777158774374,0.8062202861257214,0.5096077986716057,2.4649866915044223,0.7892632145097862,0.324679951587152,0.32467995158715196,0.11649074626103939
stuck_at_70pct,offset,101,0.675,Conditional Lite-CF,2.0,1436,47,13,0.2765957446808511,37,16,0.5675675675675675,0.8279944289693594,0.4818941504178273,-20.891364902506965,1.0,-20.891364902506965,0.4818941504178273,0.8379320688807944,0.588229800547682,2.4744974841993574,0.8021916441118007,0.3400292231061807,0.33954888842095127,0.12865988445076013
stuck_at_70pct,drift,101,0.675,Conditional Lite-CF,2.0,1436,40,3,0.075,29,11,0.6206896551724138,0.8154596100278552,0.5027855153203342,-55.710306406685234,1.0,-55.710306406685234,0.5027855153203342,0.838299266634885,0.5928365923804342,2.377187700237589,0.7855031623132511,0.3311947783084293,0.33111359093654824,0.12385721773468523
stuck_at_70pct,stuck_at,101,0.675,Conditional Lite-CF,2.0,1436,50,11,0.22,31,6,0.8064516129032258,0.7924791086350975,0.4777158774373259,34.81894150417827,1.0,34.81894150417827,0.4777158774373259,0.8341838323657385,0.594248690030421,2.356571791790146,0.7830086364899648,0.32070047842431476,0.32070047842431476,0.12722260778416686
uniform,gaussian,102,0.75,Conditional Lite-CF,2.0,1436,37,2,0.05405405405405406,16,0,1.0,0.7263231197771588,0.47284122562674097,13.927576601671309,1.0,13.927576601671309,0.47284122562674097,0.7955816977057727,0.5166496641171702,2.6164814217196937,0.8067567999426382,0.33587022260375865,0.33484421228275335,0.12102321658426901
uniform,offset,102,0.75,Conditional Lite-CF,2.0,1436,10,1,0.1,3,0,1.0,0.8537604456824512,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.8312708107209742,0.5910679939745308,2.2078505188783226,0.7867131432654665,0.33081405539389164,0.33081405539389175,0.12848851724407573
uniform,drift,102,0.75,Conditional Lite-CF,2.0,1436,5,2,0.4,6,0,1.0,0.8335654596100278,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8413175007864256,0.6095510766886518,2.0589645042952536,0.7412035574538395,0.3026538162330621,0.2973133654480978,0.12047116480481361
