seed,fault_type,feature_regime,threshold,preference_auroc,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,drift,temperature_scaled,0.7,0.45948275862068966,Conditional Lite-CF,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386553327814942,0.5936382403913666,2.377583958038889,0.7848355521132004,0.32962485960511145,0.32954367223323033,0.12403080695050794
101,gaussian,temperature_scaled,0.7,0.553125,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8059467246425532,0.5088620261584281,2.4778418294663305,0.7930963542150123,0.32709674120120186,0.32709674120120186,0.11738334082266906
101,offset,temperature_scaled,0.7,0.491661874640598,Conditional Lite-CF,2.0,1436,47,9,0.19148936170212766,37,15,0.5945945945945945,0.8015320334261838,0.47980501392757663,-41.78272980501393,1.0,-41.78272980501393,0.47980501392757663,0.8381677440367262,0.589004270138828,2.4784076527874643,0.8043031107270576,0.3456627644465228,0.3451824297612933,0.12844326652749744
101,stuck_at,temperature_scaled,0.7,0.5832258064516129,Conditional Lite-CF,2.0,1436,50,8,0.16,31,4,0.8709677419354839,0.7597493036211699,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8338331191943019,0.5934616696081315,2.3686784781508146,0.7885336025043365,0.3260579305927724,0.32605793059277255,0.1283048430856598
101,drift,uncalibrated_endpoints,0.7,0.45431034482758625,Conditional Lite-CF,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7924791086350975,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386275116644971,0.5937189598391189,2.3771425805023982,0.7848683991114388,0.32965336313522464,0.3295721757633436,0.12394993964613277
101,gaussian,uncalibrated_endpoints,0.7,0.553125,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,4,0.875,0.7513927576601671,0.48119777158774374,48.74651810584958,1.0,48.74651810584958,0.48119777158774374,0.8058058740366348,0.5086879252075949,2.4809220491381248,0.7944054891722749,0.328837570914646,0.3288375709146461,0.11743195287721982
101,offset,uncalibrated_endpoints,0.7,0.48648648648648646,Conditional Lite-CF,2.0,1436,47,9,0.19148936170212766,37,15,0.5945945945945945,0.7994428969359332,0.47980501392757663,-41.78272980501393,1.0,-41.78272980501393,0.47980501392757663,0.8382087586825332,0.5890307900750099,2.4776926359688307,0.8040322178648639,0.34567481199639105,0.3451944773111616,0.1283315041166965
101,stuck_at,uncalibrated_endpoints,0.7,0.575483870967742,Conditional Lite-CF,2.0,1436,50,8,0.16,31,4,0.8709677419354839,0.7576601671309192,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8338444793274777,0.5934265126430792,2.368717738690666,0.7889971145273819,0.32631118528700354,0.3263111852870036,0.12850252423607142
102,drift,temperature_scaled,0.775,0.8666666666666667,Conditional Lite-CF,2.0,1436,5,2,0.4,6,0,1.0,0.8328690807799443,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8415057110884901,0.609697677428514,2.0578719327605985,0.7407573780366353,0.30217385257672713,0.29683340179176276,0.12036947397795388
102,gaussian,temperature_scaled,0.775,0.3935810810810811,Conditional Lite-CF,2.0,1436,37,2,0.05405405405405406,16,0,1.0,0.7249303621169917,0.47284122562674097,13.927576601671309,1.0,13.927576601671309,0.47284122562674097,0.795527533651283,0.5166476602876645,2.6160041771043105,0.8062952117379093,0.33512362189507366,0.33409761157406825,0.1209336655608682
102,offset,temperature_scaled,0.775,0.43333333333333335,Conditional Lite-CF,2.0,1436,10,1,0.1,3,0,1.0,0.8467966573816156,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.831162542120846,0.5907857539124874,2.209193618842175,0.7873217173048184,0.33069480329198103,0.33069480329198103,0.12855876495465077
102,stuck_at,temperature_scaled,0.775,0.34375,Conditional Lite-CF,2.0,1436,16,1,0.0625,2,0,1.0,0.7158774373259053,0.5146239554317549,6.963788300835654,1.0,6.963788300835654,0.5146239554317549,0.8266953214060736,0.5874255100895556,1.955976327732502,0.7171847866366877,0.2677689118745112,0.26411118788776344,0.10938039635780113
102,drift,uncalibrated_endpoints,0.8,0.9666666666666667,Conditional Lite-CF,2.0,1436,5,1,0.2,6,0,1.0,0.7848189415041783,0.5376044568245125,6.963788300835654,1.0,6.963788300835654,0.5376044568245125,0.8409688768703454,0.6089195355882212,2.072452411960901,0.7451964838879547,0.3048938683255817,0.29955341754061726,0.1215973639900042
102,gaussian,uncalibrated_endpoints,0.8,0.3885135135135135,Conditional Lite-CF,2.0,1436,37,1,0.02702702702702703,16,0,1.0,0.6838440111420613,0.47214484679665736,6.963788300835654,1.0,6.963788300835654,0.47214484679665736,0.7943835617110708,0.5149422861906988,2.6447444363656194,0.8136374215479525,0.33870213088209966,0.3376761205610943,0.12255326211717642
102,offset,uncalibrated_endpoints,0.8,0.6,Conditional Lite-CF,2.0,1436,10,1,0.1,3,0,1.0,0.8015320334261838,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.8306890488048838,0.5898989069269108,2.221131096169697,0.7903255443116936,0.3316092597643427,0.3316092597643427,0.12896888572744755
102,stuck_at,uncalibrated_endpoints,0.8,0.375,Conditional Lite-CF,2.0,1436,16,1,0.0625,2,0,1.0,0.6364902506963789,0.5146239554317549,6.963788300835654,1.0,6.963788300835654,0.5146239554317549,0.825901110150325,0.5871939942284148,1.966019870865373,0.7182548414719224,0.2680180212669243,0.2643602972801765,0.10976206158996142
103,drift,temperature_scaled,0.9,0.7642857142857142,Conditional Lite-CF,2.0,1436,28,0,0.0,5,0,1.0,0.6427576601671309,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8121133494451996,0.5685464953610497,3.1976937601471955,0.8986856992515025,0.4103073620927258,0.4091799862014676,0.1510754219855942
103,gaussian,temperature_scaled,0.9,0.6353741496598639,Conditional Lite-CF,2.0,1436,49,0,0.0,15,0,1.0,0.48676880222841223,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.774255659737897,0.48108874172013466,3.8681893158039236,0.912900058935743,0.41569763512123314,0.41555099995515515,0.1455344195301916
103,offset,temperature_scaled,0.9,0.888888888888889,Conditional Lite-CF,2.0,1436,42,0,0.0,3,0,1.0,0.6525069637883009,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.8036820518205965,0.5506093663288959,3.470090181655177,0.9653625550710687,0.45095962898801634,0.44930797223221336,0.1635935777828779
103,stuck_at,temperature_scaled,0.9,0.7670329670329671,Conditional Lite-CF,2.0,1436,35,0,0.0,13,0,1.0,0.46935933147632314,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.8079595459658284,0.5536716622424747,2.834417375883667,0.8842775612724603,0.3940277108433863,0.39309381652683445,0.1460317955066284
103,drift,uncalibrated_endpoints,0.775,0.75,Conditional Lite-CF,2.0,1436,28,0,0.0,5,0,1.0,0.7625348189415042,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.812260924443397,0.5699071466339277,3.1715441923343,0.892891211339216,0.40950465266752056,0.40837727677626245,0.149643317607509
103,gaussian,uncalibrated_endpoints,0.775,0.5931972789115647,Conditional Lite-CF,2.0,1436,49,2,0.04081632653061224,15,0,1.0,0.6162952646239555,0.44846796657381616,13.927576601671309,1.0,13.927576601671309,0.44846796657381616,0.7757711498897578,0.48328857867256797,3.7786170720297467,0.9097911789753885,0.4150415110359933,0.41489487586991525,0.1456804073026177
103,offset,uncalibrated_endpoints,0.775,0.8095238095238095,Conditional Lite-CF,2.0,1436,42,0,0.0,3,0,1.0,0.7534818941504178,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.803849575525413,0.5519381709074168,3.438170130372349,0.9584576466775224,0.4501923331375286,0.44854067638172557,0.16188562332422043
103,stuck_at,uncalibrated_endpoints,0.775,0.6989010989010989,Conditional Lite-CF,2.0,1436,35,0,0.0,13,0,1.0,0.6176880222841226,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.8081183536611899,0.5532957754445682,2.7888660589101373,0.875751257382085,0.39299296853249355,0.39205907421594166,0.1440318184990229
104,drift,temperature_scaled,0.825,0.4120370370370371,Conditional Lite-CF,2.0,1436,24,0,0.0,18,0,1.0,0.5389972144846796,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8236080343150819,0.5757388075244793,2.680473814311928,0.8038095687501844,0.3408524834067175,0.34069471355794984,0.13443443500000626
104,gaussian,temperature_scaled,0.825,0.5102599179206566,Conditional Lite-CF,2.0,1436,43,0,0.0,17,2,0.8823529411764706,0.5870473537604457,0.4637883008356546,-13.927576601671309,1.0,-13.927576601671309,0.4637883008356546,0.7822268245505039,0.47369206939403186,3.328814987793202,0.8897807224297041,0.395999784245878,0.39599978424587795,0.13909492745146543
104,offset,temperature_scaled,0.825,0.4028085735402808,Conditional Lite-CF,2.0,1436,41,0,0.0,33,2,0.9393939393939394,0.5250696378830083,0.4972144846796657,-13.927576601671309,1.0,-13.927576601671309,0.4972144846796657,0.8186383082052852,0.5631512523189168,2.8279299293700197,0.828934356545843,0.34524400093712904,0.3430042771435447,0.14118221359935892
104,stuck_at,temperature_scaled,0.825,0.4180216802168022,Conditional Lite-CF,2.0,1436,41,0,0.0,36,0,1.0,0.4818941504178273,0.48467966573816157,0.0,1.0,0.0,0.48467966573816157,0.8124353832194631,0.55769066695155,2.7281759485300134,0.8402131907505321,0.3510126636789657,0.34644961935279867,0.14157795767690592
104,drift,uncalibrated_endpoints,0.875,0.45138888888888884,Conditional Lite-CF,2.0,1436,24,0,0.0,18,0,1.0,0.40947075208913647,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8238049895852982,0.5751132903608077,2.684115017318927,0.8045783323680281,0.3416831323781667,0.34152536252939897,0.13469730757996057
104,gaussian,uncalibrated_endpoints,0.875,0.4815321477428181,Conditional Lite-CF,2.0,1436,43,0,0.0,17,1,0.9411764705882353,0.4756267409470752,0.46448467966573814,-6.963788300835654,1.0,-6.963788300835654,0.46448467966573814,0.7811078822674776,0.47208239035261385,3.3852576759654407,0.8971164502178085,0.40002904049288845,0.4000290404928885,0.1403668656216217
104,offset,uncalibrated_endpoints,0.875,0.4212860310421286,Conditional Lite-CF,2.0,1436,41,0,0.0,33,2,0.9393939393939394,0.39763231197771587,0.4972144846796657,-13.927576601671309,1.0,-13.927576601671309,0.4972144846796657,0.8193350925007548,0.5627097691888344,2.8255214241117943,0.8307092197785926,0.3463601106370119,0.34412038684342766,0.14088781429935673
104,stuck_at,uncalibrated_endpoints,0.875,0.43089430894308944,Conditional Lite-CF,2.0,1436,41,0,0.0,36,0,1.0,0.35097493036211697,0.48467966573816157,0.0,1.0,0.0,0.48467966573816157,0.8105867254010616,0.5556984487811146,2.7661106889775144,0.8473105958819724,0.35446005121648,0.34989700689031283,0.14278350500640816
105,drift,temperature_scaled,0.55,0.709375,Conditional Lite-CF,2.0,1436,20,1,0.05,16,0,1.0,0.7311977715877437,0.5292479108635098,6.963788300835654,1.0,6.963788300835654,0.5292479108635098,0.8457712103729124,0.6174563589885149,1.684345651092419,0.6735756788380298,0.23243804144031371,0.23243804144031374,0.10605150329225697
105,gaussian,temperature_scaled,0.55,0.6587301587301587,Conditional Lite-CF,2.0,1436,36,7,0.19444444444444445,14,2,0.8571428571428572,0.7228412256267409,0.47214484679665736,34.81894150417827,1.0,34.81894150417827,0.47214484679665736,0.7979144422847179,0.5360383209799034,2.3851080403645124,0.7805360447708524,0.3101020287545515,0.3098273141941231,0.11686486634996034
105,offset,temperature_scaled,0.55,0.7379679144385027,Conditional Lite-CF,2.0,1436,34,6,0.17647058823529413,22,0,1.0,0.7228412256267409,0.5034818941504178,41.78272980501393,1.0,41.78272980501393,0.5034818941504178,0.8364291503500012,0.5981243024823241,1.8116033835978111,0.7215901415288167,0.25125313858549375,0.25021336779113773,0.11830312611133385
105,stuck_at,temperature_scaled,0.55,0.6808080808080808,Conditional Lite-CF,2.0,1436,45,1,0.022222222222222223,11,0,1.0,0.7207520891364902,0.45473537604456826,6.963788300835654,1.0,6.963788300835654,0.45473537604456826,0.8187870815198489,0.5757657241756405,1.841556397390473,0.7531140061850804,0.27844402482982966,0.27844402482982966,0.11787136262132279
105,drift,uncalibrated_endpoints,0.55,0.7,Conditional Lite-CF,2.0,1436,20,1,0.05,16,0,1.0,0.6852367688022284,0.5292479108635098,6.963788300835654,1.0,6.963788300835654,0.5292479108635098,0.8456793632497196,0.6174439415039358,1.688096957863489,0.6753061214153429,0.2334453199585869,0.23344531995858694,0.10608909974271519
105,gaussian,uncalibrated_endpoints,0.55,0.6547619047619048,Conditional Lite-CF,2.0,1436,36,6,0.16666666666666666,14,1,0.9285714285714286,0.6761838440111421,0.47214484679665736,34.81894150417827,1.0,34.81894150417827,0.47214484679665736,0.7972723428264191,0.5354658112666916,2.4044991848871224,0.7831468779861865,0.31126691053514643,0.31099219597471806,0.1166060629351973
105,offset,uncalibrated_endpoints,0.55,0.7259358288770054,Conditional Lite-CF,2.0,1436,34,4,0.11764705882352941,22,0,1.0,0.6775766016713092,0.5020891364902507,27.855153203342617,1.0,27.855153203342617,0.5020891364902507,0.8366824425008003,0.5980765600331795,1.8139626157748205,0.7224198343840165,0.25320125806078897,0.25216148726643295,0.11831697167534798
105,stuck_at,uncalibrated_endpoints,0.55,0.6404040404040404,Conditional Lite-CF,2.0,1436,45,1,0.022222222222222223,11,0,1.0,0.6552924791086351,0.45473537604456826,6.963788300835654,1.0,6.963788300835654,0.45473537604456826,0.8189124228733987,0.5753021827448987,1.8433963992317064,0.7552848951012949,0.27905649633853863,0.2790564963385387,0.11862083247511533
106,drift,temperature_scaled,0.65,0.7968253968253968,Conditional Lite-CF,2.0,1436,21,7,0.3333333333333333,15,1,0.9333333333333333,0.8655988857938719,0.5271587743732591,41.78272980501393,1.0,41.78272980501393,0.5271587743732591,0.8433047934886382,0.6219335089492998,2.394965262511377,0.7436983663636618,0.317279343179173,0.31727934317917295,0.12162755540296943
106,gaussian,temperature_scaled,0.65,0.757085020242915,Conditional Lite-CF,2.0,1436,38,14,0.3684210526315789,13,0,1.0,0.8440111420612814,0.4763231197771588,97.49303621169916,1.0,97.49303621169916,0.4763231197771588,0.7969545064034135,0.5190569721562769,3.2650177092852806,0.8430038203870346,0.3707310521769982,0.37065246174778593,0.1330966204427085
106,offset,temperature_scaled,0.65,0.6409090909090909,Conditional Lite-CF,2.0,1436,22,2,0.09090909090909091,10,1,0.9,0.8662952646239555,0.5083565459610028,6.963788300835654,1.0,6.963788300835654,0.5083565459610028,0.8356650887821543,0.5998826324985914,2.5362360785386975,0.7799837542278169,0.3333881109847452,0.33338811098474513,0.1279804069025844
106,stuck_at,temperature_scaled,0.65,0.6868131868131868,Conditional Lite-CF,2.0,1436,21,0,0.0,26,0,1.0,0.8015320334261838,0.504874651810585,0.0,1.0,0.0,0.504874651810585,0.8272437997151151,0.5956382722328712,2.3882737119891186,0.7640903476257849,0.30966050042510773,0.3096608903328689,0.12306008005686221
106,drift,uncalibrated_endpoints,0.725,0.8222222222222222,Conditional Lite-CF,2.0,1436,21,0,0.0,15,0,1.0,0.7646239554317549,0.5229805013927576,0.0,1.0,0.0,0.5229805013927576,0.8443203996706711,0.6228267225672299,2.405258282364604,0.7515213052377936,0.32845303512786417,0.3284530351278641,0.12348138478543062
