seed,fault_type,method,extra_passes,extra_passes_per_retained_correction,extra_passes_per_net_correction,number_needed_to_route_per_retained_correction,number_needed_to_route_per_net_correction
101,drift,Always PDRF,0.0,inf,inf,inf,inf
101,drift,Always RO-PDRF-Lite,0.0,0.0,0.0,35.9,130.54545454545453
101,drift,Frozen Lite-CF (ungated),1436.0,718.0,inf,571.0,inf
101,drift,Prospective gate Lite-CF,1436.0,718.0,inf,571.0,inf
101,drift,All-row multinomial (safety),1436.0,287.2,478.6666666666667,24.4,40.666666666666664
101,drift,All-row multinomial (utility 1:1),1436.0,38.810810810810814,89.75,37.21621621621622,86.0625
101,gaussian,Always PDRF,0.0,inf,inf,inf,inf
101,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,20.514285714285716,37.78947368421053
101,gaussian,Frozen Lite-CF (ungated),1436.0,130.54545454545453,179.5,98.36363636363636,135.25
101,gaussian,Prospective gate Lite-CF,1436.0,130.54545454545453,179.5,98.36363636363636,135.25
101,gaussian,All-row multinomial (safety),1436.0,287.2,359.0,22.799999999999997,28.499999999999996
101,gaussian,All-row multinomial (utility 1:1),1436.0,35.9,62.43478260869565,32.875,57.17391304347826
101,offset,Always PDRF,0.0,inf,inf,inf,inf
101,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,30.5531914893617,143.6
101,offset,Frozen Lite-CF (ungated),1436.0,159.55555555555554,inf,127.88888888888889,inf
101,offset,Prospective gate Lite-CF,1436.0,159.55555555555554,inf,127.88888888888889,inf
101,offset,All-row multinomial (safety),1436.0,110.46153846153847,287.2,13.23076923076923,34.4
101,offset,All-row multinomial (utility 1:1),1436.0,35.02439024390244,119.66666666666667,33.51219512195122,114.5
101,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
101,stuck_at,Always RO-PDRF-Lite,0.0,0.0,0.0,28.72,75.57894736842105
101,stuck_at,Frozen Lite-CF (ungated),1436.0,179.5,359.0,136.375,272.75
101,stuck_at,Prospective gate Lite-CF,1436.0,179.5,359.0,136.375,272.75
101,stuck_at,All-row multinomial (safety),1436.0,179.5,239.33333333333334,17.375,23.166666666666668
101,stuck_at,All-row multinomial (utility 1:1),1436.0,34.19047619047619,62.43478260869565,32.285714285714285,58.95652173913044
102,drift,Always PDRF,0.0,inf,inf,inf,inf
102,drift,Always RO-PDRF-Lite,0.0,0.0,inf,287.2,inf
102,drift,Frozen Lite-CF (ungated),1436.0,718.0,718.0,598.0,598.0
102,drift,Prospective gate Lite-CF,1436.0,718.0,718.0,598.0,598.0
102,drift,All-row multinomial (safety),1436.0,478.6666666666667,478.6666666666667,16.333333333333332,16.333333333333332
102,drift,All-row multinomial (utility 1:1),1436.0,478.6666666666667,478.6666666666667,15.333333333333334,15.333333333333334
102,gaussian,Always PDRF,0.0,inf,inf,inf,inf
102,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,38.810810810810814,68.38095238095238
102,gaussian,Frozen Lite-CF (ungated),1436.0,718.0,718.0,520.5,520.5
102,gaussian,Prospective gate Lite-CF,1436.0,718.0,718.0,520.5,520.5
102,gaussian,All-row multinomial (safety),1436.0,205.14285714285714,359.0,13.571428571428571,23.75
102,gaussian,All-row multinomial (utility 1:1),1436.0,239.33333333333334,478.6666666666667,14.833333333333334,29.666666666666668
102,offset,Always PDRF,0.0,inf,inf,inf,inf
102,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,143.6,205.14285714285714
102,offset,Frozen Lite-CF (ungated),1436.0,1436.0,1436.0,1216.0,1216.0
102,offset,Prospective gate Lite-CF,1436.0,1436.0,1436.0,1216.0,1216.0
102,offset,All-row multinomial (safety),1436.0,478.6666666666667,478.6666666666667,16.666666666666668,16.666666666666668
102,offset,All-row multinomial (utility 1:1),1436.0,478.6666666666667,478.6666666666667,15.0,15.0
102,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
102,stuck_at,Always RO-PDRF-Lite,0.0,0.0,0.0,89.75,102.57142857142857
102,stuck_at,Frozen Lite-CF (ungated),1436.0,1436.0,1436.0,1028.0,1028.0
102,stuck_at,Prospective gate Lite-CF,1436.0,1436.0,1436.0,1028.0,1028.0
102,stuck_at,All-row multinomial (safety),1436.0,159.55555555555554,159.55555555555554,7.444444444444445,7.444444444444445
102,stuck_at,All-row multinomial (utility 1:1),1436.0,179.5,179.5,7.0,7.0
103,drift,Always PDRF,0.0,inf,inf,inf,inf
103,drift,Always RO-PDRF-Lite,0.0,0.0,0.0,51.285714285714285,62.43478260869565
103,drift,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
103,drift,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
103,drift,All-row multinomial (safety),1436.0,inf,inf,inf,inf
103,drift,All-row multinomial (utility 1:1),1436.0,53.18518518518518,65.27272727272727,52.77777777777778,64.77272727272727
103,gaussian,Always PDRF,0.0,inf,inf,inf,inf
103,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,29.306122448979593,42.23529411764706
103,gaussian,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
103,gaussian,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
103,gaussian,All-row multinomial (safety),1436.0,478.6666666666667,478.6666666666667,6.333333333333333,6.333333333333333
103,gaussian,All-row multinomial (utility 1:1),1436.0,32.63636363636363,46.32258064516129,32.13636363636363,45.61290322580645
103,offset,Always PDRF,0.0,inf,inf,inf,inf
103,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,34.19047619047619,36.82051282051282
103,offset,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
103,offset,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
103,offset,All-row multinomial (safety),1436.0,inf,inf,inf,inf
103,offset,All-row multinomial (utility 1:1),1436.0,35.9,37.78947368421053,35.725,37.60526315789474
103,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
103,stuck_at,Always RO-PDRF-Lite,0.0,0.0,0.0,41.02857142857143,65.27272727272727
103,stuck_at,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
103,stuck_at,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
103,stuck_at,All-row multinomial (safety),1436.0,inf,inf,inf,inf
103,stuck_at,All-row multinomial (utility 1:1),1436.0,44.875,59.833333333333336,44.3125,59.083333333333336
104,drift,Always PDRF,0.0,inf,inf,inf,inf
104,drift,Always RO-PDRF-Lite,0.0,0.0,0.0,59.833333333333336,239.33333333333334
104,drift,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
104,drift,Prospective gate Lite-CF,1436.0,inf,inf,inf,inf
104,drift,All-row multinomial (safety),1436.0,inf,inf,inf,inf
104,drift,All-row multinomial (utility 1:1),1436.0,119.66666666666667,205.14285714285714,31.25,53.57142857142857
104,gaussian,Always PDRF,0.0,inf,inf,inf,inf
104,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,33.395348837209305,55.23076923076923
104,gaussian,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
104,gaussian,Prospective gate Lite-CF,1436.0,inf,inf,inf,inf
104,gaussian,All-row multinomial (safety),1436.0,inf,inf,inf,inf
104,gaussian,All-row multinomial (utility 1:1),1436.0,68.38095238095238,130.54545454545453,20.000000000000004,38.18181818181819
104,offset,Always PDRF,0.0,inf,inf,inf,inf
104,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,35.02439024390244,179.5
104,offset,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
104,offset,Prospective gate Lite-CF,1436.0,inf,inf,inf,inf
104,offset,All-row multinomial (safety),1436.0,inf,inf,inf,inf
104,offset,All-row multinomial (utility 1:1),1436.0,62.43478260869565,478.6666666666667,17.956521739130434,137.66666666666666
104,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
