seed,calibration_group,test_group,fault_type,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,1,1,drift,0.7,Conditional Lite-CF,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386553327814942,0.5936382403913666,2.377583958038889,0.7848355521132004,0.32962485960511145,0.32954367223323033,0.12403080695050794
101,1,1,drift,0.4000000000000001,All-row multinomial,2.0,1436,40,5,0.125,29,2,0.9310344827586207,0.08495821727019498,0.5104456824512534,20.891364902506965,1.0,20.891364902506965,0.5104456824512534,0.8396451509642971,0.5940134794783111,2.4768637122723067,0.7824561856185791,0.33291593698593114,0.3328347496140501,0.12506619343813885
101,1,1,gaussian,0.7,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8059467246425532,0.5088620261584281,2.4778418294663305,0.7930963542150123,0.32709674120120186,0.32709674120120186,0.11738334082266906
101,1,1,gaussian,0.4000000000000001,All-row multinomial,2.0,1436,70,5,0.07142857142857142,32,1,0.96875,0.07938718662952646,0.479108635097493,27.855153203342617,1.0,27.855153203342617,0.479108635097493,0.8003435492500305,0.49933277543510707,2.777397990740863,0.8136619518531764,0.3420263172343299,0.34202631723432986,0.12132894538357931
101,1,1,offset,0.7,Conditional Lite-CF,2.0,1436,47,9,0.19148936170212766,37,15,0.5945945945945945,0.8015320334261838,0.47980501392757663,-41.78272980501393,1.0,-41.78272980501393,0.47980501392757663,0.8381677440367262,0.589004270138828,2.4784076527874643,0.8043031107270576,0.3456627644465228,0.3451824297612933,0.12844326652749744
101,1,1,offset,0.4000000000000001,All-row multinomial,2.0,1436,47,13,0.2765957446808511,37,8,0.7837837837837838,0.11977715877437325,0.48746518105849584,34.81894150417827,1.0,34.81894150417827,0.48746518105849584,0.8362006600724938,0.5817402702585993,2.6052840035786025,0.8131973878139671,0.3528988082254321,0.3524184735402025,0.13215145290607258
101,1,1,stuck_at,0.7,Conditional Lite-CF,2.0,1436,50,8,0.16,31,4,0.8709677419354839,0.7597493036211699,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8338331191943019,0.5934616696081315,2.3686784781508146,0.7885336025043365,0.3260579305927724,0.32605793059277255,0.1283048430856598
101,1,1,stuck_at,0.4000000000000001,All-row multinomial,2.0,1436,50,8,0.16,31,2,0.935483870967742,0.0967966573816156,0.47841225626740946,41.78272980501393,1.0,41.78272980501393,0.47841225626740946,0.8268592210809241,0.5865564365907697,2.591667412773495,0.8157947513300073,0.34086385132179114,0.34086385132179114,0.13526473560657276
101,1,2,drift,0.7,Conditional Lite-CF,2.0,1397,18,2,0.1111111111111111,63,32,0.4920634920634921,0.8310665712240516,0.45454545454545453,-214.74588403722262,1.0,-214.74588403722262,0.45454545454545453,0.805069942555094,0.5264054027276358,3.38961964178518,0.8900420786818427,0.3885929272116054,0.3853011578623834,0.14993784564948245
101,1,2,drift,0.4000000000000001,All-row multinomial,2.0,1397,18,1,0.05555555555555555,63,14,0.7777777777777778,0.06156048675733715,0.4667143879742305,-93.05654974946313,1.0,-93.05654974946313,0.4667143879742305,0.8059849064947454,0.5399846195674981,3.6585905718013665,0.8938172711224883,0.3929961370740397,0.38954412644633396,0.14987903424716098
