analysis_set,seed,fault_type,method,criterion,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,mean_forward_passes,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
calibration_oof,101,all_calibration_families,Conditional Lite-CF,matched_prevention,0.6900442951121905,1797,120,60,0.5,69,0,1.0,0.7595993322203672,0.6700055648302726,333.889816360601,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Conditional Lite-CF,matched_retention,0.7027742797213272,1797,120,59,0.49166666666666664,69,0,1.0,0.7501391207568169,0.669449081803005,328.32498608792434,,,,,,,,,,,
calibration_oof,101,all_calibration_families,All-row multinomial,matched_prevention,0.3844584723624057,1797,120,25,0.20833333333333334,69,0,1.0,0.09015025041736227,0.6505286588759043,139.1207568169171,,,,,,,,,,,
calibration_oof,101,all_calibration_families,All-row multinomial,matched_retention,0.32196952906677384,1797,120,60,0.5,69,1,0.9855072463768116,0.18030050083472454,0.669449081803005,328.32498608792434,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Two-stage,matched_prevention,0.27711388465625725,1797,120,27,0.225,69,0,1.0,0.06010016694490818,0.6516416249304396,150.25041736227044,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Two-stage,matched_retention,0.2077169715075314,1797,120,61,0.5083333333333333,69,4,0.9420289855072463,0.16026711185308848,0.6683361157484696,317.19532554257097,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Shallow tree,matched_prevention,1.000000001,1797,120,0,0.0,69,0,1.0,0.0,0.6366165831942125,0.0,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Shallow tree,matched_retention,1.0,1797,120,56,0.4666666666666667,69,1,0.9855072463768116,0.763494713411241,0.6672231496939344,306.0656649972176,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Confidence difference,matched_prevention,0.31937231302261354,1797,120,14,0.11666666666666667,69,0,1.0,0.02003338898163606,0.6444073455759599,77.90762381747356,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Confidence difference,matched_retention,-0.03798419713973998,1797,120,59,0.49166666666666664,69,41,0.4057971014492754,0.7100723427935448,0.6466332776850306,100.1669449081803,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Base uncertainty,matched_prevention,-0.26062405009405515,1797,120,0,0.0,69,0,1.0,0.0,0.6366165831942125,0.0,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Base uncertainty,matched_retention,-0.6020028042793274,1797,120,58,0.48333333333333334,69,56,0.18840579710144922,0.19031719532554256,0.6377295492487479,11.129660545353367,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Entropy difference,matched_prevention,0.23777431187047426,1797,120,15,0.125,69,0,1.0,0.03005008347245409,0.6449638286032277,83.47245409015025,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Entropy difference,matched_retention,-0.029239492278701915,1797,120,59,0.49166666666666664,69,48,0.30434782608695654,0.6099053978853645,0.6427378964941569,61.213132999443516,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Random,matched_prevention,0.9997803935301828,1797,120,0,0.0,69,0,1.0,0.0,0.6366165831942125,0.0,,,,,,,,,,,
calibration_oof,101,all_calibration_families,Random,matched_retention,0.47736853350936936,1797,120,59,0.49166666666666664,69,33,0.5217391304347826,0.5197551474680022,0.6510851419031719,144.68558708959378,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Conditional Lite-CF,matched_prevention,0.7717968065803451,1840,26,10,0.38461538461538464,48,0,1.0,0.7097826086956521,0.7244565217391304,54.34782608695652,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Conditional Lite-CF,matched_retention,0.7842545748217801,1840,26,9,0.34615384615384615,48,0,1.0,0.7,0.7239130434782609,48.91304347826087,,,,,,,,,,,
calibration_oof,102,all_calibration_families,All-row multinomial,matched_prevention,0.5114720837637458,1840,26,17,0.6538461538461539,48,0,1.0,0.04021739130434782,0.7282608695652174,92.3913043478261,,,,,,,,,,,
calibration_oof,102,all_calibration_families,All-row multinomial,matched_retention,0.6368636552613613,1840,26,11,0.4230769230769231,48,0,1.0,0.02010869565217391,0.725,59.78260869565217,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Two-stage,matched_prevention,0.29170468410478767,1840,26,13,0.5,48,0,1.0,0.04021739130434782,0.7260869565217392,70.65217391304348,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Two-stage,matched_retention,0.36022981017328504,1840,26,9,0.34615384615384615,48,0,1.0,0.02010869565217391,0.7239130434782609,48.91304347826087,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Shallow tree,matched_prevention,0.5000000010000003,1840,26,0,0.0,48,0,1.0,0.0,0.7190217391304348,0.0,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Shallow tree,matched_retention,0.5000000000000003,1840,26,6,0.23076923076923078,48,9,0.8125,0.1956521739130435,0.717391304347826,-16.304347826086957,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Confidence difference,matched_prevention,0.14576577544212352,1840,26,10,0.38461538461538464,48,0,1.0,0.02010869565217391,0.7244565217391304,54.34782608695652,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Confidence difference,matched_retention,0.14576577544212352,1840,26,10,0.38461538461538464,48,0,1.0,0.02010869565217391,0.7244565217391304,54.34782608695652,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Base uncertainty,matched_prevention,-0.25051745672361747,1840,26,0,0.0,48,0,1.0,0.0,0.7190217391304348,0.0,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Base uncertainty,matched_retention,-0.47961683869361854,1840,26,7,0.2692307692307692,48,41,0.14583333333333337,0.1,0.7005434782608696,-184.7826086956522,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Entropy difference,matched_prevention,0.05852547460398675,1840,26,13,0.5,48,0,1.0,0.06032608695652174,0.7260869565217392,70.65217391304348,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Entropy difference,matched_retention,0.13333375632016775,1840,26,11,0.4230769230769231,48,0,1.0,0.02010869565217391,0.725,59.78260869565217,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Random,matched_prevention,0.9990000882637838,1840,26,1,0.038461538461538464,48,0,1.0,0.0005434782608695652,0.7195652173913043,5.434782608695652,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Random,matched_retention,0.7904534807104302,1840,26,9,0.34615384615384615,48,10,0.7916666666666666,0.21032608695652175,0.7184782608695652,-5.434782608695652,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Conditional Lite-CF,matched_prevention,0.9783663245865922,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Conditional Lite-CF,matched_retention,0.9783663245865922,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,All-row multinomial,matched_prevention,0.5265225002206645,1860,50,2,0.04,21,0,1.0,0.01021505376344086,0.624731182795699,10.75268817204301,,,,,,,,,,,
calibration_oof,103,all_calibration_families,All-row multinomial,matched_retention,0.7879077324461405,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
