method,fault_type,batch,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
All-row multinomial (utility 1:1),drift,8,accuracy,10,0.5527472527472528,0.5304973683198339,0.5749971371746717,0.5494505494505495,0.5384615384615384,0.5686813186813187,0.5054945054945055,0.6043956043956044
All-row multinomial (utility 1:1),drift,8,macro_auroc,10,0.9196303854233692,0.9114538803181272,0.9278068905286111,0.9214135405645343,0.9127130586080834,0.9252495185985249,0.9009996077956594,0.9385288346539514
All-row multinomial (utility 1:1),drift,8,correction_opportunities,10,2.0,0.03367194439668775,3.966328055603312,1.0,0.25,2.0,0.0,9.0
All-row multinomial (utility 1:1),drift,8,harm_opportunities,10,0.9,0.043561120557065736,1.7564388794429342,1.0,0.0,1.0,0.0,4.0
All-row multinomial (utility 1:1),drift,8,negative_transfer_prevention,10,0.8,0.49837904495278684,1.1016209550472134,1.0,1.0,1.0,0.0,1.0
All-row multinomial (utility 1:1),drift,8,recovery_retention,10,0.49444444444444446,0.15698786396192393,0.8319010249269649,0.4722222222222222,0.0,1.0,0.0,1.0
All-row multinomial (utility 1:1),drift,8,utility_per_10000,10,120.87912087912086,6.961467772907071,234.79677398533465,54.94505494505494,0.0,192.3076923076923,0.0,439.56043956043953
All-row multinomial (utility 1:1),drift,9,accuracy,10,0.6509090909090909,0.6169430905259116,0.6848750912922702,0.6575757575757576,0.6121212121212121,0.6772727272727272,0.5757575757575758,0.7151515151515152
All-row multinomial (utility 1:1),drift,9,macro_auroc,10,0.9172406353536828,0.9078064292004551,0.9266748415069106,0.9227320611877624,0.9105004809965357,0.9246729460605362,0.8923415749703024,0.9322096476901427
All-row multinomial (utility 1:1),drift,9,correction_opportunities,10,5.5,1.421838178085702,9.578161821914298,3.5,1.25,8.0,0.0,17.0
All-row multinomial (utility 1:1),drift,9,harm_opportunities,10,2.3,0.752813856132029,3.8471861438679706,3.0,0.0,3.75,0.0,6.0
All-row multinomial (utility 1:1),drift,9,negative_transfer_prevention,10,0.7,0.35444978557781814,1.0455502144221818,1.0,0.25,1.0,0.0,1.0
All-row multinomial (utility 1:1),drift,9,recovery_retention,10,0.7874509803921568,0.5310583325300096,1.043843628254304,1.0,0.6852941176470588,1.0,0.0,1.0
All-row multinomial (utility 1:1),drift,9,utility_per_10000,10,230.3030303030303,10.371825801154586,450.234234804906,151.5151515151515,60.60606060606061,333.3333333333333,-121.21212121212122,969.6969696969697
