seed,fault_type,batch,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,drift,8,Always PDRF,1.0,91,0,0,0.0,1,0,1.0,0.0,0.5494505494505495,0.0,1.0,0.0,0.5494505494505495,0.9285125690487837,0.7932711650912413,1.2124163346322798,0.6786377535373969,0.2967532182712262,0.31674418658684367,0.14326981395794292
101,drift,8,Always RO-PDRF-Lite,1.0,91,0,0,0.0,1,1,0.0,1.0,0.5384615384615384,-109.89010989010988,1.0,-109.89010989010988,0.5384615384615384,0.9300415757131777,0.8332020555109674,1.1545972158117292,0.6629725764297341,0.2786454738827181,0.2843899804705881,0.13745498741547488
101,drift,8,Frozen Lite-CF (ungated),2.0,91,0,0,0.0,1,0,1.0,0.7692307692307693,0.5494505494505495,0.0,1.0,0.0,0.5494505494505495,0.9334726483185868,0.8339956844565862,1.1315279470700117,0.6511683693638921,0.286216357786927,0.3022438114220343,0.13892068421171677
101,drift,8,Prospective gate Lite-CF,2.0,91,0,0,0.0,1,0,1.0,0.7692307692307693,0.5494505494505495,0.0,1.0,0.0,0.5494505494505495,0.9334726483185868,0.8339956844565862,1.1315279470700117,0.6511683693638921,0.286216357786927,0.3022438114220343,0.13892068421171677
101,drift,8,All-row multinomial (utility 1:1),2.0,91,0,0,0.0,1,0,1.0,0.8901098901098901,0.5494505494505495,0.0,1.0,0.0,0.5494505494505495,0.9309564037255113,0.8320557499400238,1.1472727762150698,0.6597966447851872,0.27278012237546223,0.27405231889073783,0.13793593790419204
101,drift,9,Always PDRF,1.0,165,17,0,0.0,3,0,1.0,0.0,0.5818181818181818,0.0,1.0,0.0,0.5818181818181818,0.9219408302096354,0.7951578849437843,1.1575316291839581,0.5661793987940343,0.22424856834793622,0.2254687288256709,0.11844355160922504
101,drift,9,Always RO-PDRF-Lite,1.0,165,17,17,1.0,3,3,0.0,1.0,0.6666666666666666,848.4848484848485,1.0,848.4848484848485,0.6666666666666666,0.9277547245457375,0.7836977322993545,1.0561404721814192,0.4861264964750563,0.1785650285424819,0.1766319564077542,0.10266238417796296
101,drift,9,Frozen Lite-CF (ungated),2.0,165,17,0,0.0,3,0,1.0,0.6121212121212121,0.5818181818181818,0.0,1.0,0.0,0.5818181818181818,0.9234625441691732,0.7838843758595502,1.1029269844111627,0.5390340819113654,0.20726037283709192,0.20039583554395696,0.11518596245579349
101,drift,9,Prospective gate Lite-CF,2.0,165,17,0,0.0,3,0,1.0,0.6121212121212121,0.5818181818181818,0.0,1.0,0.0,0.5818181818181818,0.9234625441691732,0.7838843758595502,1.1029269844111627,0.5390340819113654,0.20726037283709192,0.20039583554395696,0.11518596245579349
101,drift,9,All-row multinomial (utility 1:1),2.0,165,17,16,0.9411764705882353,3,0,1.0,0.9151515151515152,0.6787878787878788,969.6969696969697,1.0,969.6969696969697,0.6787878787878788,0.9290852216308597,0.7866272467498129,1.0493544698902129,0.48357688003403543,0.17122796777023655,0.18006830209620123,0.10233104797465752
101,drift,10,Always PDRF,1.0,1180,23,0,0.0,25,0,1.0,0.0,0.49491525423728816,0.0,1.0,0.0,0.49491525423728816,0.8292680021714971,0.5649481251138192,2.773547552007631,0.819426943699697,0.3538670527741575,0.3538670527741575,0.13589310531222284
101,drift,10,Always RO-PDRF-Lite,1.0,1180,23,23,1.0,25,25,0.0,1.0,0.49322033898305084,-16.949152542372882,1.0,-16.949152542372882,0.49322033898305084,0.8244528636219689,0.5646672218630148,2.6581935484515893,0.831253731806784,0.355358591498699,0.35535962361941337,0.13721921795104983
101,drift,10,Frozen Lite-CF (ungated),2.0,1180,23,2,0.08695652173913043,25,6,0.76,0.8228813559322034,0.4915254237288136,-33.898305084745765,1.0,-33.898305084745765,0.4915254237288136,0.8277377917540796,0.5674312305965686,2.65191404300041,0.8295143297219892,0.355511026876029,0.3555120589967433,0.13610480767948752
101,drift,10,Prospective gate Lite-CF,2.0,1180,23,2,0.08695652173913043,25,6,0.76,0.8228813559322034,0.4915254237288136,-33.898305084745765,1.0,-33.898305084745765,0.4915254237288136,0.8277377917540796,0.5674312305965686,2.65191404300041,0.8295143297219892,0.355511026876029,0.3555120589967433,0.13610480767948752
101,drift,10,All-row multinomial (utility 1:1),2.0,1180,23,21,0.9130434782608695,25,21,0.16000000000000003,0.9703389830508474,0.49491525423728816,0.0,1.0,0.0,0.49491525423728816,0.8257018617991957,0.5656127505079501,2.6485818636122014,0.8291225880478889,0.3545971978589968,0.3545982299797112,0.13549511164516503
101,gaussian,8,Always PDRF,1.0,91,11,0,0.0,1,0,1.0,0.0,0.5494505494505495,0.0,1.0,0.0,0.5494505494505495,0.8769381948081071,0.6227176984237525,1.751409019838486,0.6358074423446297,0.23330124022757925,0.243344472239363,0.12936689715364974
101,gaussian,8,Always RO-PDRF-Lite,1.0,91,11,11,1.0,1,1,0.0,1.0,0.6593406593406593,1098.901098901099,1.0,1098.901098901099,0.6593406593406593,0.8983596872232001,0.6601437969030495,1.4372646368070887,0.5456245267505039,0.16895187979878032,0.17067579229302282,0.11745885137895667
101,gaussian,8,Frozen Lite-CF (ungated),2.0,91,11,1,0.09090909090909091,1,0,1.0,0.6373626373626373,0.5604395604395604,109.89010989010988,1.0,109.89010989010988,0.5604395604395604,0.8864053711286913,0.6340359562715109,1.5660013319531405,0.6025829774711489,0.21795897210687054,0.22495958167303204,0.12515356307622835
101,gaussian,8,Prospective gate Lite-CF,2.0,91,11,1,0.09090909090909091,1,0,1.0,0.6373626373626373,0.5604395604395604,109.89010989010988,1.0,109.89010989010988,0.5604395604395604,0.8864053711286913,0.6340359562715109,1.5660013319531405,0.6025829774711489,0.21795897210687054,0.22495958167303204,0.12515356307622835
101,gaussian,8,All-row multinomial (utility 1:1),2.0,91,11,6,0.5454545454545454,1,0,1.0,0.8901098901098901,0.6153846153846154,659.3406593406594,1.0,659.3406593406594,0.6153846153846154,0.8944926313420053,0.6530406032895089,1.4807213630053728,0.5589034722576316,0.15965252053918286,0.16550073873662582,0.11670680374412486
101,gaussian,9,Always PDRF,1.0,165,8,0,0.0,4,0,1.0,0.0,0.5515151515151515,0.0,1.0,0.0,0.5515151515151515,0.8543396099792049,0.6094863516144128,2.0839506115685413,0.6925187696742761,0.2727201969190972,0.26434166335808146,0.11790975549881172
101,gaussian,9,Always RO-PDRF-Lite,1.0,165,8,8,1.0,4,4,0.0,1.0,0.5757575757575758,242.42424242424244,1.0,242.42424242424244,0.5757575757575758,0.8757907735455284,0.6425550990657176,1.5266370649530203,0.6158862826966304,0.2250570060717098,0.21313783802060893,0.10817738563342405
101,gaussian,9,Frozen Lite-CF (ungated),2.0,165,8,1,0.125,4,0,1.0,0.7393939393939394,0.5575757575757576,60.60606060606061,1.0,60.60606060606061,0.5575757575757576,0.8660125810628213,0.6290017214539732,1.6776136252143183,0.6488224328231965,0.24190839648375917,0.2367317515178784,0.11141458225482785
101,gaussian,9,Prospective gate Lite-CF,2.0,165,8,1,0.125,4,0,1.0,0.7393939393939394,0.5575757575757576,60.60606060606061,1.0,60.60606060606061,0.5575757575757576,0.8660125810628213,0.6290017214539732,1.6776136252143183,0.6488224328231965,0.24190839648375917,0.2367317515178784,0.11141458225482785
101,gaussian,9,All-row multinomial (utility 1:1),2.0,165,8,4,0.5,4,2,0.5,0.9030303030303031,0.5636363636363636,121.21212121212122,1.0,121.21212121212122,0.5636363636363636,0.875284897584698,0.6408695040348072,1.545777231719694,0.6267446704428801,0.22379862924810234,0.22587606034509433,0.11001946732746044
101,gaussian,10,Always PDRF,1.0,1180,51,0,0.0,27,0,1.0,0.0,0.46016949152542375,0.0,1.0,0.0,0.46016949152542375,0.7870654718739258,0.4831364310885722,3.028728760693708,0.8637587715507913,0.3736147282372402,0.3718686143614425,0.1339673804848217
101,gaussian,10,Always RO-PDRF-Lite,1.0,1180,51,51,1.0,27,27,0.0,1.0,0.48050847457627116,203.38983050847457,1.0,203.38983050847457,0.48050847457627116,0.7976047774066691,0.5006755805431639,2.5892511609630224,0.8149227401616372,0.3358591553652016,0.3349783918390146,0.12303868197803802
101,gaussian,10,Frozen Lite-CF (ungated),2.0,1180,51,9,0.17647058823529413,27,3,0.8888888888888888,0.764406779661017,0.4652542372881356,50.847457627118644,1.0,50.847457627118644,0.4652542372881356,0.7943311409876054,0.49435737395518126,2.6600580476041706,0.827962382648556,0.3519946959268179,0.35024858205102033,0.1252651940292093
101,gaussian,10,Prospective gate Lite-CF,2.0,1180,51,9,0.17647058823529413,27,3,0.8888888888888888,0.764406779661017,0.4652542372881356,50.847457627118644,1.0,50.847457627118644,0.4652542372881356,0.7943311409876054,0.49435737395518126,2.6600580476041706,0.827962382648556,0.3519946959268179,0.35024858205102033,0.1252651940292093
101,gaussian,10,All-row multinomial (utility 1:1),2.0,1180,51,30,0.5882352941176471,27,15,0.4444444444444444,0.9194915254237288,0.4728813559322034,127.11864406779661,1.0,127.11864406779661,0.4728813559322034,0.7964656404848016,0.49846997904310597,2.6036134602899605,0.8186532030378614,0.34384943442466054,0.3438494344246607,0.12429103286333236
101,offset,8,Always PDRF,1.0,91,3,0,0.0,0,0,1.0,0.0,0.4945054945054945,0.0,1.0,0.0,0.4945054945054945,0.9112279479693112,0.7671924935398061,1.630454892065855,0.7609757261361397,0.3309169282130188,0.330964503481479,0.15170447323712044
101,offset,8,Always RO-PDRF-Lite,1.0,91,3,3,1.0,0,0,1.0,1.0,0.5274725274725275,329.6703296703297,1.0,329.6703296703297,0.5274725274725275,0.931156175794031,0.8070877820147445,1.4163993191688147,0.7100377473000781,0.2765560004999608,0.28000276368711935,0.1444364741218422
101,offset,8,Frozen Lite-CF (ungated),2.0,91,3,0,0.0,0,0,1.0,0.7472527472527473,0.4945054945054945,0.0,1.0,0.0,0.4945054945054945,0.9346623048770576,0.8118931498470993,1.3914895731228176,0.720830512312446,0.33161769489758114,0.33723910822779307,0.14929418104539763
101,offset,8,Prospective gate Lite-CF,2.0,91,3,0,0.0,0,0,1.0,0.7472527472527473,0.4945054945054945,0.0,1.0,0.0,0.4945054945054945,0.9346623048770576,0.8118931498470993,1.3914895731228176,0.720830512312446,0.33161769489758114,0.33723910822779307,0.14929418104539763
101,offset,8,All-row multinomial (utility 1:1),2.0,91,3,2,0.6666666666666666,0,0,1.0,0.9120879120879121,0.5164835164835165,219.78021978021977,1.0,219.78021978021977,0.5164835164835165,0.9325320347796006,0.806993421587343,1.4003069747605326,0.7103190677853617,0.2907163803725944,0.2980409296431596,0.14473092448502692
101,offset,9,Always PDRF,1.0,165,3,0,0.0,4,0,1.0,0.0,0.5212121212121212,0.0,1.0,0.0,0.5212121212121212,0.8963207182033045,0.7880982600142321,1.524207417199709,0.7152050255760187,0.3008016800642342,0.31077034958082617,0.1501162558442641
101,offset,9,Always RO-PDRF-Lite,1.0,165,3,3,1.0,4,4,0.0,1.0,0.5151515151515151,-60.60606060606061,1.0,-60.60606060606061,0.5151515151515151,0.9074929175352305,0.7783002686171095,1.3239040362937757,0.5973715201629693,0.2392352160375221,0.2735400082322927,0.11899946781170789
101,offset,9,Frozen Lite-CF (ungated),2.0,165,3,1,0.3333333333333333,4,0,1.0,0.7090909090909091,0.5272727272727272,60.60606060606061,1.0,60.60606060606061,0.5272727272727272,0.918082691518376,0.8034203016048721,1.2798064271011456,0.5977043996018137,0.23558766118791527,0.25485457029470354,0.1224550688935674
101,offset,9,Prospective gate Lite-CF,2.0,165,3,1,0.3333333333333333,4,0,1.0,0.7090909090909091,0.5272727272727272,60.60606060606061,1.0,60.60606060606061,0.5272727272727272,0.918082691518376,0.8034203016048721,1.2798064271011456,0.5977043996018137,0.23558766118791527,0.25485457029470354,0.1224550688935674
101,offset,9,All-row multinomial (utility 1:1),2.0,165,3,3,1.0,4,0,1.0,0.9030303030303031,0.5393939393939394,181.8181818181818,1.0,181.8181818181818,0.5393939393939394,0.914200574845211,0.7895143005814997,1.299349236669529,0.5920106827356583,0.24224548788821845,0.273923802426093,0.1185597650780974
101,offset,10,Always PDRF,1.0,1180,41,0,0.0,33,0,1.0,0.0,0.47796610169491527,0.0,1.0,0.0,0.47796610169491527,0.8278044993314265,0.5536408059641083,2.8833123793610866,0.841097518197415,0.36349336869394255,0.3629088258058158,0.13912840407198188
101,offset,10,Always RO-PDRF-Lite,1.0,1180,41,41,1.0,33,33,0.0,1.0,0.4847457627118644,67.79661016949153,1.0,67.79661016949153,0.4847457627118644,0.8253278547542925,0.5596308727716227,2.730949057019455,0.8394618886733426,0.35385997657911206,0.35385997657911217,0.1390924633978856
101,offset,10,Frozen Lite-CF (ungated),2.0,1180,41,8,0.1951219512195122,33,15,0.5454545454545454,0.8186440677966101,0.47203389830508474,-59.32203389830509,1.0,-59.32203389830509,0.47203389830508474,0.8281593840297236,0.5615440766934706,2.7298303220348257,0.83962920801982,0.3647212936113515,0.36413675072322477,0.13709803792535522
101,offset,10,Prospective gate Lite-CF,2.0,1180,41,8,0.1951219512195122,33,15,0.5454545454545454,0.8186440677966101,0.47203389830508474,-59.32203389830509,1.0,-59.32203389830509,0.47203389830508474,0.8281593840297236,0.5615440766934706,2.7298303220348257,0.83962920801982,0.3647212936113515,0.36413675072322477,0.13709803792535522
101,offset,10,All-row multinomial (utility 1:1),2.0,1180,41,36,0.8780487804878049,33,29,0.12121212121212122,0.9677966101694915,0.48389830508474574,59.32203389830509,1.0,59.32203389830509,0.48389830508474574,0.8273498999920209,0.5608764915228954,2.7185963030636215,0.8359613574933122,0.35502309623122785,0.35502309623122796,0.13709213766697217
101,stuck_at,8,Always PDRF,1.0,91,3,0,0.0,0,0,1.0,0.0,0.4835164835164835,0.0,1.0,0.0,0.4835164835164835,0.8968161808457277,0.7067177979688849,1.7920471596931413,0.7575509466486327,0.32849668688820044,0.30572223765713746,0.15307052030225313
