method,selection_fraction,negative_transfer_prevention,recovery_retention,utility_ratio1_per_10000
All-row multinomial,0.0,1.0,0.0,0.0
All-row multinomial,0.025,0.9556766710007342,0.08199097726897968,9.227019498607243
All-row multinomial,0.05,0.9226685314484768,0.16325898633686406,21.065459610027855
All-row multinomial,0.07500000000000001,0.8763469635339829,0.22932444080250364,29.42200557103064
All-row multinomial,0.1,0.8331337282522526,0.27920321904441014,35.51532033426184
All-row multinomial,0.125,0.7898652257101698,0.312550400240927,39.34540389972145
All-row multinomial,0.15000000000000002,0.7530978708361974,0.3482319372409789,44.91643454038997
All-row multinomial,0.17500000000000002,0.7267400752071935,0.38174390886277154,50.139275766016716
All-row multinomial,0.2,0.7065357933664018,0.4072597325975954,54.317548746518106
All-row multinomial,0.225,0.6874107286378888,0.4352802133370308,59.54038997214485
All-row multinomial,0.25,0.6742755217526819,0.45747500907673544,63.89275766016713
All-row multinomial,0.275,0.6643995296891898,0.47298479668420496,67.37465181058495
All-row multinomial,0.30000000000000004,0.6399121654431681,0.4811937511879923,67.89693593314763
All-row multinomial,0.325,0.6301762155509681,0.4863048370727873,68.07103064066852
All-row multinomial,0.35000000000000003,0.6209695870796338,0.4964658539865626,69.28969359331475
All-row multinomial,0.375,0.6140835939436406,0.5041519615264294,70.33426183844011
All-row multinomial,0.4,0.6086467650693118,0.5094079163267067,71.03064066852367
All-row multinomial,0.42500000000000004,0.6020725904759839,0.5151576502175677,71.72701949860723
All-row multinomial,0.45,0.6020725904759839,0.5209969861416124,73.46796657381616
All-row multinomial,0.47500000000000003,0.5980621738093173,0.527989900448298,74.6866295264624
All-row multinomial,0.5,0.5965800465207384,0.5306218679639864,75.03481894150418
All-row multinomial,0.525,0.5957179775552212,0.5320610127008285,75.20891364902506
All-row multinomial,0.55,0.594247389319927,0.5372938728022334,76.4275766016713
All-row multinomial,0.5750000000000001,0.5933853203544098,0.540413258145023,77.12395543175487
All-row multinomial,0.6000000000000001,0.5933853203544098,0.5416890979383047,77.64623955431755
All-row multinomial,0.625,0.5900107810423705,0.5437203479383046,77.64623955431755
All-row multinomial,0.65,0.5873119174060069,0.5444147923827491,77.47214484679667
All-row multinomial,0.675,0.5873119174060069,0.5456194409088262,77.82033426183844
All-row multinomial,0.7000000000000001,0.5873119174060069,0.5474678118361445,78.16852367688023
All-row multinomial,0.7250000000000001,0.5873119174060069,0.5474678118361445,78.16852367688023
All-row multinomial,0.75,0.5873119174060069,0.5474678118361445,78.16852367688023
All-row multinomial,0.775,0.5873119174060069,0.5516944200799694,78.86490250696379
All-row multinomial,0.8,0.5873119174060069,0.553266367754388,79.38718662952647
All-row multinomial,0.8250000000000001,0.5862702507393401,0.5552983994929745,79.73537604456826
All-row multinomial,0.8500000000000001,0.5777524317527712,0.5569438076562399,79.21309192200557
All-row multinomial,0.875,0.5674897083650479,0.5699582290419313,82.52089136490251
All-row multinomial,0.9,0.5395029777819581,0.6093953980516059,89.83286908077994
All-row multinomial,0.925,0.47773542280649856,0.6776621832784235,101.32311977715878
All-row multinomial,0.9500000000000001,0.36851489981375923,0.7664099168795447,112.11699164345404
All-row multinomial,0.9750000000000001,0.2043544028201409,0.8708699949463359,120.9958217270195
All-row multinomial,1.0,0.0,1.0,132.13788300835654
Conditional Lite-CF,0.0,1.0,0.0,0.0
Conditional Lite-CF,0.025,0.9946603641456584,0.002938988095238095,0.0
Conditional Lite-CF,0.05,0.992577030812325,0.007672756602641056,0.6963788300835654
Conditional Lite-CF,0.07500000000000001,0.992577030812325,0.008454006602641057,0.8704735376044568
Conditional Lite-CF,0.1,0.9902853641456583,0.01051983293317327,0.8704735376044568
Conditional Lite-CF,0.125,0.9877731092436974,0.01051983293317327,0.522284122562674
Conditional Lite-CF,0.15000000000000002,0.9855003819709702,0.015290322859913196,1.5668523676880222
Conditional Lite-CF,0.17500000000000002,0.9855003819709702,0.017586241227260137,2.2632311977715878
Conditional Lite-CF,0.2,0.982559205500382,0.02292212558100163,3.307799442896936
Conditional Lite-CF,0.225,0.982559205500382,0.026736463816295748,4.004178272980502
Conditional Lite-CF,0.25,0.9810886172650879,0.030456701911533844,4.7005571030640665
Conditional Lite-CF,0.275,0.9781474407944997,0.03494068300397082,5.396935933147633
Conditional Lite-CF,0.30000000000000004,0.9721313980137509,0.03701338708560347,5.396935933147632
Conditional Lite-CF,0.325,0.9691456582633053,0.04004647532089759,5.396935933147633
Conditional Lite-CF,0.35000000000000003,0.966872930990578,0.04160897532089759,5.571030640668523
Conditional Lite-CF,0.375,0.9550673754350225,0.04445605165142981,5.571030640668523
Conditional Lite-CF,0.4,0.9445058781088193,0.04766404157816973,5.396935933147633
Conditional Lite-CF,0.42500000000000004,0.9385289873525167,0.05118442502224503,5.571030640668523
Conditional Lite-CF,0.45,0.9342806213394448,0.052746925022245025,5.571030640668523
Conditional Lite-CF,0.47500000000000003,0.9242873058314235,0.05756572754325344,5.919220055710307
Conditional Lite-CF,0.5,0.9162460211357271,0.06041280387378565,5.571030640668523
Conditional Lite-CF,0.525,0.9072888018843901,0.06710661986171929,5.745125348189415
Conditional Lite-CF,0.55,0.8983135451150156,0.07997259268668394,7.137883008356546
Conditional Lite-CF,0.5750000000000001,0.8965278308293014,0.08779268578802704,8.704735376044567
Conditional Lite-CF,0.6000000000000001,0.8905326770859858,0.09552886066269935,9.923398328690807
Conditional Lite-CF,0.625,0.8845983336516424,0.10208023653092684,10.793871866295264
Conditional Lite-CF,0.65,0.8810765082548171,0.11019364728056928,12.360724233983287
Conditional Lite-CF,0.675,0.8679494979374542,0.11551880223819933,12.360724233983287
Conditional Lite-CF,0.7000000000000001,0.8562708438019037,0.13148505750627204,13.753481894150417
Conditional Lite-CF,0.7250000000000001,0.8319257663066246,0.15024634494737815,15.668523676880222
Conditional Lite-CF,0.75,0.8144017182174673,0.1722442070328643,18.454038997214486
Conditional Lite-CF,0.775,0.7931420901175285,0.19741489988574368,21.587743732590532
Conditional Lite-CF,0.8,0.7535149796351581,0.2355285311076575,25.940111420612812
Conditional Lite-CF,0.8250000000000001,0.7097477350521071,0.2946128769165268,35.86350974930362
Conditional Lite-CF,0.8500000000000001,0.661055283359999,0.36152692682877813,46.83147632311978
Conditional Lite-CF,0.875,0.5916287913379453,0.46190090596952277,63.19637883008356
Conditional Lite-CF,0.9,0.5293028335503533,0.5749134646913314,83.56545961002786
Conditional Lite-CF,0.925,0.44055543971720235,0.6993749474191586,102.36768802228411
Conditional Lite-CF,0.9500000000000001,0.32660880406210185,0.7898346354772143,112.11699164345404
Conditional Lite-CF,0.9750000000000001,0.17596372358070406,0.8908501932231696,124.12952646239555
Conditional Lite-CF,1.0,0.0,1.0,132.13788300835654
Confidence difference,0.0,1.0,0.0,0.0
Confidence difference,0.025,0.9391753070448455,0.08275466029092335,13.927576601671309
Confidence difference,0.05,0.9072548144281954,0.14063938965692818,25.41782729805014
Confidence difference,0.07500000000000001,0.8681471931722108,0.2103023186511444,35.68941504178273
Confidence difference,0.1,0.8200566322838823,0.2638852055682669,44.3941504178273
Confidence difference,0.125,0.7895300958345783,0.30264922554824036,49.268802228412255
Confidence difference,0.15000000000000002,0.7533735686449895,0.3493128151722037,55.36211699164345
Confidence difference,0.17500000000000002,0.7120984115397742,0.387487897982606,59.36629526462396
Confidence difference,0.2,0.6833749535695121,0.40967907600274256,61.62952646239554
Confidence difference,0.225,0.6643344179205205,0.43357606664028187,64.76323119777159
Confidence difference,0.25,0.6405839597706582,0.4532029473887424,66.85236768802228
Confidence difference,0.275,0.6097999208971061,0.4698271524783652,68.59331476323119
Confidence difference,0.30000000000000004,0.5952557295210181,0.48192655481377156,69.63788300835654
Confidence difference,0.325,0.5633894162623899,0.49685446954177276,70.6824512534819
Confidence difference,0.35000000000000003,0.5575610432465169,0.5057691711396652,72.5974930362117
Confidence difference,0.375,0.5514217237799915,0.51084559336104,73.29387186629526
Confidence difference,0.4,0.5491647793355471,0.5197322376180417,75.03481894150418
Confidence difference,0.42500000000000004,0.5462133904466582,0.5221475492711581,75.38300835654596
Confidence difference,0.45,0.5414308363993983,0.5246882469455768,75.55710306406685
Confidence difference,0.47500000000000003,0.5414308363993983,0.5260969771043069,76.07938718662953
Confidence difference,0.5,0.5374986574672194,0.5289930475168247,76.07938718662953
Confidence difference,0.525,0.5366922058543161,0.5300854844916146,76.25348189415041
Confidence difference,0.55,0.5300539482785586,0.5315170551819063,76.07938718662953
Confidence difference,0.5750000000000001,0.5247509179755283,0.539818714753892,77.29805013927577
Confidence difference,0.6000000000000001,0.5215564735310838,0.5459242373683432,77.99442896935933
Confidence difference,0.625,0.5124971300967404,0.5560424530335206,79.73537604456824
Confidence difference,0.65,0.506562473355632,0.5639526977122922,81.30222841225627
Confidence difference,0.675,0.4949517176543223,0.5722295966452849,82.34679665738162
Confidence difference,0.7000000000000001,0.48578395833031296,0.5850022384689041,85.13231197771589
