method,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
All-row multinomial (safety),accuracy,40,0.48790041782729804,0.4797551765644588,0.49604565909013726,0.4881615598885794,0.4662256267409471,0.5088788300835654,0.4373259052924791,0.5389972144846796
All-row multinomial (safety),macro_auroc,40,0.8117906007417911,0.8050937877146357,0.8184874137689465,0.8113277329331796,0.798568484345678,0.827111778040458,0.7692645718394697,0.8441991225697406
All-row multinomial (safety),negative_transfer_prevention,40,0.9719557512774954,0.9547767170216591,0.9891347855333318,1.0,0.9573863636363636,1.0,0.7837837837837838,1.0
All-row multinomial (safety),recovery_retention,40,0.07309125703898758,0.02821923538778777,0.1179632786901874,0.0,0.0,0.06377551020408163,0.0,0.6
All-row multinomial (safety),recovery_selection_rate,40,0.029665738161559884,0.018445811435529383,0.040885664887590385,0.012186629526462395,0.0,0.04735376044568246,0.0,0.11977715877437325
All-row multinomial (safety),utility_per_10000,40,9.575208913649025,4.719659615707706,14.430758211590344,0.0,0.0,20.891364902506965,-6.963788300835654,62.674094707520894
All-row multinomial (utility 1:1),accuracy,40,0.49773676880222845,0.4910518180047077,0.5044217195997491,0.49268802228412256,0.4801532033426184,0.5142757660167131,0.4672701949860724,0.5389972144846796
All-row multinomial (utility 1:1),macro_auroc,40,0.8160043565039142,0.8101523070450056,0.8218564059628228,0.8175527079928591,0.8051863595970142,0.8331187776274905,0.7772950196816361,0.8440237184864907
All-row multinomial (utility 1:1),negative_transfer_prevention,40,0.37467353519876134,0.28056942918038275,0.46877764121713994,0.33333333333333337,0.1356060606060606,0.5083333333333333,0.0,1.0
All-row multinomial (utility 1:1),recovery_retention,40,0.7027836389273453,0.6298719157493332,0.7756953621053574,0.7182539682539683,0.5691964285714286,0.9014105642256902,0.14285714285714285,1.0
All-row multinomial (utility 1:1),recovery_selection_rate,40,0.6675487465181058,0.5442040277476554,0.7908934652885562,0.9474233983286908,0.29126044568245124,0.9827646239554317,0.031337047353760444,1.0
All-row multinomial (utility 1:1),utility_per_10000,40,107.93871866295265,76.75485430853857,139.12258301736674,97.49303621169916,27.855153203342617,153.2033426183844,-6.963788300835654,487.46518105849583
Always PDRF,accuracy,40,0.4869428969359332,0.47882486017034753,0.4950609337015188,0.48642061281337046,0.4662256267409471,0.5083565459610028,0.43662952646239556,0.536908077994429
Always PDRF,macro_auroc,40,0.8114969624061764,0.8047707453435362,0.8182231794688166,0.8111561076059219,0.7975294425349528,0.8269089946108265,0.7683560459117124,0.8441991225697406
Always PDRF,negative_transfer_prevention,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,recovery_retention,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,recovery_selection_rate,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,utility_per_10000,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always RO-PDRF-Lite,accuracy,40,0.5001566852367688,0.4937512074402553,0.5065621630332823,0.4986072423398329,0.48502785515320335,0.516016713091922,0.46935933147632314,0.5362116991643454
Always RO-PDRF-Lite,macro_auroc,40,0.8175216074371573,0.8120544796258774,0.8229887352484372,0.8184317480794601,0.8072365334198097,0.8322031984906244,0.7817272630643446,0.8439875190301863
Always RO-PDRF-Lite,negative_transfer_prevention,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always RO-PDRF-Lite,recovery_retention,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always RO-PDRF-Lite,recovery_selection_rate,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always RO-PDRF-Lite,utility_per_10000,40,132.13788300835654,101.43288641356548,162.8428796031476,142.7576601671309,55.710306406685234,163.6490250696379,-34.81894150417827,487.46518105849583
Frozen Lite-CF (ungated),accuracy,40,0.48852715877437325,0.48061392388616986,0.49644039366257664,0.4874651810584958,0.4686629526462396,0.5092270194986073,0.4456824512534819,0.5383008356545961
Frozen Lite-CF (ungated),macro_auroc,40,0.8150818014117907,0.8088426827109081,0.8213209201126732,0.8135582123181238,0.8000966465294841,0.8336243067253997,0.774255659737897,0.8457712103729124
Frozen Lite-CF (ungated),negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
Frozen Lite-CF (ungated),recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
Frozen Lite-CF (ungated),recovery_selection_rate,40,0.5217618384401114,0.4169971076552891,0.6265265692249337,0.6841922005571031,0.1613857938718663,0.7968314763231198,0.0,0.8662952646239555
Frozen Lite-CF (ungated),utility_per_10000,40,15.842618384401112,6.300128354212237,25.385108414589986,6.963788300835654,0.0,34.81894150417827,-41.78272980501393,97.49303621169916
Prospective gate Lite-CF,accuracy,40,0.48769150417827306,0.47956663377944087,0.49581637457710526,0.4874651810584958,0.4662256267409471,0.5083565459610028,0.43662952646239556,0.5383008356545961
Prospective gate Lite-CF,macro_auroc,40,0.8131791244812504,0.8066464217614358,0.8197118272010651,0.8119516058424914,0.7984257182629885,0.8318301863892099,0.7694249613154086,0.8441991225697406
Prospective gate Lite-CF,negative_transfer_prevention,40,0.9623448197538383,0.9356623296466059,0.9890273098610708,1.0,0.9848484848484849,1.0,0.5945945945945945,1.0
Prospective gate Lite-CF,recovery_retention,40,0.06631152735777143,0.030649446525969744,0.10197360818957313,0.0,0.0,0.0953125,0.0,0.4
Prospective gate Lite-CF,recovery_selection_rate,40,0.31107242339832875,0.19514585614505192,0.42699899065160557,0.07381615598885793,0.0,0.7320682451253482,0.0,0.8662952646239555
Prospective gate Lite-CF,utility_per_10000,40,7.486072423398329,0.015846727055460086,14.956298119741199,0.0,0.0,8.704735376044567,-41.78272980501393,97.49303621169916
