seed,calibration_severity,test_severity,fault_type,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,1.0,1.0,drift,0.625,Conditional Lite-CF,2.0,1436,33,9,0.2727272727272727,25,6,0.76,0.8286908077994429,0.536908077994429,20.891364902506965,1.0,20.891364902506965,0.536908077994429,0.8474528715661312,0.6136598525217623,2.1943126687678896,0.7416800802196573,0.30140237925698943,0.3008467214241619,0.11536869576667541
101,1.0,1.0,drift,0.425,All-row multinomial,2.0,1436,33,5,0.15151515151515152,25,2,0.92,0.037604456824512536,0.536908077994429,20.891364902506965,1.0,20.891364902506965,0.536908077994429,0.8481061566175626,0.6124830400555977,2.3160841898115927,0.7408028263811022,0.3104623108818507,0.3099066530490232,0.11650092215601342
101,1.0,1.0,gaussian,0.625,Conditional Lite-CF,2.0,1436,40,8,0.2,31,6,0.8064516129032258,0.7785515320334262,0.5229805013927576,13.927576601671309,1.0,13.927576601671309,0.5229805013927576,0.8405498361323388,0.5888325727452655,2.0379132908423996,0.7134513572419867,0.2838983493639272,0.2817600994529416,0.10612255839340057
101,1.0,1.0,gaussian,0.425,All-row multinomial,2.0,1436,40,2,0.05,31,1,0.967741935483871,0.05013927576601671,0.5222841225626741,6.963788300835654,1.0,6.963788300835654,0.5222841225626741,0.8384002129854188,0.5819533686758912,2.202458918825994,0.7235514285706066,0.2961715778243338,0.29403332791334824,0.11055429808885993
101,1.0,1.0,offset,0.625,Conditional Lite-CF,2.0,1436,32,15,0.46875,23,7,0.6956521739130435,0.8245125348189415,0.5285515320334262,55.710306406685234,1.0,55.710306406685234,0.5285515320334262,0.8445220254455116,0.6086415239231177,2.2682034502133974,0.7662412449770506,0.30740773308300573,0.30740773308300573,0.12203683320444147
101,1.0,1.0,offset,0.425,All-row multinomial,2.0,1436,32,9,0.28125,23,1,0.9565217391304348,0.03690807799442897,0.5285515320334262,55.710306406685234,1.0,55.710306406685234,0.5285515320334262,0.8447320370757927,0.6081379046133263,2.392102188728738,0.7656490464585415,0.3149992885484988,0.3149992885484988,0.12334544618525388
101,1.0,1.0,stuck_at,0.625,Conditional Lite-CF,2.0,1436,29,4,0.13793103448275862,21,6,0.7142857142857143,0.7611420612813371,0.5041782729805014,-13.927576601671309,1.0,-13.927576601671309,0.5041782729805014,0.8382348855232408,0.6116513515358829,2.0819988235704825,0.743926859355229,0.293502848555704,0.2935028485557041,0.11676078183388598
101,1.0,1.0,stuck_at,0.425,All-row multinomial,2.0,1436,29,2,0.06896551724137931,21,1,0.9523809523809523,0.05153203342618384,0.5062674094707521,6.963788300835654,1.0,6.963788300835654,0.5062674094707521,0.8372089227476293,0.6070108855622941,2.2003470840804185,0.754231423569451,0.30273274698198693,0.30273274698198704,0.12195874349509633
101,1.0,2.0,drift,0.625,Conditional Lite-CF,2.0,1436,37,13,0.35135135135135137,30,10,0.6666666666666667,0.8147632311977716,0.525766016713092,20.891364902506965,1.0,20.891364902506965,0.525766016713092,0.8420612225804766,0.6013704211444578,2.2913200502328714,0.7634225671135085,0.3070375230300335,0.30586440760740474,0.12058030514174652
101,1.0,2.0,drift,0.425,All-row multinomial,2.0,1436,37,7,0.1891891891891892,30,6,0.8,0.04456824512534819,0.5243732590529248,6.963788300835654,1.0,6.963788300835654,0.5243732590529248,0.8431240797894651,0.6026966847224768,2.4027853048824657,0.7628377034994789,0.314621571438493,0.31397491682608386,0.12154306759894418
101,1.0,2.0,gaussian,0.625,Conditional Lite-CF,2.0,1436,42,7,0.16666666666666666,27,5,0.8148148148148149,0.770891364902507,0.5062674094707521,13.927576601671309,1.0,13.927576601671309,0.5062674094707521,0.8249195288689704,0.5522931391864859,2.202148273728101,0.7336217778835684,0.2850007717213556,0.28500077172135546,0.10685830931839713
101,1.0,2.0,gaussian,0.425,All-row multinomial,2.0,1436,42,5,0.11904761904761904,27,3,0.8888888888888888,0.08495821727019498,0.5062674094707521,13.927576601671309,1.0,13.927576601671309,0.5062674094707521,0.821476510251948,0.5434858351155327,2.4072983389807594,0.7468914128324776,0.2962327392563659,0.2962327392563659,0.11170394064093049
101,1.0,2.0,offset,0.625,Conditional Lite-CF,2.0,1436,39,19,0.48717948717948717,30,12,0.6,0.7987465181058496,0.5069637883008357,48.74651810584958,1.0,48.74651810584958,0.5069637883008357,0.8403529472593244,0.5959360986942307,2.36158273777128,0.7753586301981641,0.3141701029478433,0.3141701029478434,0.12512776457347627
101,1.0,2.0,offset,0.425,All-row multinomial,2.0,1436,39,13,0.3333333333333333,30,4,0.8666666666666667,0.0584958217270195,0.5083565459610028,62.674094707520894,1.0,62.674094707520894,0.5083565459610028,0.8405968222272633,0.5971064935433953,2.4709868240293167,0.7766917953604374,0.3197502957551384,0.31975029575513836,0.1269236316540132
101,1.0,2.0,stuck_at,0.625,Conditional Lite-CF,2.0,1436,32,8,0.25,24,5,0.7916666666666666,0.7694986072423399,0.4972144846796657,20.891364902506965,1.0,20.891364902506965,0.4972144846796657,0.8362721373968932,0.6010184219061482,2.206376386192878,0.7537386785827824,0.2933257030974664,0.29332570309746636,0.12097297847156945
101,1.0,2.0,stuck_at,0.425,All-row multinomial,2.0,1436,32,2,0.0625,24,0,1.0,0.07729805013927576,0.49651810584958217,13.927576601671309,1.0,13.927576601671309,0.49651810584958217,0.8339868885344391,0.5966806872037355,2.346824292806385,0.7679252199619195,0.30602843317682765,0.30602843317682765,0.1242402176075953
101,1.0,3.0,drift,0.625,Conditional Lite-CF,2.0,1436,40,16,0.4,29,10,0.6551724137931034,0.7896935933147632,0.5125348189415042,41.78272980501393,1.0,41.78272980501393,0.5125348189415042,0.83846267451751,0.5928798076592131,2.3682453558955174,0.7695108863301967,0.30653328665849355,0.30645209928661254,0.1225755321066031
101,1.0,3.0,drift,0.425,All-row multinomial,2.0,1436,40,8,0.2,29,4,0.8620689655172413,0.057103064066852366,0.5111420612813371,27.855153203342617,1.0,27.855153203342617,0.5111420612813371,0.8395614180169316,0.595185750284532,2.470864872504359,0.7706816870190686,0.3156918047313041,0.315610617359423,0.12460395454992605
101,1.0,3.0,gaussian,0.625,Conditional Lite-CF,2.0,1436,70,19,0.2714285714285714,32,6,0.8125,0.7778551532033426,0.4853760445682451,90.5292479108635,1.0,90.5292479108635,0.4853760445682451,0.8069520198336616,0.5109351369272183,2.439042509573142,0.7780247827795772,0.3058311600392094,0.30583116003920946,0.11387473692716156
101,1.0,3.0,gaussian,0.425,All-row multinomial,2.0,1436,70,13,0.18571428571428572,32,5,0.84375,0.09401114206128133,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8003996456261059,0.49990462423168047,2.7652656260226203,0.8028778441340604,0.3231420102068775,0.3231420102068774,0.11975213892204238
101,1.0,3.0,offset,0.625,Conditional Lite-CF,2.0,1436,47,21,0.44680851063829785,37,14,0.6216216216216216,0.7827298050139275,0.48885793871866295,48.74651810584958,1.0,48.74651810584958,0.48885793871866295,0.8376026507913449,0.5879408445385862,2.4771058138291435,0.786423246915251,0.3142399144979485,0.31419988710769275,0.12810331230136265
101,1.0,3.0,offset,0.425,All-row multinomial,2.0,1436,47,11,0.23404255319148937,37,5,0.8648648648648649,0.0988857938718663,0.4881615598885794,41.78272980501393,1.0,41.78272980501393,0.4881615598885794,0.8351796409645785,0.5818012165958973,2.597254227244362,0.7926897930965041,0.32235842988346575,0.3223184024932098,0.13013408731246473
101,1.0,3.0,stuck_at,0.625,Conditional Lite-CF,2.0,1436,50,13,0.26,31,10,0.6774193548387097,0.7910863509749304,0.4763231197771588,20.891364902506965,1.0,20.891364902506965,0.4763231197771588,0.833024404231916,0.5940410004480886,2.352476792464884,0.7731425478064228,0.3048384528043102,0.30483845280431027,0.12685978190055014
101,1.0,3.0,stuck_at,0.425,All-row multinomial,2.0,1436,50,7,0.14,31,6,0.8064516129032258,0.12743732590529247,0.47493036211699163,6.963788300835654,1.0,6.963788300835654,0.47493036211699163,0.8268769992257429,0.5852649844273993,2.5655911393782174,0.7966948695289265,0.3165560241783648,0.316556024178365,0.13341564125440358
101,2.0,1.0,drift,0.65,Conditional Lite-CF,2.0,1436,33,0,0.0,25,5,0.8,0.8377437325905293,0.5313370473537604,-34.81894150417827,1.0,-34.81894150417827,0.5313370473537604,0.8474405383004077,0.6105766242171966,2.205065037632443,0.7527428188682029,0.31745049658739943,0.3168948387545718,0.1176119310490311
101,2.0,1.0,drift,0.22500000000000003,All-row multinomial,2.0,1436,33,2,0.06060606060606061,25,4,0.84,0.22841225626740946,0.5334261838440112,-13.927576601671309,1.0,-13.927576601671309,0.5334261838440112,0.8462774690351673,0.6072065015670228,2.327712864427401,0.75482388787677,0.3225222219547954,0.3219665641219679,0.11824813705384433
101,2.0,1.0,gaussian,0.65,Conditional Lite-CF,2.0,1436,40,1,0.025,31,4,0.8709677419354839,0.7729805013927576,0.5194986072423399,-20.891364902506965,1.0,-20.891364902506965,0.5194986072423399,0.8399883781472569,0.5859889882209481,2.056941369946722,0.7275761831618855,0.30014503806360254,0.298006788152617,0.10822780646252161
101,2.0,1.0,gaussian,0.22500000000000003,All-row multinomial,2.0,1436,40,2,0.05,31,4,0.8709677419354839,0.2075208913649025,0.5201949860724234,-13.927576601671309,1.0,-13.927576601671309,0.5201949860724234,0.8384743976050286,0.5813995824740837,2.1840512341545586,0.7294406098890841,0.30472153775105315,0.30258328784006766,0.10910828873157692
101,2.0,1.0,offset,0.65,Conditional Lite-CF,2.0,1436,32,1,0.03125,23,5,0.782608695652174,0.8259052924791086,0.5201949860724234,-27.855153203342617,1.0,-27.855153203342617,0.5201949860724234,0.8440769515380574,0.6059531017464409,2.280770138803988,0.7783379851639862,0.3261713505963506,0.3261713505963506,0.1234940615821724
101,2.0,1.0,offset,0.22500000000000003,All-row multinomial,2.0,1436,32,2,0.0625,23,5,0.782608695652174,0.22214484679665739,0.520891364902507,-20.891364902506965,1.0,-20.891364902506965,0.520891364902507,0.842757165248987,0.6038762580067687,2.402273860612924,0.7800715480571025,0.3304122654436642,0.3304122654436643,0.12509149778519893
101,2.0,1.0,stuck_at,0.65,Conditional Lite-CF,2.0,1436,29,0,0.0,21,1,0.9523809523809523,0.7625348189415042,0.504874651810585,-6.963788300835654,1.0,-6.963788300835654,0.504874651810585,0.8378967690633875,0.6099987277889726,2.0924516629720307,0.75444964752571,0.303176164584979,0.3031761645849789,0.11723412092313479
101,2.0,1.0,stuck_at,0.22500000000000003,All-row multinomial,2.0,1436,29,2,0.06896551724137931,21,1,0.9523809523809523,0.2381615598885794,0.5062674094707521,6.963788300835654,1.0,6.963788300835654,0.5062674094707521,0.8370879800256491,0.6071343828436384,2.1853891227513964,0.7566837394552074,0.3084943876599686,0.30849438765996867,0.11990200514253745
101,2.0,2.0,drift,0.65,Conditional Lite-CF,2.0,1436,37,1,0.02702702702702703,30,5,0.8333333333333334,0.8189415041782729,0.520891364902507,-27.855153203342617,1.0,-27.855153203342617,0.520891364902507,0.8415911166718261,0.5994116417595541,2.3052496439984314,0.7733243296222476,0.32313709982977745,0.32092225748431014,0.12169911433459692
101,2.0,2.0,drift,0.22500000000000003,All-row multinomial,2.0,1436,37,2,0.05405405405405406,30,7,0.7666666666666666,0.23050139275766016,0.5201949860724234,-34.81894150417827,1.0,-34.81894150417827,0.5201949860724234,0.8416220449620404,0.5999384402116684,2.409885254076923,0.7746333016692528,0.32854126173277276,0.32686950774798457,0.12226683722943525
101,2.0,2.0,gaussian,0.65,Conditional Lite-CF,2.0,1436,42,2,0.047619047619047616,27,7,0.7407407407407407,0.7639275766016713,0.5013927576601671,-34.81894150417827,1.0,-34.81894150417827,0.5013927576601671,0.8245821808966697,0.5505921903396392,2.230951740334101,0.7491576605031095,0.3085562780712082,0.3085562780712082,0.11049332725325212
101,2.0,2.0,gaussian,0.22500000000000003,All-row multinomial,2.0,1436,42,5,0.11904761904761904,27,9,0.6666666666666667,0.24303621169916434,0.5020891364902507,-27.855153203342617,1.0,-27.855153203342617,0.5020891364902507,0.8219844735132656,0.5444023287360266,2.3756617410429666,0.7512920487104465,0.3108361956027599,0.31083619560275993,0.11087117774996828
101,2.0,2.0,offset,0.65,Conditional Lite-CF,2.0,1436,39,5,0.1282051282051282,30,4,0.8666666666666667,0.8189415041782729,0.5027855153203342,6.963788300835654,1.0,6.963788300835654,0.5027855153203342,0.8401227752336037,0.5958339879565836,2.3781930410386622,0.7920627358304114,0.33523870254564686,0.33523870254564686,0.12619098745951118
101,2.0,2.0,offset,0.22500000000000003,All-row multinomial,2.0,1436,39,6,0.15384615384615385,30,9,0.7,0.24373259052924792,0.5,-20.891364902506965,1.0,-20.891364902506965,0.5,0.839740072206557,0.5935005092497551,2.4705032585410747,0.793921096211368,0.3424076960916729,0.3424076960916728,0.12765607775661092
101,2.0,2.0,stuck_at,0.65,Conditional Lite-CF,2.0,1436,32,2,0.0625,24,0,1.0,0.7611420612813371,0.49651810584958217,13.927576601671309,1.0,13.927576601671309,0.49651810584958217,0.8361348489192054,0.600904868923516,2.223915894173266,0.7664224086805781,0.31288339264641096,0.31233180474871225,0.12104320360706516
101,2.0,2.0,stuck_at,0.22500000000000003,All-row multinomial,2.0,1436,32,6,0.1875,24,1,0.9583333333333334,0.23885793871866295,0.4986072423398329,34.81894150417827,1.0,34.81894150417827,0.4986072423398329,0.8341185153169485,0.5962707269764728,2.3371932460403966,0.7698980968022949,0.3157993471563578,0.315737246610546,0.12193004062613653
101,2.0,3.0,drift,0.65,Conditional Lite-CF,2.0,1436,40,2,0.05,29,4,0.8620689655172413,0.814066852367688,0.5069637883008357,-13.927576601671309,1.0,-13.927576601671309,0.5069637883008357,0.83819654621378,0.5928753394562664,2.3807796034890822,0.7852123947155276,0.32902645474019243,0.32894526736831126,0.12390015955069252
101,2.0,3.0,drift,0.22500000000000003,All-row multinomial,2.0,1436,40,5,0.125,29,7,0.7586206896551724,0.24512534818941503,0.5069637883008357,-13.927576601671309,1.0,-13.927576601671309,0.5069637883008357,0.8379796111437394,0.5917621071303446,2.4709941671430617,0.7866159404593703,0.3347700936991629,0.33468890632728177,0.12476339020128697
101,2.0,3.0,gaussian,0.65,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,4,0.875,0.7750696378830083,0.48119777158774374,48.74651810584958,1.0,48.74651810584958,0.48119777158774374,0.8064040337895638,0.5101095034763771,2.4778998160811625,0.7929209164268447,0.33037808375655353,0.3303780837565535,0.11746990996960134
