method,calibration_severity,test_severity,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
All-row multinomial,1.0,1.0,negative_transfer_prevention,40,0.9245958736359479,0.8870463052404807,0.962145442031415,0.9666295884315907,0.8972222222222223,1.0,0.5,1.0
All-row multinomial,1.0,1.0,recovery_retention,40,0.059898326848552806,0.03560696199774391,0.0841896916993617,0.028991596638655463,0.0,0.09809027777777778,0.0,0.28125
All-row multinomial,1.0,1.0,utility_per_10000,40,5.048746518105849,0.8597211809472292,9.23777185526447,0.0,0.0,6.963788300835654,-13.927576601671309,55.710306406685234
All-row multinomial,1.0,1.0,macro_auroc,40,0.8343705384766057,0.8303410671341284,0.838400009819083,0.8336488685667311,0.8252584757557686,0.8454056815796759,0.8097267912166188,0.854353041379833
All-row multinomial,1.0,2.0,negative_transfer_prevention,40,0.925522225668906,0.8893779059286152,0.9616665454091967,1.0,0.8932748538011696,1.0,0.5882352941176471,1.0
All-row multinomial,1.0,2.0,recovery_retention,40,0.07792556860493717,0.046626907790759724,0.10922422941911461,0.04461028192371476,0.0,0.10131578947368422,0.0,0.4
All-row multinomial,1.0,2.0,utility_per_10000,40,7.66016713091922,3.0158089085484807,12.304525353289959,6.963788300835654,0.0,13.927576601671309,-13.927576601671309,62.674094707520894
All-row multinomial,1.0,2.0,macro_auroc,40,0.8222108511774202,0.8170541568330087,0.8273675455218317,0.821301157449255,0.810337072702534,0.8346829542638892,0.7892726817974155,0.8480511176535397
All-row multinomial,1.0,3.0,negative_transfer_prevention,40,0.8963160177859415,0.8531619068831678,0.9394701286887152,0.9335511982570806,0.8571428571428572,1.0,0.4285714285714286,1.0
All-row multinomial,1.0,3.0,recovery_retention,40,0.0661847579706641,0.04196500628766507,0.09040450965366313,0.046511627906976744,0.0,0.09581881533101044,0.0,0.25
All-row multinomial,1.0,3.0,utility_per_10000,40,4.7005571030640665,-0.85611496428269,10.257229170410824,0.0,0.0,6.963788300835654,-41.78272980501393,55.710306406685234
All-row multinomial,1.0,3.0,macro_auroc,40,0.811627224603978,0.804994844435049,0.8182596047729069,0.8113322783254171,0.798341501139747,0.8271169448645894,0.7684854191114097,0.8435613706441979
All-row multinomial,2.0,1.0,negative_transfer_prevention,40,0.9162368926719255,0.8804569407565814,0.9520168445872697,1.0,0.8383333333333334,1.0,0.625,1.0
All-row multinomial,2.0,1.0,recovery_retention,40,0.06736989669807163,0.042803162393714164,0.09193663100242909,0.05643879173290938,0.0,0.09143763213530656,0.0,0.34615384615384615
All-row multinomial,2.0,1.0,utility_per_10000,40,3.83008356545961,0.374307583213219,7.285859547706001,0.0,0.0,6.963788300835654,-20.891364902506965,34.81894150417827
All-row multinomial,2.0,1.0,macro_auroc,40,0.8342478285884487,0.8302694175327261,0.8382262396441713,0.8341114866560833,0.825236918551847,0.84494435832333,0.8096714004821844,0.8545638272502538
All-row multinomial,2.0,2.0,negative_transfer_prevention,40,0.9049681817953961,0.8626924242199071,0.947243939370885,1.0,0.775,1.0,0.625,1.0
All-row multinomial,2.0,2.0,recovery_retention,40,0.09105626269933573,0.06181008477404948,0.12030244062462198,0.067816091954023,0.0,0.12702156334231807,0.0,0.35
All-row multinomial,2.0,2.0,utility_per_10000,40,8.356545961002784,2.2375285540818908,14.475563367923677,6.963788300835654,0.0,13.927576601671309,-34.81894150417827,62.674094707520894
All-row multinomial,2.0,2.0,macro_auroc,40,0.8220951030596876,0.8169881740842304,0.8272020320351448,0.8215444439544957,0.8102425358711995,0.8349805748670558,0.7892726817974155,0.8480733142474186
All-row multinomial,2.0,3.0,negative_transfer_prevention,40,0.8735811314481344,0.8224961237410094,0.9246661391552594,0.9393382352941176,0.76657824933687,1.0,0.4375,1.0
