threshold_strategy,method,harm_to_correction_ratio,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
fixed_safety_or_endpoint,All-row multinomial (safety),1.0,negative_transfer_prevention,40,0.9719557512774954,0.9547767170216591,0.9891347855333318,1.0,0.9573863636363636,1.0,0.7837837837837838,1.0
fixed_safety_or_endpoint,All-row multinomial (safety),1.0,recovery_retention,40,0.07309125703898758,0.02821923538778777,0.1179632786901874,0.0,0.0,0.06377551020408163,0.0,0.6
fixed_safety_or_endpoint,All-row multinomial (safety),1.0,utility_per_10000,40,9.575208913649025,4.719659615707706,14.430758211590344,0.0,0.0,20.891364902506965,-6.963788300835654,62.674094707520894
fixed_safety_or_endpoint,All-row multinomial (safety),1.0,macro_auroc,40,0.8117906007417911,0.8050937877146357,0.8184874137689465,0.8113277329331796,0.798568484345678,0.827111778040458,0.7692645718394697,0.8441991225697406
fixed_safety_or_endpoint,All-row multinomial (safety),2.0,negative_transfer_prevention,40,0.9719557512774954,0.9547767170216591,0.9891347855333318,1.0,0.9573863636363636,1.0,0.7837837837837838,1.0
fixed_safety_or_endpoint,All-row multinomial (safety),2.0,recovery_retention,40,0.07309125703898758,0.02821923538778777,0.1179632786901874,0.0,0.0,0.06377551020408163,0.0,0.6
fixed_safety_or_endpoint,All-row multinomial (safety),2.0,utility_per_10000,40,5.048746518105849,0.6523296869542241,9.445163349257474,0.0,0.0,6.963788300835654,-20.891364902506965,62.674094707520894
fixed_safety_or_endpoint,All-row multinomial (safety),2.0,macro_auroc,40,0.8117906007417911,0.8050937877146357,0.8184874137689465,0.8113277329331796,0.798568484345678,0.827111778040458,0.7692645718394697,0.8441991225697406
fixed_safety_or_endpoint,All-row multinomial (safety),5.0,negative_transfer_prevention,40,0.9719557512774954,0.9547767170216591,0.9891347855333318,1.0,0.9573863636363636,1.0,0.7837837837837838,1.0
fixed_safety_or_endpoint,All-row multinomial (safety),5.0,recovery_retention,40,0.07309125703898758,0.02821923538778777,0.1179632786901874,0.0,0.0,0.06377551020408163,0.0,0.6
fixed_safety_or_endpoint,All-row multinomial (safety),5.0,utility_per_10000,40,-8.530640668523677,-20.08099626107208,3.0197149240247256,0.0,-3.481894150417827,0.0,-188.02228412256267,62.674094707520894
fixed_safety_or_endpoint,All-row multinomial (safety),5.0,macro_auroc,40,0.8117906007417911,0.8050937877146357,0.8184874137689465,0.8113277329331796,0.798568484345678,0.827111778040458,0.7692645718394697,0.8441991225697406
fixed_safety_or_endpoint,All-row multinomial (safety),10.0,negative_transfer_prevention,40,0.9719557512774954,0.9547767170216591,0.9891347855333318,1.0,0.9573863636363636,1.0,0.7837837837837838,1.0
fixed_safety_or_endpoint,All-row multinomial (safety),10.0,recovery_retention,40,0.07309125703898758,0.02821923538778777,0.1179632786901874,0.0,0.0,0.06377551020408163,0.0,0.6
fixed_safety_or_endpoint,All-row multinomial (safety),10.0,utility_per_10000,40,-31.162952646239553,-58.481456657893816,-3.8444486345852944,0.0,-40.04178272980501,0.0,-466.5738161559889,62.674094707520894
fixed_safety_or_endpoint,All-row multinomial (safety),10.0,macro_auroc,40,0.8117906007417911,0.8050937877146357,0.8184874137689465,0.8113277329331796,0.798568484345678,0.827111778040458,0.7692645718394697,0.8441991225697406
fixed_safety_or_endpoint,Always PDRF,1.0,negative_transfer_prevention,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed_safety_or_endpoint,Always PDRF,1.0,recovery_retention,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_safety_or_endpoint,Always PDRF,1.0,utility_per_10000,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_safety_or_endpoint,Always PDRF,1.0,macro_auroc,40,0.8114969624061764,0.8047707453435362,0.8182231794688166,0.8111561076059219,0.7975294425349528,0.8269089946108265,0.7683560459117124,0.8441991225697406
fixed_safety_or_endpoint,Always PDRF,2.0,negative_transfer_prevention,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed_safety_or_endpoint,Always PDRF,2.0,recovery_retention,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_safety_or_endpoint,Always PDRF,2.0,utility_per_10000,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_safety_or_endpoint,Always PDRF,2.0,macro_auroc,40,0.8114969624061764,0.8047707453435362,0.8182231794688166,0.8111561076059219,0.7975294425349528,0.8269089946108265,0.7683560459117124,0.8441991225697406
