analysis_set,seed,fault_type,prevalence,stream,method,subset,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,endpoint_class_agreement,1360,0.5176470588235295,0.8396227114948548,0.5849174819226436,2.443489183846808,0.7824159319274764,0.3344688742399313,0.3344688742399314,0.12619602045153502
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,endpoint_class_disagreement,76,0.2894736842105263,0.7950127697954749,0.481005195867552,1.9894979113376408,0.811836349125183,0.25931216105104066,0.25957522361798135,0.15029394483930242
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,endpoint_class_agreement,1360,0.5176470588235295,0.8376319310918224,0.5766340522341885,2.3619089412803294,0.7786482602292999,0.3260147369837294,0.32601473698372935,0.12531796291131456
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,endpoint_class_disagreement,76,0.32894736842105265,0.7957985852299391,0.4880203495946136,2.0016713191286266,0.78910808694185,0.2479172168583114,0.24436895261290412,0.14069131119015904
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,endpoint_class_agreement,1360,0.5176470588235295,0.8357247165667329,0.5748950219335174,2.36501536580431,0.7820839366393111,0.3290270695784763,0.32902706957847627,0.12488495180832097
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,endpoint_class_disagreement,76,0.27631578947368424,0.7884216205266039,0.44514053355985034,2.0510469080902958,0.8290584331999513,0.29406674543203837,0.2794249392741853,0.15094683461778974
strict,101,drift,0.4,strict_fault_applied_available,Three-outcome-6,endpoint_class_agreement,1360,0.5176470588235295,0.8410907276787117,0.5964071701699544,2.5001927671160367,0.7832825017105122,0.34027025082599194,0.3402702508259918,0.12662512360781786
strict,101,drift,0.4,strict_fault_applied_available,Three-outcome-6,endpoint_class_disagreement,76,0.32894736842105265,0.7955378212700381,0.4923453062464942,2.003964661173255,0.790546957552022,0.2445743631085731,0.2547438428323246,0.1393500290494474
strict,101,drift,0.4,strict_fault_applied_available,Cascade-25,endpoint_class_agreement,1360,0.5176470588235295,0.8388332155355158,0.5784521085058055,2.3849898456696925,0.7796501557270672,0.3300435861033758,0.33004358610337586,0.1258599682623756
strict,101,drift,0.4,strict_fault_applied_available,Cascade-25,endpoint_class_disagreement,76,0.3026315789473684,0.7919152413665352,0.4654495757229347,2.0216721096500727,0.8063265779845005,0.2620292634210099,0.2691371785070298,0.14578903443355085
strict,101,drift,0.4,strict_fault_applied_available,Always PDRF,endpoint_class_agreement,1360,0.5176470588235295,0.8413646624995116,0.5969790276800421,2.5168108655135075,0.7815481514323207,0.3384567576567422,0.3384567576567421,0.1264060823804691
strict,101,drift,0.4,strict_fault_applied_available,Always PDRF,endpoint_class_disagreement,76,0.34210526315789475,0.797925091344481,0.5095664746192453,1.9900781518095336,0.7788676840869095,0.24142214071194468,0.25207633498737825,0.139403158932515
strict,101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,endpoint_class_agreement,1360,0.5176470588235295,0.8339149156362763,0.5731972129026319,2.355453557633568,0.7770230109783051,0.3186698371305466,0.31866983713054653,0.12480340805350444
strict,101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,endpoint_class_disagreement,76,0.27631578947368424,0.7759405821866546,0.42638221707328294,2.1034252947450716,0.8601193905373673,0.24250319027136258,0.2958335570196109,0.1511108082635811
strict,101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,endpoint_class_agreement,1257,0.5178997613365155,0.8166360780606968,0.5196838871012247,2.511576775107864,0.7961389346691963,0.33859068962956723,0.3385906896295672,0.12191963359295876
strict,101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,endpoint_class_disagreement,179,0.24022346368715083,0.694238640417331,0.3112617455631997,2.4073977265140627,0.9179014376421114,0.3205795302671243,0.3160506932418455,0.13525612358596834
strict,101,gaussian,0.4,strict_fault_applied_available,Shrink-6,endpoint_class_agreement,1257,0.5178997613365155,0.8138237330516214,0.5171647366359139,2.4717165960396965,0.7888993871023178,0.33363080618976354,0.3335790306581042,0.11993883130117881
strict,101,gaussian,0.4,strict_fault_applied_available,Shrink-6,endpoint_class_disagreement,179,0.18435754189944134,0.6804110162860476,0.2785263736976542,2.5439040790940934,0.9523605575068477,0.3757950514951894,0.36640831429684817,0.14080190263899903
strict,101,gaussian,0.4,strict_fault_applied_available,Tree-6,endpoint_class_agreement,1257,0.5178997613365155,0.8150566739610189,0.5196593435412933,2.4325084950567146,0.7910537740742972,0.3438826342724759,0.343882634272476,0.12086563558892931
strict,101,gaussian,0.4,strict_fault_applied_available,Tree-6,endpoint_class_disagreement,179,0.24581005586592178,0.6974660432080788,0.3086106259985398,2.4732402991606426,0.9293535877703002,0.351850163540752,0.33412461653516273,0.14367443106555042
strict,101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,endpoint_class_agreement,1257,0.5178997613365155,0.8104476753491306,0.5131717469326098,2.8501787559656058,0.8134505389647682,0.35230225272231563,0.3522504771906562,0.12477015814562394
strict,101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,endpoint_class_disagreement,179,0.20670391061452514,0.6899863324699783,0.29462869642197725,2.516226475644063,0.948657887224133,0.36937939344629495,0.35999265624795374,0.14214191489063402
strict,101,gaussian,0.4,strict_fault_applied_available,Cascade-25,endpoint_class_agreement,1257,0.5178997613365155,0.8138968948151577,0.5155466423362333,2.4913442616015233,0.796582078505732,0.33815038482243026,0.33809860929077085,0.12201448068942015
strict,101,gaussian,0.4,strict_fault_applied_available,Cascade-25,endpoint_class_disagreement,179,0.19553072625698323,0.6875424507867267,0.2951842478425443,2.5078912796505093,0.9411441216140534,0.36541180470272816,0.3560250675043869,0.14073149832308687
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,endpoint_class_agreement,1257,0.5178997613365155,0.8098931059937708,0.5126969496282007,2.881856881154797,0.8122415833228818,0.34846507263941795,0.3484132971077584,0.1251940787962734
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,endpoint_class_disagreement,179,0.18435754189944134,0.6823681963907008,0.27712036628271597,2.539865417436354,0.9517975108530077,0.3746770810746342,0.3652903438762931,0.14051222874207198
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,endpoint_class_agreement,1257,0.5178997613365155,0.8165417865580092,0.5217849150679326,2.3563685942139667,0.7722950682438219,0.3254675516692367,0.32546755166923674,0.11752262465919754
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,endpoint_class_disagreement,179,0.35195530726256985,0.719647119080867,0.3656460719681261,2.278048368109134,0.8611070907776289,0.18472007317066477,0.19741531842437832,0.12348666742807757
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,endpoint_class_agreement,1353,0.49150036954915005,0.8354703311070364,0.5699013127117486,2.60545402651105,0.8241119631199602,0.358200869007422,0.358200869007422,0.13605052204357734
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,endpoint_class_disagreement,83,0.3493975903614458,0.7688656864567149,0.4520396224620388,2.1955565158077586,0.8008953995508474,0.2212136824340419,0.25776690179830103,0.14339876106521873
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,endpoint_class_agreement,1353,0.49150036954915005,0.8342162622107661,0.5633804804613015,2.518417238350408,0.8119947821471261,0.3465964951388466,0.3465964951388466,0.13372213771102157
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,endpoint_class_disagreement,83,0.3493975903614458,0.7679276305096622,0.4564531076553227,2.188623761812292,0.7959481148700793,0.22348222513687824,0.2817022304967528,0.14144133516032736
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,endpoint_class_agreement,1353,0.49150036954915005,0.8326387768887081,0.5626756458170986,2.5122537774123432,0.8163996078823065,0.3508300932761185,0.3508300932761185,0.13408456058029475
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,endpoint_class_disagreement,83,0.3132530120481928,0.762815664946018,0.4269158150875003,2.218299501954784,0.8199577152583405,0.26438731000698046,0.2514042729080135,0.14527491560772612
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,endpoint_class_agreement,1353,0.49150036954915005,0.8365361247543656,0.5838196498153366,2.6583082932803395,0.8248050169164957,0.3634674871657118,0.3634674871657118,0.13667288491739965
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,endpoint_class_disagreement,83,0.3493975903614458,0.769492615510317,0.4466159275578163,2.1881215867042414,0.7976021299466683,0.2291986690196785,0.2812159558507363,0.14257606025963618
strict,101,offset,0.4,strict_fault_applied_available,Cascade-25,endpoint_class_agreement,1353,0.49150036954915005,0.8345896729462202,0.5656462508871792,2.550495974223091,0.8188664136018056,0.3534050366015304,0.3534050366015304,0.13469044272729114
strict,101,offset,0.4,strict_fault_applied_available,Cascade-25,endpoint_class_disagreement,83,0.3373493975903614,0.7663093820016763,0.4365256644558207,2.203129443534417,0.8077406875401852,0.2352274446268402,0.26974401223944333,0.14323384572192938
strict,101,offset,0.4,strict_fault_applied_available,Always PDRF,endpoint_class_agreement,1353,0.49150036954915005,0.8364544103994587,0.5836350432937455,2.6769645893555465,0.8238848964370816,0.36179122322744556,0.36179122322744545,0.1368379754331498
strict,101,offset,0.4,strict_fault_applied_available,Always PDRF,endpoint_class_disagreement,83,0.3614457831325301,0.7717621452832111,0.44871450377648764,2.1715799670358193,0.7835714083374693,0.22309552981555697,0.2693947628321691,0.13925108560777189
strict,101,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,endpoint_class_agreement,1353,0.49150036954915005,0.8307617301610258,0.558996850940189,2.505362622162649,0.8132376325632096,0.34400923635466485,0.34236102401266727,0.13314956601117792
strict,101,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,endpoint_class_disagreement,83,0.25301204819277107,0.7782200991201605,0.4670506780543029,2.302517767099923,0.8626001909773697,0.25897467612714586,0.29400977654687666,0.15933919685905484
strict,101,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,endpoint_class_agreement,1346,0.4903417533432392,0.8314783327179768,0.5773213876409157,2.5293433819561066,0.8253650094321295,0.3509150162781146,0.3509150162781145,0.13762337229158048
