fault_type,batch,comparison,mean,ci_2.5,ci_97.5,n_fitted_pairs,interval_unit
drift,8,full_minus_pdrf_auroc,0.0039405353290907445,-0.0015544434761334122,0.009435514134314902,10,fitted model pair; mechanism and batch fixed
drift,8,safe_minus_pdrf_auroc,0.00032221674945434044,-0.0045316476544156594,0.005176081153324341,10,fitted model pair; mechanism and batch fixed
drift,8,safe_minus_full_auroc,-0.0036183185796364037,-0.00830421567050425,0.001067578511231443,10,fitted model pair; mechanism and batch fixed
drift,9,full_minus_pdrf_auroc,0.003983257849521105,-0.003630986638516999,0.011597502337559209,10,fitted model pair; mechanism and batch fixed
drift,9,safe_minus_pdrf_auroc,0.0028510935468492927,-0.0017574163986162745,0.007459603492314859,10,fitted model pair; mechanism and batch fixed
drift,9,safe_minus_full_auroc,-0.001132164302671812,-0.005957821444000308,0.0036934928386566845,10,fitted model pair; mechanism and batch fixed
drift,10,full_minus_pdrf_auroc,-0.0009163463738795952,-0.009441379215161038,0.007608686467401847,10,fitted model pair; mechanism and batch fixed
drift,10,safe_minus_pdrf_auroc,0.0014280271276565614,-0.0022581202541391556,0.005114174509452278,10,fitted model pair; mechanism and batch fixed
drift,10,safe_minus_full_auroc,0.0023443735015361566,-0.003167035755378817,0.00785578275845113,10,fitted model pair; mechanism and batch fixed
gaussian,8,full_minus_pdrf_auroc,0.019495320123067084,0.012740779781144152,0.02624986046499002,10,fitted model pair; mechanism and batch fixed
gaussian,8,safe_minus_pdrf_auroc,0.010606096855930114,0.004467851894428187,0.01674434181743204,10,fitted model pair; mechanism and batch fixed
gaussian,8,safe_minus_full_auroc,-0.00888922326713697,-0.016044981821896766,-0.0017334647123771769,10,fitted model pair; mechanism and batch fixed
gaussian,9,full_minus_pdrf_auroc,0.02443581300822455,0.014125587311973328,0.034746038704475776,10,fitted model pair; mechanism and batch fixed
gaussian,9,safe_minus_pdrf_auroc,0.00825166124087745,0.003449792162082789,0.013053530319672112,10,fitted model pair; mechanism and batch fixed
gaussian,9,safe_minus_full_auroc,-0.0161841517673471,-0.02637143209226795,-0.005996871442426251,10,fitted model pair; mechanism and batch fixed
gaussian,10,full_minus_pdrf_auroc,0.012899300711124662,0.009033702429370674,0.01676489899287865,10,fitted model pair; mechanism and batch fixed
gaussian,10,safe_minus_pdrf_auroc,0.0062586770694249335,0.003395159547041154,0.009122194591808713,10,fitted model pair; mechanism and batch fixed
gaussian,10,safe_minus_full_auroc,-0.006640623641699728,-0.00991737710801617,-0.003363870175383285,10,fitted model pair; mechanism and batch fixed
offset,8,full_minus_pdrf_auroc,0.00571292612901122,-0.008039386052321821,0.01946523831034426,10,fitted model pair; mechanism and batch fixed
offset,8,safe_minus_pdrf_auroc,0.005260167997246578,-0.0005114474970647426,0.011031783491557898,10,fitted model pair; mechanism and batch fixed
offset,8,safe_minus_full_auroc,-0.0004527581317646412,-0.01528870431995242,0.014383188056423137,10,fitted model pair; mechanism and batch fixed
offset,9,full_minus_pdrf_auroc,0.009937914032217698,-0.002342195210028151,0.022218023274463546,10,fitted model pair; mechanism and batch fixed
offset,9,safe_minus_pdrf_auroc,0.005848379195376741,0.0010768791475743202,0.010619879243179161,10,fitted model pair; mechanism and batch fixed
offset,9,safe_minus_full_auroc,-0.004089534836840958,-0.014507337843051128,0.006328268169369211,10,fitted model pair; mechanism and batch fixed
offset,10,full_minus_pdrf_auroc,-0.00020495343469202344,-0.008729330767392346,0.0083194238980083,10,fitted model pair; mechanism and batch fixed
offset,10,safe_minus_pdrf_auroc,0.0017531788253575264,-0.0019946151695648152,0.005500972820279868,10,fitted model pair; mechanism and batch fixed
offset,10,safe_minus_full_auroc,0.00195813226004955,-0.003539454827499672,0.007455719347598772,10,fitted model pair; mechanism and batch fixed
stuck_at,8,full_minus_pdrf_auroc,0.004335776529157964,-0.007832867090019253,0.016504420148335183,10,fitted model pair; mechanism and batch fixed
stuck_at,8,safe_minus_pdrf_auroc,0.0034111780620302732,-0.0014688505044288423,0.008291206628489388,10,fitted model pair; mechanism and batch fixed
stuck_at,8,safe_minus_full_auroc,-0.0009245984671276908,-0.013176173571313099,0.011326976637057716,10,fitted model pair; mechanism and batch fixed
stuck_at,9,full_minus_pdrf_auroc,0.009313521076510756,-0.0009732995446584732,0.019600341697679984,10,fitted model pair; mechanism and batch fixed
stuck_at,9,safe_minus_pdrf_auroc,0.004931834921309541,0.0007696715914679592,0.009093998251151123,10,fitted model pair; mechanism and batch fixed
stuck_at,9,safe_minus_full_auroc,-0.004381686155201214,-0.014429436599097649,0.005666064288695221,10,fitted model pair; mechanism and batch fixed
stuck_at,10,full_minus_pdrf_auroc,0.00284334420987995,-0.004310488503691208,0.009997176923451107,10,fitted model pair; mechanism and batch fixed
stuck_at,10,safe_minus_pdrf_auroc,0.0020092158427699293,-0.0017723335849832243,0.005790765270523083,10,fitted model pair; mechanism and batch fixed
stuck_at,10,safe_minus_full_auroc,-0.0008341283671100208,-0.005100731280270841,0.0034324745460507992,10,fitted model pair; mechanism and batch fixed
