seed,fault_type,batch,n,full_minus_pdrf_auroc,safe_minus_pdrf_auroc,safe_minus_full_auroc
101,drift,8,91,0.002830479634534533,0.0026115207987956746,-0.00021895883573885833
101,drift,9,165,-0.0036315290485985363,0.0006212146945161479,0.004252743743114684
101,drift,10,1180,-0.010448677727171507,-0.0025567696286415975,0.00789190809852991
101,gaussian,8,91,0.017957281654630508,0.010315727944568032,-0.007641553710062476
101,gaussian,9,165,0.020259436297061506,0.012916622025337277,-0.0073428142717242295
101,gaussian,10,1180,0.005855676572736002,0.005532988178011178,-0.0003226883947248238
101,offset,8,91,0.009703466709521269,-0.001211628846097268,-0.010915095555618537
101,offset,9,165,0.002429314576462005,0.0025153001339561776,8.598555749417258e-05
101,offset,10,1180,-0.009204292870431452,-0.00197572678927993,0.007228566081151522
101,stuck_at,8,91,0.003924308219359629,-0.00013252054068380037,-0.004056828760043429
101,stuck_at,9,165,0.006117712904524675,0.00659680204217461,0.0004790891376499351
101,stuck_at,10,1180,-0.006470758661515585,0.0005198234234549126,0.006990582084970498
102,drift,8,91,0.004179808848343014,0.004937007671434901,0.0007571988230918869
102,drift,9,165,0.0009790236005867703,0.0007898876489220719,-0.00018913595166469843
102,drift,10,1180,0.0037425435375201266,0.0005435932579591629,-0.0031989502795609637
102,gaussian,8,91,0.023900771843363366,0.0018604416547332026,-0.022040330188630164
102,gaussian,9,165,0.0184147935458423,0.002453806639069356,-0.015960986906772945
102,gaussian,10,1180,0.013530033696467991,0.007066017808709191,-0.0064640158877588005
102,offset,8,91,0.009255775422241985,0.009963542896716415,0.00070776747447443
102,offset,9,165,0.010261386179231224,0.0067014856991663985,-0.003559900480064826
102,offset,10,1180,0.003788346723327174,0.001852065146523807,-0.001936281576803367
102,stuck_at,8,91,0.011443856041695177,0.005841156408049941,-0.005602699633645236
102,stuck_at,9,165,0.01010448854009649,0.0019362305223996623,-0.008168258017696828
102,stuck_at,10,1180,0.006070773928227968,-0.00013734839471812865,-0.006208122322946097
103,drift,8,91,0.013132102287764624,0.012454775079825176,-0.0006773272079394488
103,drift,9,165,0.02353409226715042,0.02007193582798239,-0.0034621564391680293
103,drift,10,1180,0.005784358911402054,0.0063871419976262445,0.0006027830862241901
103,gaussian,8,91,0.02060770741267326,0.01303196908463411,-0.00757573832803915
103,gaussian,9,165,0.017857086625463037,0.012350386467686159,-0.005506700157776878
103,gaussian,10,1180,0.013271389431378733,0.009595328925788627,-0.0036760605055901063
103,offset,8,91,0.017451392934919596,0.01586927219180101,-0.0015821207431185869
103,offset,9,165,0.020887637940044557,0.01954254431708302,-0.0013450936229615351
103,offset,10,1180,0.00935972060720558,0.009580235859491526,0.0002205152522859466
103,stuck_at,8,91,0.019120901527197365,0.021478917043809664,0.0023580155166122996
103,stuck_at,9,165,0.01805018164574612,0.012922907050206378,-0.005127274595539744
103,stuck_at,10,1180,0.0060033831258629045,0.006532262242805342,0.0005288791169424378
104,drift,8,91,0.0042286627654107845,-0.005393586005830953,-0.009622248771241737
104,drift,9,165,-0.012961481157369614,-0.003918234967115297,0.009043246190254317
104,drift,10,1180,-0.003176513786763202,-0.0012800079833285016,0.0018965058034347004
104,gaussian,8,91,0.013703043992070119,0.01568841726595871,0.001985373273888591
104,gaussian,9,165,0.009925915985788625,0.00553720206179964,-0.004388713923988985
104,gaussian,10,1180,0.013468233558600828,0.011723846346112454,-0.0017443872124883741
104,offset,8,91,0.0033895424451646505,-0.00672599326727652,-0.01011553571244117
104,offset,9,165,-0.016798398599097597,-0.005670717490791732,0.011127681108305865
104,offset,10,1180,-0.001834529302135568,-0.0008000826191268962,0.0010344466830086718
104,stuck_at,8,91,0.003733932245336913,-0.002787239635312355,-0.006521171880649268
104,stuck_at,9,165,-0.011439096715500696,-0.0034756320009076136,0.007963464714593083
104,stuck_at,10,1180,0.003384079960283337,0.003320704806052288,-6.3375154231049e-05
105,drift,8,91,-0.008996566399527506,-0.013621552517110613,-0.0046249861175831075
