subset,fault_type,batch,class,n
complete_test,none,8,1,30
complete_test,none,8,2,30
complete_test,none,8,3,40
complete_test,none,8,4,33
complete_test,none,8,5,143
complete_test,none,8,6,18
complete_test,none,9,1,61
complete_test,none,9,2,55
complete_test,none,9,3,100
complete_test,none,9,4,75
complete_test,none,9,5,78
complete_test,none,9,6,101
complete_test,none,10,1,600
complete_test,none,10,2,600
complete_test,none,10,3,600
complete_test,none,10,4,600
complete_test,none,10,5,600
complete_test,none,10,6,600
strict_applied_available,gaussian,8,1,9
strict_applied_available,gaussian,8,2,10
strict_applied_available,gaussian,8,3,10
strict_applied_available,gaussian,8,4,14
strict_applied_available,gaussian,8,5,42
strict_applied_available,gaussian,8,6,6
strict_applied_available,gaussian,9,1,28
strict_applied_available,gaussian,9,2,14
strict_applied_available,gaussian,9,3,30
strict_applied_available,gaussian,9,4,32
strict_applied_available,gaussian,9,5,27
strict_applied_available,gaussian,9,6,34
strict_applied_available,gaussian,10,1,193
strict_applied_available,gaussian,10,2,196
strict_applied_available,gaussian,10,3,190
strict_applied_available,gaussian,10,4,207
strict_applied_available,gaussian,10,5,197
strict_applied_available,gaussian,10,6,197
strict_applied_available,offset,8,1,9
strict_applied_available,offset,8,2,10
strict_applied_available,offset,8,3,10
strict_applied_available,offset,8,4,14
strict_applied_available,offset,8,5,42
strict_applied_available,offset,8,6,6
strict_applied_available,offset,9,1,28
strict_applied_available,offset,9,2,14
strict_applied_available,offset,9,3,30
strict_applied_available,offset,9,4,32
strict_applied_available,offset,9,5,27
strict_applied_available,offset,9,6,34
strict_applied_available,offset,10,1,193
strict_applied_available,offset,10,2,196
strict_applied_available,offset,10,3,190
strict_applied_available,offset,10,4,207
strict_applied_available,offset,10,5,197
strict_applied_available,offset,10,6,197
strict_applied_available,drift,8,1,9
strict_applied_available,drift,8,2,10
strict_applied_available,drift,8,3,10
strict_applied_available,drift,8,4,14
strict_applied_available,drift,8,5,42
strict_applied_available,drift,8,6,6
strict_applied_available,drift,9,1,28
strict_applied_available,drift,9,2,14
strict_applied_available,drift,9,3,30
strict_applied_available,drift,9,4,32
strict_applied_available,drift,9,5,27
strict_applied_available,drift,9,6,34
strict_applied_available,drift,10,1,193
strict_applied_available,drift,10,2,196
strict_applied_available,drift,10,3,190
strict_applied_available,drift,10,4,207
strict_applied_available,drift,10,5,197
strict_applied_available,drift,10,6,197
strict_applied_available,stuck_at,8,1,9
strict_applied_available,stuck_at,8,2,10
strict_applied_available,stuck_at,8,3,10
strict_applied_available,stuck_at,8,4,14
strict_applied_available,stuck_at,8,5,42
strict_applied_available,stuck_at,8,6,6
strict_applied_available,stuck_at,9,1,28
strict_applied_available,stuck_at,9,2,14
strict_applied_available,stuck_at,9,3,30
strict_applied_available,stuck_at,9,4,32
strict_applied_available,stuck_at,9,5,27
strict_applied_available,stuck_at,9,6,34
strict_applied_available,stuck_at,10,1,193
strict_applied_available,stuck_at,10,2,196
strict_applied_available,stuck_at,10,3,190
strict_applied_available,stuck_at,10,4,207
strict_applied_available,stuck_at,10,5,197
strict_applied_available,stuck_at,10,6,197
