fault_type,scale,strict_observations,values,median_abs_standardized_shift,p95_abs_standardized_shift,median_abs_percentile_shift,p95_abs_percentile_shift,fraction_within_training_1_99_percentiles,fraction_within_training_min_max,fraction_outside_preprocessed_clip_range
gaussian,1.0,1436,45952,0.6715551018714905,1.9536125659942627,0.23360862969829765,0.7284678914545761,0.6035428272980501,0.7448642061281338,0.0016974233983286908
offset,1.0,1436,45952,1.0,1.0,0.37282993426597,0.7780970841058481,0.5611072423398329,0.773633356545961,0.0029378481894150417
drift,1.0,1436,45952,0.6292974948883057,0.9639009237289429,0.2533288386988033,0.7104331704028316,0.6615598885793872,0.852345926183844,0.002741991643454039
stuck_at,1.0,1436,45952,1.1367790699005127,2.2310328483581543,0.462497893140064,0.8879908983650762,0.6875,0.875,0.0
gaussian,3.0,1436,45952,2.014665126800537,5.860837936401367,0.3603573234451374,0.901567503792348,0.37941765320334264,0.609375,0.012534818941504178
offset,3.0,1436,45952,3.0,3.0,0.5377549300522502,0.9283667621776504,0.33162865598885793,0.6323772632311978,0.005353412256267409
drift,3.0,1436,45952,1.887892484664917,2.891702890396118,0.43991235462666445,0.8857239170739929,0.4568027506963788,0.6965746866295265,0.004178272980501393
stuck_at,3.0,1436,45952,3.104532241821289,4.137759208679199,0.5569694926681275,0.9635934603067587,0.09375,0.65625,0.0
gaussian,5.0,1436,45952,3.3577756881713867,9.768062591552734,0.39372998483060845,0.9372998483060846,0.2553751740947075,0.5321639972144847,0.11744864206128133
offset,5.0,1436,45952,5.0,5.0,0.5605090173605258,0.9625821675375021,0.0049834610027855155,0.5727933495821727,0.011925487465181059
drift,5.0,1436,45952,3.146487236022949,4.819504737854004,0.5162649587055452,0.9352772627675713,0.252546135097493,0.6286777506963789,0.007681928969359332
stuck_at,5.0,1436,45952,5.097449779510498,6.102705955505371,0.5627001516939154,0.9681442777684139,0.0,0.5625,0.0
