analysis_set,seed,fault_type,prevalence,stream,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,21,0,0.0,26,4,0.8461538461538461,0.27715877437325903,0.5055710306406686,-27.855153203342617,0.5055710306406686,0.8376711996056673,0.5821192066642947,2.4194617905942337,0.7839730013613383,0.3292511830135767,0.3291699956416956,0.12544021011372428
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,21,0,0.0,26,1,0.9615384615384616,0.6817548746518106,0.5076601671309192,-6.963788300835654,0.5076601671309192,0.8358888224134023,0.5746820534520831,2.342843440386507,0.779201844372861,0.319915392844343,0.31983420547246194,0.12435934556485057
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,2.0,1436,21,0,0.0,26,5,0.8076923076923077,0.7959610027855153,0.504874651810585,-34.81894150417827,0.504874651810585,0.8339413368233307,0.5724162339798982,2.348398650772092,0.7845700520561693,0.3263964396359869,0.32631525226410585,0.12441575117242626
strict,101,drift,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,21,0,0.0,26,1,0.9615384615384616,0.05083565459610028,0.5076601671309192,-6.963788300835654,0.5076601671309192,0.8389913453864836,0.5931570466830233,2.4739299982778395,0.7836669715182801,0.33377180347984403,0.33369061610796286,0.12570505602813997
strict,101,drift,0.4,strict_fault_applied_available,Cascade-25,2.8245125348189415,1436,21,0,0.0,26,3,0.8846153846153846,0.5759052924791086,0.5062674094707521,-20.891364902506965,0.5062674094707521,0.8368769131032558,0.5758426811917161,2.365761330392888,0.7810619998019733,0.3247555688267949,0.32467438145491384,0.12486098451721922
strict,101,drift,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,21,0,0.0,26,0,1.0,0.0,0.5083565459610028,0.0,0.5083565459610028,0.8392474894961497,0.5937191038968891,2.488933646682378,0.7814062882580509,0.33116171698799224,0.3310805296161112,0.1254303454198686
strict,101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,21,21,1.0,26,26,0.0,1.0,0.504874651810585,-34.81894150417827,0.504874651810585,0.8314936843638194,0.5693238956145726,2.342115014472338,0.7814208695065005,0.31463873325777647,0.3141285382941248,0.12426997793403381
strict,101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,63,15,0.23809523809523808,33,5,0.8484848484848485,0.39275766016713093,0.4832869080779944,69.63788300835654,0.4832869080779944,0.8049772269219148,0.5017866278293824,2.498590668075628,0.8113168511261265,0.33519593276550047,0.33519593276550047,0.12156019546817409
strict,101,gaussian,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,63,2,0.031746031746031744,33,2,0.9393939393939394,0.649025069637883,0.4763231197771588,0.0,0.4763231197771588,0.8021220232767344,0.4990173823607081,2.480714896503998,0.8092751179535788,0.3376712603038807,0.33767126030388067,0.1210759840442781
strict,101,gaussian,0.4,strict_fault_applied_available,Tree-6,2.0,1436,63,19,0.30158730158730157,33,8,0.7575757575757576,0.7722841225626741,0.483983286908078,76.6016713091922,0.483983286908078,0.8040338844307952,0.5022882209296952,2.437585788186661,0.8082930962550664,0.3444111901379998,0.3426662796937997,0.12097160929825064
