seed,fault_type,method,class,n,auroc,auprc,recall
101,drift,PDRF,1,230,0.8272802653399669,0.5447434627442085,0.5739130434782609
101,drift,PDRF,2,220,0.9118383672248804,0.7379364048020368,0.5272727272727272
101,drift,PDRF,3,230,0.8942065037133174,0.6857294589456375,0.5434782608695652
101,drift,PDRF,4,253,0.6988630098997992,0.31456699227728346,0.043478260869565216
101,drift,PDRF,5,266,0.8712165027954504,0.7653241314829021,0.6278195488721805
101,drift,PDRF,6,237,0.8319943131231019,0.514002207984254,0.7552742616033755
101,drift,RO-PDRF-Lite,1,230,0.814413440046146,0.5343991034900867,0.5173913043478261
101,drift,RO-PDRF-Lite,2,220,0.9046501196172249,0.7194212901169145,0.5454545454545454
101,drift,RO-PDRF-Lite,3,230,0.892209243636888,0.707593758026843,0.5043478260869565
101,drift,RO-PDRF-Lite,4,253,0.6992305353509366,0.3087718804841231,0.03557312252964427
101,drift,RO-PDRF-Lite,5,266,0.8662361030782083,0.7565606744589851,0.6278195488721805
101,drift,RO-PDRF-Lite,6,237,0.8421574941142936,0.5233145874711121,0.8860759493670886
101,drift,Lite-CF,1,230,0.8204592977143268,0.5330492231296601,0.5695652173913044
101,drift,Lite-CF,2,220,0.9071471291866029,0.7276346031070656,0.5272727272727272
101,drift,Lite-CF,3,230,0.8931177446102818,0.7087489818107653,0.5217391304347826
101,drift,Lite-CF,4,253,0.7028623550362679,0.30990420281339615,0.043478260869565216
101,drift,Lite-CF,5,266,0.8710751237067027,0.7621523267534426,0.6278195488721805
101,drift,Lite-CF,6,237,0.8373152028941137,0.5203462978731105,0.7637130801687764
101,gaussian,PDRF,1,230,0.7731487490085803,0.39718791129745123,0.5478260869565217
101,gaussian,PDRF,2,220,0.818060331937799,0.5588882797542704,0.37727272727272726
101,gaussian,PDRF,3,230,0.8678852116230441,0.6049676175465899,0.6478260869565218
101,gaussian,PDRF,4,253,0.7160832478558232,0.2889316114143754,0.15019762845849802
101,gaussian,PDRF,5,266,0.8433616091510828,0.7299385031037624,0.6240601503759399
101,gaussian,PDRF,6,237,0.7717331250021994,0.39486850841883153,0.5147679324894515
101,gaussian,RO-PDRF-Lite,1,230,0.7870250198283943,0.4442769635812894,0.5
101,gaussian,RO-PDRF-Lite,2,220,0.8365281100478467,0.5933979213633731,0.45454545454545453
101,gaussian,RO-PDRF-Lite,3,230,0.8797191578340182,0.6097629957520023,0.6521739130434783
101,gaussian,RO-PDRF-Lite,4,253,0.7260231407388598,0.2972725358438043,0.12648221343873517
101,gaussian,RO-PDRF-Lite,5,266,0.8437825332562173,0.7306965345867574,0.6578947368421053
101,gaussian,RO-PDRF-Lite,6,237,0.78935681281518,0.4271869162930372,0.6329113924050633
101,gaussian,Lite-CF,1,230,0.7829656067488644,0.43809143469752626,0.5434782608695652
101,gaussian,Lite-CF,2,220,0.8257363935406699,0.5707019332671948,0.37727272727272726
101,gaussian,Lite-CF,3,230,0.8757246376811594,0.600061037950922,0.6478260869565218
101,gaussian,Lite-CF,4,253,0.7214992365494037,0.2909982657428612,0.15019762845849802
101,gaussian,Lite-CF,5,266,0.8464141122035859,0.7316705184614977,0.6353383458646616
101,gaussian,Lite-CF,6,237,0.7832054137941955,0.42180282017505616,0.540084388185654
101,offset,PDRF,1,230,0.8203078808854278,0.5140942331165572,0.6608695652173913
101,offset,PDRF,2,220,0.9005121112440192,0.6966888682527669,0.4727272727272727
101,offset,PDRF,3,230,0.892641863148028,0.6752475698020626,0.48695652173913045
101,offset,PDRF,4,253,0.7120705381574948,0.3357742163052343,0.043478260869565216
101,offset,PDRF,5,266,0.8709112524901998,0.7645863856929237,0.6090225563909775
101,offset,PDRF,6,237,0.8083142421779049,0.49482763990444395,0.6497890295358649
101,offset,RO-PDRF-Lite,1,230,0.8087533347753983,0.5179436779788701,0.5652173913043478
101,offset,RO-PDRF-Lite,2,220,0.8992710825358852,0.6961493803507857,0.509090909090909
101,offset,RO-PDRF-Lite,3,230,0.8927031509121062,0.7058089900557944,0.4434782608695652
101,offset,RO-PDRF-Lite,4,253,0.7182148954724205,0.3256193593899124,0.02766798418972332
101,offset,RO-PDRF-Lite,5,266,0.8664224664224666,0.7550439222581358,0.6203007518796992
101,offset,RO-PDRF-Lite,6,237,0.8265467355003994,0.5105088467117739,0.7974683544303798
101,offset,Lite-CF,1,230,0.8161763645540413,0.5178693651954694,0.6173913043478261
101,offset,Lite-CF,2,220,0.9018428528708133,0.701990847433837,0.4772727272727273
101,offset,Lite-CF,3,230,0.8934313937558583,0.7075054371862545,0.4652173913043478
101,offset,Lite-CF,4,253,0.7181046378370793,0.3329773353727361,0.043478260869565216
101,offset,Lite-CF,5,266,0.8718944797892166,0.7631779876036032,0.6090225563909775
101,offset,Lite-CF,6,237,0.827616544025788,0.510512858423918,0.6835443037974683
