seed,method,parameters,train_seconds,epochs
101,PDRF,19740,18.539035099965986,29
101,RO-PDRF-Lite,19740,18.46140510000987,29
102,PDRF,19740,12.670044700033031,20
102,RO-PDRF-Lite,19740,13.318137700029183,20
103,PDRF,19740,11.991822500014678,18
103,RO-PDRF-Lite,19740,11.86770639999304,18
104,PDRF,19740,16.62367010000162,26
104,RO-PDRF-Lite,19740,17.366592400008813,26
105,PDRF,19740,11.558329800027423,18
105,RO-PDRF-Lite,19740,11.570870499999728,18
106,PDRF,19740,12.723674499953631,19
106,RO-PDRF-Lite,19740,13.051772200036794,19
107,PDRF,19740,11.508831499959342,19
107,RO-PDRF-Lite,19740,12.581780200009234,19
108,PDRF,19740,27.124823799997102,41
108,RO-PDRF-Lite,19740,26.062371100008022,41
109,PDRF,19740,17.909147300000768,28
109,RO-PDRF-Lite,19740,18.007512200041674,28
110,PDRF,19740,20.909012200019788,33
110,RO-PDRF-Lite,19740,15.576243599993177,33
