seed,fault_type,stream,fault_prevalence,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_retained_per_10000,harms_realized_per_10000,net_utility_per_10000
101,gaussian,full_mixed_10pct,0.1,1.0,0.0,6.8744271310724105,36.663611365719525,-29.789184234647117
101,gaussian,full_mixed_10pct,0.1,1.0,0.5,6.8744271310724105,36.663611365719525,-30.289184234647117
101,gaussian,full_mixed_10pct,0.1,1.0,2.0,6.8744271310724105,36.663611365719525,-31.789184234647117
101,gaussian,full_mixed_10pct,0.1,2.0,0.0,6.8744271310724105,36.663611365719525,-66.45279560036664
101,gaussian,full_mixed_10pct,0.1,2.0,0.5,6.8744271310724105,36.663611365719525,-66.95279560036664
101,gaussian,full_mixed_10pct,0.1,2.0,2.0,6.8744271310724105,36.663611365719525,-68.45279560036664
101,gaussian,full_mixed_10pct,0.1,5.0,0.0,6.8744271310724105,36.663611365719525,-176.4436296975252
101,gaussian,full_mixed_10pct,0.1,5.0,0.5,6.8744271310724105,36.663611365719525,-176.9436296975252
101,gaussian,full_mixed_10pct,0.1,5.0,2.0,6.8744271310724105,36.663611365719525,-178.4436296975252
101,gaussian,full_mixed_stream,0.4,1.0,0.0,25.20623281393217,34.37213565536205,-9.16590284142988
101,gaussian,full_mixed_stream,0.4,1.0,0.5,25.20623281393217,34.37213565536205,-9.66590284142988
101,gaussian,full_mixed_stream,0.4,1.0,2.0,25.20623281393217,34.37213565536205,-11.16590284142988
101,gaussian,full_mixed_stream,0.4,2.0,0.0,25.20623281393217,34.37213565536205,-43.53803849679193
101,gaussian,full_mixed_stream,0.4,2.0,0.5,25.20623281393217,34.37213565536205,-44.03803849679193
101,gaussian,full_mixed_stream,0.4,2.0,2.0,25.20623281393217,34.37213565536205,-45.53803849679193
101,gaussian,full_mixed_stream,0.4,5.0,0.0,25.20623281393217,34.37213565536205,-146.6544454628781
101,gaussian,full_mixed_stream,0.4,5.0,0.5,25.20623281393217,34.37213565536205,-147.1544454628781
101,gaussian,full_mixed_stream,0.4,5.0,2.0,25.20623281393217,34.37213565536205,-148.6544454628781
101,gaussian,full_mixed_70pct,0.7,1.0,0.0,41.24656278643447,38.95508707607699,2.2914757103574743
101,gaussian,full_mixed_70pct,0.7,1.0,0.5,41.24656278643447,38.95508707607699,1.7914757103574743
101,gaussian,full_mixed_70pct,0.7,1.0,2.0,41.24656278643447,38.95508707607699,0.2914757103574743
101,gaussian,full_mixed_70pct,0.7,2.0,0.0,41.24656278643447,38.95508707607699,-36.66361136571952
101,gaussian,full_mixed_70pct,0.7,2.0,0.5,41.24656278643447,38.95508707607699,-37.16361136571952
101,gaussian,full_mixed_70pct,0.7,2.0,2.0,41.24656278643447,38.95508707607699,-38.66361136571952
101,gaussian,full_mixed_70pct,0.7,5.0,0.0,41.24656278643447,38.95508707607699,-153.5288725939505
101,gaussian,full_mixed_70pct,0.7,5.0,0.5,41.24656278643447,38.95508707607699,-154.0288725939505
101,gaussian,full_mixed_70pct,0.7,5.0,2.0,41.24656278643447,38.95508707607699,-155.5288725939505
101,offset,full_mixed_10pct,0.1,1.0,0.0,4.582951420714941,52.70394133822182,-48.120989917506876
101,offset,full_mixed_10pct,0.1,1.0,0.5,4.582951420714941,52.70394133822182,-48.620989917506876
101,offset,full_mixed_10pct,0.1,1.0,2.0,4.582951420714941,52.70394133822182,-50.120989917506876
101,offset,full_mixed_10pct,0.1,2.0,0.0,4.582951420714941,52.70394133822182,-100.8249312557287
101,offset,full_mixed_10pct,0.1,2.0,0.5,4.582951420714941,52.70394133822182,-101.3249312557287
101,offset,full_mixed_10pct,0.1,2.0,2.0,4.582951420714941,52.70394133822182,-102.8249312557287
101,offset,full_mixed_10pct,0.1,5.0,0.0,4.582951420714941,52.70394133822182,-258.93675527039414
101,offset,full_mixed_10pct,0.1,5.0,0.5,4.582951420714941,52.70394133822182,-259.43675527039414
101,offset,full_mixed_10pct,0.1,5.0,2.0,4.582951420714941,52.70394133822182,-260.93675527039414
101,offset,full_mixed_stream,0.4,1.0,0.0,20.623281393217233,61.86984417965169,-41.24656278643446
101,offset,full_mixed_stream,0.4,1.0,0.5,20.623281393217233,61.86984417965169,-41.74656278643446
101,offset,full_mixed_stream,0.4,1.0,2.0,20.623281393217233,61.86984417965169,-43.24656278643446
101,offset,full_mixed_stream,0.4,2.0,0.0,20.623281393217233,61.86984417965169,-103.11640696608615
101,offset,full_mixed_stream,0.4,2.0,0.5,20.623281393217233,61.86984417965169,-103.61640696608615
101,offset,full_mixed_stream,0.4,2.0,2.0,20.623281393217233,61.86984417965169,-105.11640696608615
101,offset,full_mixed_stream,0.4,5.0,0.0,20.623281393217233,61.86984417965169,-288.72593950504125
101,offset,full_mixed_stream,0.4,5.0,0.5,20.623281393217233,61.86984417965169,-289.22593950504125
101,offset,full_mixed_stream,0.4,5.0,2.0,20.623281393217233,61.86984417965169,-290.72593950504125
101,offset,full_mixed_70pct,0.7,1.0,0.0,32.080659945004584,57.28689275893676,-25.206232813932175
101,offset,full_mixed_70pct,0.7,1.0,0.5,32.080659945004584,57.28689275893676,-25.706232813932175
