seed,repeat,C,auroc,auprc,brier,threshold,threshold_tie_count
101,1,0.01,0.8318840579710145,0.9131804999075324,0.1912015799832664,0.6,1
101,2,0.01,0.8384057971014494,0.9162371781083469,0.1902586012776228,0.6,1
101,3,0.01,0.8353864734299518,0.9147966067489026,0.19032851964296446,0.6,1
101,4,0.01,0.8371980676328503,0.9151764533583385,0.1896085330910847,0.6,1
101,5,0.01,0.8316425120772947,0.9131369527053321,0.19171143577760666,0.6,1
101,1,0.05,0.8397342995169083,0.9180342671555424,0.1709600217340508,0.675,1
101,2,0.05,0.8427536231884059,0.9187699562056699,0.16961976503179294,0.675,1
101,3,0.05,0.8422705314009661,0.9185367917606702,0.1705615701567131,0.7,1
101,4,0.05,0.8492753623188405,0.9228800918944502,0.16846839541311243,0.675,1
101,5,0.05,0.8433574879227053,0.9191279221144797,0.16885897188299315,0.675,1
101,1,0.1,0.8455314009661835,0.9195637578788367,0.16400790949299254,0.725,1
101,2,0.1,0.8508454106280192,0.9236365968991027,0.16290530524000782,0.675,1
101,3,0.1,0.841183574879227,0.9178497581313574,0.1670971034577033,0.725,1
101,4,0.1,0.8491545893719807,0.922740810418537,0.16208490475159298,0.7,1
101,5,0.1,0.8457729468599035,0.9208115741582485,0.16381221178427632,0.725,1
101,1,0.5,0.8644927536231883,0.9324096315716863,0.1505913057312254,0.75,1
101,2,0.5,0.8663043478260869,0.9324320349197337,0.14832517597782116,0.75,1
101,3,0.5,0.868840579710145,0.934043874213426,0.14606450770771795,0.725,1
101,4,0.5,0.8655797101449275,0.9322471729656404,0.14724864024003692,0.725,1
101,5,0.5,0.8666666666666667,0.9329342056567898,0.14608153253290887,0.75,1
101,1,1.0,0.8756038647342994,0.9381114436299786,0.1414440167216851,0.75,1
101,2,1.0,0.8789855072463768,0.94125190507034,0.13867988778994483,0.75,1
101,3,1.0,0.8771739130434781,0.9397047930806666,0.139566411388276,0.75,1
101,4,1.0,0.8754830917874397,0.9387605572556228,0.1424000999488337,0.725,1
101,5,1.0,0.8759661835748791,0.9391802084367198,0.14151358804077002,0.725,1
101,1,5.0,0.8713768115942029,0.9351946746460238,0.14602349239225249,0.825,1
101,2,5.0,0.880072463768116,0.9416918732821865,0.13846994471420074,0.8,1
101,3,5.0,0.8833333333333333,0.9426160040349174,0.13797919290996805,0.8,1
101,4,5.0,0.8881642512077295,0.9456877462526099,0.13342329575200268,0.775,1
101,5,5.0,0.869927536231884,0.9364794060395116,0.1442166898507222,0.825,1
102,1,0.01,0.9487179487179487,0.9182205311219919,0.1655974856578565,0.6,1
102,2,0.01,0.9487179487179487,0.9156416892559427,0.166019505470775,0.65,2
102,3,0.01,0.9326923076923077,0.887296942785193,0.16911432042760413,0.625,1
102,4,0.01,0.9487179487179487,0.9152405714627763,0.16685139528452114,0.625,1
102,5,0.01,0.9383012820512819,0.8820166607071807,0.16766654854730198,0.675,2
102,1,0.05,0.9399038461538461,0.8871325648680763,0.11511734886899787,0.8500000000000001,2
102,2,0.05,0.9519230769230769,0.9217906507869892,0.10980343358870472,0.75,1
102,3,0.05,0.9479166666666667,0.9143056636484732,0.11230017637079207,0.75,1
102,4,0.05,0.9455128205128205,0.9052907502896684,0.11231826803625737,0.775,1
102,5,0.05,0.9479166666666666,0.9061732438792452,0.11256044736806961,0.8,1
102,1,0.1,0.9495192307692308,0.9142523833296934,0.10218703751637266,0.825,1
102,2,0.1,0.9519230769230769,0.9224008805461622,0.0978340003235355,0.8,1
102,3,0.1,0.9399038461538461,0.8978978315930954,0.10491296548735937,0.875,2
102,4,0.1,0.9447115384615385,0.9072396503350689,0.1000406509454929,0.8500000000000001,1
102,5,0.1,0.9471153846153846,0.9184036542906204,0.09905713564804955,0.775,1
102,1,0.5,0.9567307692307692,0.9323289570816156,0.08923315975338578,0.875,1
102,2,0.5,0.954326923076923,0.9225464250306666,0.08771744365433289,0.9,1
102,3,0.5,0.9519230769230769,0.9155080427181508,0.08996553590196799,0.8500000000000001,2
102,4,0.5,0.9383012820512819,0.8975196655664499,0.10052811980123855,0.9,3
102,5,0.5,0.9439102564102564,0.9102208075976028,0.09329162600496832,0.825,2
102,1,1.0,0.9519230769230769,0.9261987790045065,0.08804639913682209,0.9,1
102,2,1.0,0.9559294871794872,0.9293974323907866,0.08664722165819119,0.9,1
102,3,1.0,0.9447115384615385,0.9125172063026702,0.09569723544948522,0.8500000000000001,1
102,4,1.0,0.9399038461538461,0.9033387295393321,0.09977338143114368,0.8500000000000001,1
102,5,1.0,0.953525641025641,0.9246174250603476,0.09291432786140871,0.775,1
102,1,5.0,0.9583333333333333,0.9328227106284381,0.0883796857757695,0.9,3
102,2,5.0,0.9455128205128205,0.9152736246638724,0.09678851030914208,0.8500000000000001,1
102,3,5.0,0.9519230769230769,0.9292455371845436,0.08509653573616859,0.825,2
102,4,5.0,0.9471153846153846,0.9178545068027683,0.09378849690692939,0.8,1
102,5,5.0,0.9407051282051282,0.9017170485189259,0.09977965268522172,0.9,1
103,1,0.01,0.742857142857143,0.8277002222885362,0.22862265862321546,0.65,1
103,2,0.01,0.7085714285714286,0.8158383990553542,0.22707408964896053,0.675,1
103,3,0.01,0.7171428571428572,0.8088932434974003,0.23113237429003025,0.675,1
103,4,0.01,0.7361904761904762,0.8104399732372932,0.23272895526939216,0.9,10
103,5,0.01,0.7285714285714285,0.824951080496547,0.23235860306954761,0.7,2
103,1,0.05,0.7266666666666667,0.8215072513474155,0.22152845715729128,0.9,3
103,2,0.05,0.7238095238095238,0.8107793968361838,0.22087614827641272,0.9,4
103,3,0.05,0.7304761904761905,0.8417436266944153,0.2120090170952662,0.8,1
103,4,0.05,0.7371428571428572,0.83240297250495,0.2104397334632234,0.825,1
103,5,0.05,0.7304761904761904,0.8056715546816476,0.2132597072680143,0.9,3
103,1,0.1,0.6952380952380953,0.77467943218983,0.2192482907568538,0.9,2
103,2,0.1,0.7447619047619047,0.8162735297971219,0.21195658396797615,0.9,1
103,3,0.1,0.7066666666666668,0.8025635225385482,0.21776780037892163,0.875,1
103,4,0.1,0.716190476190476,0.8006688089272287,0.2191860609060537,0.9,1
103,5,0.1,0.7104761904761904,0.7993949203341011,0.2160084451991126,0.875,1
103,1,0.5,0.76,0.8266948734422118,0.2012908504050337,0.625,1
103,2,0.5,0.7247619047619047,0.8123006148876225,0.2168441712865163,0.75,1
103,3,0.5,0.7247619047619048,0.8242804251902194,0.216332699310748,0.725,1
103,4,0.5,0.7085714285714286,0.7976044447930758,0.22037961822119156,0.725,1
103,5,0.5,0.7171428571428571,0.7964206826477621,0.22104583434739142,0.9,1
103,1,1.0,0.7352380952380952,0.8150422737278998,0.21816641494522057,0.675,1
103,2,1.0,0.7104761904761905,0.8040593704383977,0.21794000704267927,0.775,1
103,3,1.0,0.7561904761904762,0.812802743602914,0.20926991314656995,0.675,1
103,4,1.0,0.7419047619047618,0.8230817696549223,0.2167137605521975,0.65,1
103,5,1.0,0.7409523809523809,0.8184630356560822,0.2111183217256669,0.7,1
103,1,5.0,0.7152380952380952,0.8016310098959752,0.21045344261898424,0.75,1
103,2,5.0,0.7457142857142857,0.8199710731942261,0.2136233377633929,0.6,1
103,3,5.0,0.6942857142857144,0.7931361764457127,0.22982433239842232,0.8,1
103,4,5.0,0.6952380952380952,0.7881584832383753,0.22779485923615247,0.775,1
103,5,5.0,0.700952380952381,0.7836861677010099,0.23137269244344683,0.75,1
104,1,0.01,0.7581699346405228,0.7284316395121375,0.22762816824954898,0.7,2
104,2,0.01,0.7475490196078431,0.7331071167498525,0.2298846017034045,0.65,1
104,3,0.01,0.7622549019607843,0.745545145452189,0.22871373262098257,0.725,3
104,4,0.01,0.7663398692810458,0.7314664615654412,0.2304452797672405,0.725,2
104,5,0.01,0.7524509803921569,0.719614608230437,0.22763329934143145,0.725,3
104,1,0.05,0.7720588235294117,0.7399186971004503,0.20741150023779353,0.9,3
104,2,0.05,0.7369281045751633,0.6750795055300519,0.22367015819759803,0.9,1
104,3,0.05,0.7549019607843137,0.7112587103804145,0.2111161561003956,0.9,2
104,4,0.05,0.7818627450980391,0.7596878205986668,0.20505621826039636,0.875,2
104,5,0.05,0.7467320261437909,0.7051456701617259,0.21383371627169118,0.9,1
104,1,0.1,0.7679738562091503,0.7462269713763748,0.2029629605762049,0.9,2
104,2,0.1,0.7663398692810457,0.7639513246430609,0.20240745373080415,0.9,1
104,3,0.1,0.7810457516339869,0.7623253830668818,0.19888196982416703,0.9,1
104,4,0.1,0.7794117647058824,0.7319120817086016,0.2012243510416111,0.75,1
