seed,repeat,fold,feature,standardized_coefficient
101,1,1,base_confidence,0.37656952385532366
101,1,1,recovery_confidence,0.5052493793776202
101,1,1,confidence_delta,0.13824220963419737
101,1,1,base_entropy,-0.3753199867007153
101,1,1,recovery_entropy,-0.18123080625087112
101,1,1,entropy_delta,0.2001575600171748
101,1,2,base_confidence,0.39796039959031215
101,1,2,recovery_confidence,0.5095809601598135
101,1,2,confidence_delta,0.1028288799925661
101,1,2,base_entropy,-0.32801068019407315
101,1,2,recovery_entropy,-0.1731576284380043
101,1,2,entropy_delta,0.17603739337683458
101,1,3,base_confidence,0.3319804854168951
101,1,3,recovery_confidence,0.44080515004674625
101,1,3,confidence_delta,0.10437798410969298
101,1,3,base_entropy,-0.3407886430909818
101,1,3,recovery_entropy,-0.1624361092402838
101,1,3,entropy_delta,0.22084443350931846
101,1,4,base_confidence,0.34782635474027146
101,1,4,recovery_confidence,0.4850732740376708
101,1,4,confidence_delta,0.13116676909229266
101,1,4,base_entropy,-0.32566023297440644
101,1,4,recovery_entropy,-0.15565531041557068
101,1,4,entropy_delta,0.2023010528954366
101,1,5,base_confidence,0.42193339633877
101,1,5,recovery_confidence,0.464635170660816
101,1,5,confidence_delta,0.04902607456106853
101,1,5,base_entropy,-0.3317917571864908
101,1,5,recovery_entropy,-0.17548557045081933
101,1,5,entropy_delta,0.18341663381371015
101,2,1,base_confidence,0.36068920366578816
101,2,1,recovery_confidence,0.48898708639457583
101,2,1,confidence_delta,0.12164359612328855
101,2,1,base_entropy,-0.2871776670478074
101,2,1,recovery_entropy,-0.0915348510536453
101,2,1,entropy_delta,0.23452039875999312
101,2,2,base_confidence,0.371868705748219
101,2,2,recovery_confidence,0.4855525021924023
101,2,2,confidence_delta,0.1170862426453766
101,2,2,base_entropy,-0.33491684589694937
101,2,2,recovery_entropy,-0.1959169198511456
101,2,2,entropy_delta,0.16609232613400812
101,2,3,base_confidence,0.3716739933734338
101,2,3,recovery_confidence,0.4936810163938119
101,2,3,confidence_delta,0.12100230756786852
101,2,3,base_entropy,-0.391089822209768
101,2,3,recovery_entropy,-0.2160412556462417
101,2,3,entropy_delta,0.18877026650055587
101,2,4,base_confidence,0.407488941594568
101,2,4,recovery_confidence,0.49822892247743644
101,2,4,confidence_delta,0.08720148117264603
101,2,4,base_entropy,-0.3396226809029127
101,2,4,recovery_entropy,-0.1887929961467749
101,2,4,entropy_delta,0.17285355361378957
101,2,5,base_confidence,0.3668117560787451
101,2,5,recovery_confidence,0.4433976250005242
101,2,5,confidence_delta,0.08187130950549855
101,2,5,base_entropy,-0.3539158869967992
101,2,5,recovery_entropy,-0.1666317996339097
101,2,5,entropy_delta,0.21251595117490682
101,3,1,base_confidence,0.3662372027243818
101,3,1,recovery_confidence,0.4624848149299889
101,3,1,confidence_delta,0.055092206458300964
101,3,1,base_entropy,-0.35453075388558314
101,3,1,recovery_entropy,-0.1817553808898575
101,3,1,entropy_delta,0.2266006386955423
101,3,2,base_confidence,0.39192357575865994
101,3,2,recovery_confidence,0.4627996317016297
101,3,2,confidence_delta,0.09823105396786407
101,3,2,base_entropy,-0.34472175354405266
101,3,2,recovery_entropy,-0.17120413369014617
101,3,2,entropy_delta,0.19256085339048665
101,3,3,base_confidence,0.35027449949807243
101,3,3,recovery_confidence,0.4939300179297407
101,3,3,confidence_delta,0.16151518931268807
101,3,3,base_entropy,-0.324351011619048
101,3,3,recovery_entropy,-0.15747620802736645
101,3,3,entropy_delta,0.17942745489972953
101,3,4,base_confidence,0.4178731950985521
101,3,4,recovery_confidence,0.45819163924766965
101,3,4,confidence_delta,0.04576821166801515
101,3,4,base_entropy,-0.2997660474517026
101,3,4,recovery_entropy,-0.12267498898107597
101,3,4,entropy_delta,0.20713624767190933
101,3,5,base_confidence,0.3582687372062929
101,3,5,recovery_confidence,0.5241203399115771
101,3,5,confidence_delta,0.15416092024925318
101,3,5,base_entropy,-0.36882353720139377
101,3,5,recovery_entropy,-0.21324988898480626
101,3,5,entropy_delta,0.17095640943407572
101,4,1,base_confidence,0.31955316986713456
101,4,1,recovery_confidence,0.46926000305383575
101,4,1,confidence_delta,0.13292410185190662
101,4,1,base_entropy,-0.3295682681656689
101,4,1,recovery_entropy,-0.14920123416530934
101,4,1,entropy_delta,0.21413747152247886
101,4,2,base_confidence,0.3978803065253502
101,4,2,recovery_confidence,0.48464335071553016
101,4,2,confidence_delta,0.10135151167967589
101,4,2,base_entropy,-0.31990761874885826
101,4,2,recovery_entropy,-0.14877742889763634
101,4,2,entropy_delta,0.19571925037813617
101,4,3,base_confidence,0.3834882341104585
101,4,3,recovery_confidence,0.5195338557007417
101,4,3,confidence_delta,0.15230480321816411
101,4,3,base_entropy,-0.34106738785641844
101,4,3,recovery_entropy,-0.1639051336000349
101,4,3,entropy_delta,0.18681481228806449
101,4,4,base_confidence,0.41549215017820007
101,4,4,recovery_confidence,0.49317630915569927
101,4,4,confidence_delta,0.05092654796396369
101,4,4,base_entropy,-0.3495672203919205
101,4,4,recovery_entropy,-0.19431003805197994
101,4,4,entropy_delta,0.2003518842433227
101,4,5,base_confidence,0.35619442360539466
101,4,5,recovery_confidence,0.43472035133777004
101,4,5,confidence_delta,0.08817489267061643
101,4,5,base_entropy,-0.3639929739700666
101,4,5,recovery_entropy,-0.19651148416884345
101,4,5,entropy_delta,0.18464923234541045
101,5,1,base_confidence,0.3909421293798067
101,5,1,recovery_confidence,0.49272946860967815
101,5,1,confidence_delta,0.09709080436814192
101,5,1,base_entropy,-0.31250581748128703
101,5,1,recovery_entropy,-0.1622227542784138
101,5,1,entropy_delta,0.17581808854995404
101,5,2,base_confidence,0.3743661048953485
101,5,2,recovery_confidence,0.481948318870274
101,5,2,confidence_delta,0.12176744573559109
101,5,2,base_entropy,-0.331036394128084
101,5,2,recovery_entropy,-0.12306691743478133
101,5,2,entropy_delta,0.24035162396779852
101,5,3,base_confidence,0.3610691319176339
101,5,3,recovery_confidence,0.4427040898696007
101,5,3,confidence_delta,0.08486167563101266
101,5,3,base_entropy,-0.3615397856905975
101,5,3,recovery_entropy,-0.16806341306563105
101,5,3,entropy_delta,0.22556795579853378
101,5,4,base_confidence,0.3842696167387152
101,5,4,recovery_confidence,0.503208125710591
101,5,4,confidence_delta,0.11512667013865868
101,5,4,base_entropy,-0.35313150234248725
101,5,4,recovery_entropy,-0.1944808955809389
101,5,4,entropy_delta,0.1757553243451193
101,5,5,base_confidence,0.3685799195447739
101,5,5,recovery_confidence,0.4836320530725398
101,5,5,confidence_delta,0.10278957329326252
101,5,5,base_entropy,-0.3456210712798057
101,5,5,recovery_entropy,-0.20517549414692854
101,5,5,entropy_delta,0.16747092484325288
101,6,1,base_confidence,0.358181661987734
