seed,calibration_rows,informative_rows,base_better_rows,lite_better_rows,threshold,threshold_tie_count,base_temperature,lite_temperature
101,1797,189,69,120,0.7,1,0.9380179113447048,1.0171927014960767
102,1840,74,48,26,0.775,1,0.818148697748099,0.8355874588850503
103,1860,71,21,50,0.9,2,0.5733853729876689,0.5800940994767164
104,1868,70,36,34,0.825,2,0.7249484208941313,0.7636726627537513
105,1866,36,10,26,0.55,1,0.8631412313532546,0.8418156214487362
106,1869,82,34,48,0.65,1,0.6240788034666606,0.6189521555788308
107,1829,84,18,66,0.575,1,0.9294273882872307,0.8902207467601678
108,1853,104,76,28,0.9,4,1.040919939729362,0.921215173167158
109,1880,107,18,89,0.65,1,0.8198120201213096,0.7699680394260409
110,1947,80,31,49,0.575,1,0.8415205307008368,0.8582553984729091
