fault_type,comparison,mean,ci_2.5,ci_97.5,n_fitted_pairs,interval_unit
drift,full_minus_pdrf_auroc,0.0001292859721936379,-0.007820527973604762,0.008079099917992038,10,fitted model pair; mechanism fixed
drift,safe_minus_pdrf_auroc,0.0015044412871419222,-0.0018284266633001546,0.004837309237583999,10,fitted model pair; mechanism fixed
drift,safe_minus_full_auroc,0.0013751553149482843,-0.0038068741377089072,0.006557184767605476,10,fitted model pair; mechanism fixed
gaussian,full_minus_pdrf_auroc,0.014329481674424892,0.010331713659882877,0.018327249688966908,10,fitted model pair; mechanism fixed
gaussian,safe_minus_pdrf_auroc,0.006635616494217178,0.003992861485642466,0.00927837150279189,10,fitted model pair; mechanism fixed
gaussian,safe_minus_full_auroc,-0.007693865180207715,-0.011666086803763773,-0.0037216435566516572,10,fitted model pair; mechanism fixed
offset,full_minus_pdrf_auroc,0.0009091563239178258,-0.007887255834502383,0.009705568482338035,10,fitted model pair; mechanism fixed
offset,safe_minus_pdrf_auroc,0.002205406465470494,-0.0013454468612588504,0.005756259792199838,10,fitted model pair; mechanism fixed
offset,safe_minus_full_auroc,0.0012962501415526683,-0.004864512657832109,0.007457012940937446,10,fitted model pair; mechanism fixed
stuck_at,full_minus_pdrf_auroc,0.0035035552474821487,-0.0037798267112892168,0.010786937206253514,10,fitted model pair; mechanism fixed
stuck_at,safe_minus_pdrf_auroc,0.0021038659058566834,-0.0011984735175485854,0.005406205329261952,10,fitted model pair; mechanism fixed
stuck_at,safe_minus_full_auroc,-0.0013996893416254653,-0.006238118974194065,0.0034387402909431338,10,fitted model pair; mechanism fixed
