analysis_set,seed,fault_type,prevalence,stream,method,class,n,auroc,auprc,recall
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,1,230,0.8231163025452448,0.5213762065677241,0.5739130434782609
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,2,220,0.9141709031100479,0.7203957341706766,0.5272727272727272
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,3,230,0.8868663926743096,0.6560859433934071,0.5260869565217391
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,4,253,0.6977169987203431,0.31396093820270704,0.043478260869565216
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,5,266,0.8744039586144849,0.7701546357446899,0.6278195488721805
strict,101,drift,0.4,strict_fault_applied_available,Safe-CF-12,6,237,0.8297526419695738,0.5107417819065638,0.7552742616033755
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,1,230,0.8162664936188622,0.50706503791323,0.5739130434782609
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,2,220,0.9122645035885167,0.7125052427001921,0.5272727272727272
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,3,230,0.8836722186170597,0.6526096905532044,0.5391304347826087
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,4,253,0.7012853367368418,0.3123864073443638,0.043478260869565216
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,5,266,0.8737773921984449,0.7681060981832284,0.6278195488721805
strict,101,drift,0.4,strict_fault_applied_available,Shrink-6,6,237,0.8280669897206885,0.49541984401827976,0.7552742616033755
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,1,230,0.8134472564712668,0.5035179109572832,0.5739130434782609
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,2,220,0.9109636662679426,0.7098547360419978,0.5272727272727272
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,3,230,0.8811630254524478,0.6476635241222836,0.5217391304347826
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,4,253,0.6982382166328656,0.3124869987972755,0.043478260869565216
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,5,266,0.872067990489043,0.7658645978764026,0.6278195488721805
strict,101,drift,0.4,strict_fault_applied_available,Tree-6,6,237,0.8277678656264187,0.49510963608414643,0.7552742616033755
strict,101,drift,0.4,strict_fault_applied_available,Three-outcome-6,1,230,0.8261734804239671,0.5416099852874191,0.5739130434782609
strict,101,drift,0.4,strict_fault_applied_available,Three-outcome-6,2,220,0.9130457535885167,0.7400213319910879,0.5272727272727272
strict,101,drift,0.4,strict_fault_applied_available,Three-outcome-6,3,230,0.8924003172543081,0.6829094414518359,0.5391304347826087
