seed,model,threshold,threshold_tie_count,calibration_rows,informative_rows
101,Safe-CF-12,0.8,1,1797,177
101,Shrink-6,0.8,1,1797,177
101,Tree-6,0.9,11,1797,177
101,Three-outcome-6,0.325,1,1797,177
102,Safe-CF-12,0.9,2,1840,89
102,Shrink-6,0.825,1,1840,89
102,Tree-6,0.9,4,1840,89
102,Three-outcome-6,0.575,1,1840,89
103,Safe-CF-12,0.825,1,1860,90
103,Shrink-6,0.9,4,1860,90
103,Tree-6,0.9,3,1860,90
103,Three-outcome-6,0.8,6,1860,90
104,Safe-CF-12,0.875,1,1868,89
104,Shrink-6,0.65,1,1868,89
104,Tree-6,0.9,17,1868,89
104,Three-outcome-6,0.275,1,1868,89
105,Safe-CF-12,0.8,1,1866,194
105,Shrink-6,0.9,7,1866,194
105,Tree-6,0.9,6,1866,194
105,Three-outcome-6,0.8,11,1866,194
106,Safe-CF-12,0.875,1,1869,92
106,Shrink-6,0.7,1,1869,92
106,Tree-6,0.9,1,1869,92
106,Three-outcome-6,0.425,1,1869,92
107,Safe-CF-12,0.9,1,1829,224
107,Shrink-6,0.675,1,1829,224
107,Tree-6,0.9,3,1829,224
107,Three-outcome-6,0.47500000000000003,3,1829,224
108,Safe-CF-12,0.9,1,1853,122
108,Shrink-6,0.825,3,1853,122
108,Tree-6,0.9,6,1853,122
108,Three-outcome-6,0.55,1,1853,122
109,Safe-CF-12,0.725,1,1880,122
109,Shrink-6,0.675,1,1880,122
109,Tree-6,0.9,3,1880,122
109,Three-outcome-6,0.425,1,1880,122
110,Safe-CF-12,0.55,1,1947,99
110,Shrink-6,0.7,1,1947,99
110,Tree-6,0.9,7,1947,99
110,Three-outcome-6,0.8,18,1947,99
