feature,n,median,q1,q3,positive_fraction,dominant_sign_fraction
base_confidence,500,0.15076702515690565,-0.06069513042837323,0.3132108876392397,0.666,0.666
base_consensus_agreement,500,0.4964681550705994,0.29922689796367363,0.7066422213009997,0.972,0.972
base_consensus_js,500,-0.38554082760458264,-0.6170241182139716,-0.13079398097262407,0.168,0.832
base_entropy,500,-0.25861110688181915,-0.4057512014371018,-0.07804648880631702,0.208,0.792
base_recovery_js,500,0.7374617243393065,0.35337487660894923,1.09311044768183,0.852,0.852
confidence_delta,500,0.4243119231300201,0.16547518633003294,0.563499893746263,0.934,0.934
entropy_delta,500,0.21251439885149603,-0.12968264081183214,0.5548651635933344,0.64,0.64
recovery_confidence,500,0.588571817589163,0.4107374431238789,0.7212970369771172,0.964,0.964
recovery_consensus_agreement,500,-0.668050123476874,-0.9955467160705788,-0.44615529990044445,0.076,0.924
recovery_consensus_js,500,0.4113861112607744,0.051226183581798264,0.6428861581086592,0.77,0.77
recovery_entropy,500,-0.024545917185179372,-0.34521933231102925,0.2543536742542303,0.484,0.516
removal_fraction,500,0.09575551228710583,-0.16544548784050356,0.6639790482611474,0.584,0.584
