seed,repeat,fold,feature,standardized_coefficient
101,1,1,base_confidence,-0.21381815337651922
101,1,1,recovery_confidence,0.42078759931275234
101,1,1,confidence_delta,0.5402474299747093
101,1,1,base_entropy,-0.5441473502843306
101,1,1,recovery_entropy,-0.06976594009145387
101,1,1,entropy_delta,0.624582771785511
101,1,1,base_recovery_js,1.2236127191548745
101,1,1,base_consensus_js,-0.2711954027650099
101,1,1,recovery_consensus_js,0.6475659594743661
101,1,1,base_consensus_agreement,0.6359266240445391
101,1,1,recovery_consensus_agreement,0.0317478811241511
101,1,1,removal_fraction,-0.2626823806571869
101,1,2,base_confidence,-0.010025178097383569
101,1,2,recovery_confidence,0.3076995621058868
101,1,2,confidence_delta,0.2759693754358373
101,1,2,base_entropy,-0.29402931837628954
101,1,2,recovery_entropy,-0.13935832431345016
101,1,2,entropy_delta,0.2064553689779278
101,1,2,base_recovery_js,0.9756661913994729
101,1,2,base_consensus_js,-0.1754748277785682
101,1,2,recovery_consensus_js,0.7160243797144493
101,1,2,base_consensus_agreement,0.683281305185687
101,1,2,recovery_consensus_agreement,0.15077151764386348
101,1,2,removal_fraction,-0.13569831178619648
101,1,3,base_confidence,-0.14656369596409596
101,1,3,recovery_confidence,0.49586227910152664
101,1,3,confidence_delta,0.5366423998728576
101,1,3,base_entropy,-0.5044722339440953
101,1,3,recovery_entropy,-0.041860011810007654
101,1,3,entropy_delta,0.5829202007189088
101,1,3,base_recovery_js,1.07683649538117
101,1,3,base_consensus_js,-0.33166424918713455
101,1,3,recovery_consensus_js,0.6799775368728526
101,1,3,base_consensus_agreement,0.6037535116211499
101,1,3,recovery_consensus_agreement,0.23581516906037822
101,1,3,removal_fraction,-0.3367734113899748
101,1,4,base_confidence,-0.1431856947987373
101,1,4,recovery_confidence,0.5226020566603484
101,1,4,confidence_delta,0.5632010174248776
101,1,4,base_entropy,-0.3597639584868604
101,1,4,recovery_entropy,-0.02901640887264427
101,1,4,entropy_delta,0.42071867682100533
101,1,4,base_recovery_js,1.1119205455776848
101,1,4,base_consensus_js,-0.3040345022009889
101,1,4,recovery_consensus_js,0.6520334787726816
101,1,4,base_consensus_agreement,0.6896228357341851
101,1,4,recovery_consensus_agreement,-0.03618978021741115
