fault_type,batch,class,seed,n
drift,8,1,101,9
drift,8,2,101,10
drift,8,3,101,10
drift,8,4,101,14
drift,8,5,101,42
drift,8,6,101,6
drift,9,1,101,28
drift,9,2,101,14
drift,9,3,101,30
drift,9,4,101,32
drift,9,5,101,27
drift,9,6,101,34
drift,10,1,101,193
drift,10,2,101,196
drift,10,3,101,190
drift,10,4,101,207
drift,10,5,101,197
drift,10,6,101,197
gaussian,8,1,101,9
gaussian,8,2,101,10
gaussian,8,3,101,10
gaussian,8,4,101,14
gaussian,8,5,101,42
gaussian,8,6,101,6
gaussian,9,1,101,28
gaussian,9,2,101,14
gaussian,9,3,101,30
gaussian,9,4,101,32
gaussian,9,5,101,27
gaussian,9,6,101,34
gaussian,10,1,101,193
gaussian,10,2,101,196
gaussian,10,3,101,190
gaussian,10,4,101,207
gaussian,10,5,101,197
gaussian,10,6,101,197
offset,8,1,101,9
offset,8,2,101,10
offset,8,3,101,10
offset,8,4,101,14
offset,8,5,101,42
offset,8,6,101,6
offset,9,1,101,28
offset,9,2,101,14
offset,9,3,101,30
offset,9,4,101,32
offset,9,5,101,27
offset,9,6,101,34
offset,10,1,101,193
offset,10,2,101,196
offset,10,3,101,190
offset,10,4,101,207
offset,10,5,101,197
offset,10,6,101,197
stuck_at,8,1,101,9
stuck_at,8,2,101,10
stuck_at,8,3,101,10
stuck_at,8,4,101,14
stuck_at,8,5,101,42
stuck_at,8,6,101,6
stuck_at,9,1,101,28
stuck_at,9,2,101,14
stuck_at,9,3,101,30
stuck_at,9,4,101,32
stuck_at,9,5,101,27
stuck_at,9,6,101,34
stuck_at,10,1,101,193
stuck_at,10,2,101,196
stuck_at,10,3,101,190
stuck_at,10,4,101,207
stuck_at,10,5,101,197
stuck_at,10,6,101,197
drift,8,1,102,9
drift,8,2,102,10
drift,8,3,102,10
drift,8,4,102,14
drift,8,5,102,42
drift,8,6,102,6
drift,9,1,102,28
drift,9,2,102,14
drift,9,3,102,30
drift,9,4,102,32
drift,9,5,102,27
drift,9,6,102,34
drift,10,1,102,193
drift,10,2,102,196
drift,10,3,102,190
drift,10,4,102,207
drift,10,5,102,197
drift,10,6,102,197
gaussian,8,1,102,9
gaussian,8,2,102,10
gaussian,8,3,102,10
gaussian,8,4,102,14
gaussian,8,5,102,42
gaussian,8,6,102,6
gaussian,9,1,102,28
gaussian,9,2,102,14
gaussian,9,3,102,30
gaussian,9,4,102,32
gaussian,9,5,102,27
gaussian,9,6,102,34
gaussian,10,1,102,193
gaussian,10,2,102,196
gaussian,10,3,102,190
gaussian,10,4,102,207
gaussian,10,5,102,197
gaussian,10,6,102,197
offset,8,1,102,9
offset,8,2,102,10
offset,8,3,102,10
offset,8,4,102,14
offset,8,5,102,42
offset,8,6,102,6
offset,9,1,102,28
offset,9,2,102,14
offset,9,3,102,30
offset,9,4,102,32
offset,9,5,102,27
offset,9,6,102,34
offset,10,1,102,193
offset,10,2,102,196
offset,10,3,102,190
offset,10,4,102,207
offset,10,5,102,197
offset,10,6,102,197
stuck_at,8,1,102,9
stuck_at,8,2,102,10
stuck_at,8,3,102,10
stuck_at,8,4,102,14
stuck_at,8,5,102,42
stuck_at,8,6,102,6
stuck_at,9,1,102,28
stuck_at,9,2,102,14
stuck_at,9,3,102,30
stuck_at,9,4,102,32
stuck_at,9,5,102,27
stuck_at,9,6,102,34
stuck_at,10,1,102,193
stuck_at,10,2,102,196
stuck_at,10,3,102,190
stuck_at,10,4,102,207
stuck_at,10,5,102,197
stuck_at,10,6,102,197
drift,8,1,103,9
drift,8,2,103,10
drift,8,3,103,10
drift,8,4,103,14
drift,8,5,103,42
drift,8,6,103,6
drift,9,1,103,28
drift,9,2,103,14
drift,9,3,103,30
drift,9,4,103,32
drift,9,5,103,27
drift,9,6,103,34
drift,10,1,103,193
drift,10,2,103,196
drift,10,3,103,190
