minimum_events_per_preference_class,minimum_median_repeated_auroc,maximum_threshold_range,minimum_each_repeat_auroc_fixed,passed_fitted_pairs,passed_seeds,recovery_selection_rate,negative_transfer_prevention,recovery_retention,utility_per_10000,worst_batch_utility_per_10000,worst_batch_definition
15,0.6,0.05,0.6,3,101;104;106,0.21551183844011143,0.9704998999677421,0.033782392392974696,3.307799442896936,-3.1709815608120695,mean of each fitted pair's worst acquisition batch
15,0.6,0.1,0.6,6,101;102;103;104;106;110,0.36735724233983286,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
15,0.6,0.15,0.6,7,101;102;103;104;106;107;110,0.4491991643454039,0.9520769626109811,0.08566846803796027,13.753481894150417,0.43071335444216813,mean of each fitted pair's worst acquisition batch
15,0.65,0.05,0.6,3,101;104;106,0.21551183844011143,0.9704998999677421,0.033782392392974696,3.307799442896936,-3.1709815608120695,mean of each fitted pair's worst acquisition batch
15,0.65,0.1,0.6,6,101;102;103;104;106;110,0.36735724233983286,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
15,0.65,0.15,0.6,7,101;102;103;104;106;107;110,0.4491991643454039,0.9520769626109811,0.08566846803796027,13.753481894150417,0.43071335444216813,mean of each fitted pair's worst acquisition batch
15,0.7,0.05,0.6,3,101;104;106,0.21551183844011143,0.9704998999677421,0.033782392392974696,3.307799442896936,-3.1709815608120695,mean of each fitted pair's worst acquisition batch
15,0.7,0.1,0.6,6,101;102;103;104;106;110,0.36735724233983286,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
15,0.7,0.15,0.6,7,101;102;103;104;106;107;110,0.4491991643454039,0.9520769626109811,0.08566846803796027,13.753481894150417,0.43071335444216813,mean of each fitted pair's worst acquisition batch
25,0.6,0.05,0.6,3,101;104;106,0.21551183844011143,0.9704998999677421,0.033782392392974696,3.307799442896936,-3.1709815608120695,mean of each fitted pair's worst acquisition batch
25,0.6,0.1,0.6,5,101;102;104;106;110,0.31107242339832863,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
25,0.6,0.15,0.6,5,101;102;104;106;110,0.31107242339832863,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
25,0.65,0.05,0.6,3,101;104;106,0.21551183844011143,0.9704998999677421,0.033782392392974696,3.307799442896936,-3.1709815608120695,mean of each fitted pair's worst acquisition batch
25,0.65,0.1,0.6,5,101;102;104;106;110,0.31107242339832863,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
25,0.65,0.15,0.6,5,101;102;104;106;110,0.31107242339832863,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
25,0.7,0.05,0.6,3,101;104;106,0.21551183844011143,0.9704998999677421,0.033782392392974696,3.307799442896936,-3.1709815608120695,mean of each fitted pair's worst acquisition batch
25,0.7,0.1,0.6,5,101;102;104;106;110,0.31107242339832863,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
25,0.7,0.15,0.6,5,101;102;104;106;110,0.31107242339832863,0.9623448197538383,0.06631152735777143,7.486072423398328,-2.5353883404730864,mean of each fitted pair's worst acquisition batch
40,0.6,0.05,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
40,0.6,0.1,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
40,0.6,0.15,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
40,0.65,0.05,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
40,0.65,0.1,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
40,0.65,0.15,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
40,0.7,0.05,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
40,0.7,0.1,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
40,0.7,0.15,0.6,1,101,0.07775069637883007,0.9791228946201486,0.01396580547112462,0.34818941504178264,-0.4237288135593221,mean of each fitted pair's worst acquisition batch
