seed,method,harm_to_correction_ratio,n,correction_opportunities,corrections_retained,harm_opportunities,harms_realized,recovery_selection_rate,negative_transfer_prevention,recovery_retention,test_utility_per_10000,calibration_utility_per_10000,test_minus_calibration_utility
101,Conditional Lite-CF,1.0,5744,207.0,167.0,129.0,90.0,0.940633704735376,0.3023255813953488,0.8067632850241546,134.05292479108635,445.1864218141347,-311.13349702304833
101,All-row multinomial,1.0,5744,207.0,160.0,129.0,86.0,0.9439415041782729,0.33333333333333337,0.7729468599033816,128.8300835654596,484.14023372287147,-355.31015015741184
101,Two-stage,1.0,5744,207.0,167.0,129.0,92.0,0.9472493036211699,0.28682170542635654,0.8067632850241546,130.5710306406685,450.75125208681135,-320.1802214461428
101,Frozen Lite-CF (ungated),1.0,5744,207.0,30.0,129.0,28.0,0.7775069637883009,0.7829457364341086,0.14492753623188406,3.481894150417827,,
101,Prospective gate Lite-CF,1.0,5744,207.0,30.0,129.0,28.0,0.7775069637883009,0.7829457364341086,0.14492753623188406,3.481894150417827,,
101,All-row multinomial (safety),1.0,5744,207.0,31.0,129.0,13.0,0.09522980501392751,0.8992248062015504,0.1497584541062802,31.337047353760447,,
101,Always PDRF,1.0,5744,207.0,0.0,129.0,0.0,0.0,1.0,0.0,0.0,,
101,Always RO-PDRF-Lite,1.0,5744,207.0,207.0,129.0,129.0,1.0,0.0,1.0,135.79387186629526,,
101,Conditional Lite-CF,2.0,5744,207.0,47.0,129.0,43.0,0.8112813370473537,0.6666666666666667,0.22705314009661837,-67.89693593314763,356.14913745130775,-424.0460733844554
101,All-row multinomial,2.0,5744,207.0,160.0,129.0,86.0,0.9439415041782729,0.33333333333333337,0.7729468599033816,-20.891364902506965,389.5381190873678,-410.42948398987477
101,Two-stage,2.0,5744,207.0,162.0,129.0,84.0,0.9322771587743732,0.34883720930232553,0.782608695652174,-10.445682451253482,328.32498608792434,-338.77066853917785
101,Frozen Lite-CF (ungated),2.0,5744,207.0,30.0,129.0,28.0,0.7775069637883009,0.7829457364341086,0.14492753623188406,-45.26462395543175,,
101,Prospective gate Lite-CF,2.0,5744,207.0,30.0,129.0,28.0,0.7775069637883009,0.7829457364341086,0.14492753623188406,-45.26462395543175,,
101,All-row multinomial (safety),2.0,5744,207.0,31.0,129.0,13.0,0.09522980501392751,0.8992248062015504,0.1497584541062802,8.704735376044567,,
101,Always PDRF,2.0,5744,207.0,0.0,129.0,0.0,0.0,1.0,0.0,0.0,,
101,Always RO-PDRF-Lite,2.0,5744,207.0,207.0,129.0,129.0,1.0,0.0,1.0,-88.7883008356546,,
101,Conditional Lite-CF,5.0,5744,207.0,34.0,129.0,33.0,0.7856894150417827,0.7441860465116279,0.1642512077294686,-228.0640668523677,333.889816360601,-561.9538832129687
101,All-row multinomial,5.0,5744,207.0,84.0,129.0,42.0,0.2775069637883008,0.6744186046511628,0.4057971014492754,-219.35933147632312,356.14913745130775,-575.5084689276309
101,Two-stage,5.0,5744,207.0,55.0,129.0,49.0,0.20421309192200549,0.6201550387596899,0.26570048309178745,-330.7799442896936,228.15804117974403,-558.9379854694376
101,Frozen Lite-CF (ungated),5.0,5744,207.0,30.0,129.0,28.0,0.7775069637883009,0.7829457364341086,0.14492753623188406,-191.5041782729805,,
101,Prospective gate Lite-CF,5.0,5744,207.0,30.0,129.0,28.0,0.7775069637883009,0.7829457364341086,0.14492753623188406,-191.5041782729805,,
101,All-row multinomial (safety),5.0,5744,207.0,31.0,129.0,13.0,0.09522980501392751,0.8992248062015504,0.1497584541062802,-59.192200557103064,,
101,Always PDRF,5.0,5744,207.0,0.0,129.0,0.0,0.0,1.0,0.0,0.0,,
101,Always RO-PDRF-Lite,5.0,5744,207.0,207.0,129.0,129.0,1.0,0.0,1.0,-762.5348189415042,,
101,Conditional Lite-CF,10.0,5744,207.0,34.0,129.0,33.0,0.7856894150417827,0.7441860465116279,0.1642512077294686,-515.3203342618384,333.889816360601,-849.2101506224394
101,All-row multinomial,10.0,5744,207.0,84.0,129.0,42.0,0.2775069637883008,0.6744186046511628,0.4057971014492754,-584.958217270195,328.32498608792434,-913.2832033581193
