method,harm_to_correction_ratio,n_fitted_pairs,calibration_utility_mean,test_utility_mean,test_utility_ci_low,test_utility_ci_high,test_utility_median,test_utility_q1,test_utility_q3,test_utility_min,test_utility_max,positive_utility_pairs,test_minus_calibration_mean,recovery_selection_rate,negative_transfer_prevention,recovery_retention
Conditional Lite-CF,1.0,10,180.49718274096745,106.37186629526461,43.26498402811621,169.47874856241302,106.19777158774374,33.07799442896936,157.5557103064067,-1.7409470752089136,268.1058495821727,9,-74.12531644570282,0.8008356545961004,0.4088418116344591,0.6509615943520848
All-row multinomial,1.0,10,194.82233137240434,107.93871866295265,50.527182968657826,165.35025435724748,107.0682451253482,38.736072423398326,132.74721448467966,19.15041782729805,268.1058495821727,10,-86.88361270945167,0.6675487465181059,0.36370931744407353,0.6921823590595282
Two-stage,1.0,10,183.7494411583832,110.55013927576601,51.69124169154262,169.4090368599894,104.45682451253482,41.347493036211695,156.68523676880224,15.668523676880223,268.1058495821727,10,-73.19930188261716,0.8022980501392757,0.29262833757569295,0.7416643892574546
Frozen Lite-CF (ungated),1.0,10,,15.842618384401115,-0.01360845972398117,31.69884522852621,6.963788300835654,0.0,29.160863509749305,-6.963788300835654,62.674094707520894,6,,0.5217618384401114,0.944093715570076,0.09548692150049426
Retrospective support gate Lite-CF,1.0,10,,7.486072423398329,-2.984002415620547,17.956147262417204,0.0,0.0,8.70473537604457,-6.963788300835654,36.559888579387184,4,,0.3110724233983287,0.9591282978460376,0.06456448963466617
All-row multinomial (safety),1.0,10,,9.575208913649027,0.1955950170148828,18.95482281028317,3.481894150417827,0.0,14.362813370473539,-1.7409470752089136,33.07799442896936,6,,0.029665738161559856,0.9623677066398134,0.06501232879699273
Always PDRF,1.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,1.0,0.0
Always RO-PDRF-Lite,1.0,10,,132.13788300835657,83.9129177396315,180.36284827708164,130.57103064066854,73.11977715877438,159.73189415041784,62.674094707520894,268.1058495821727,10,,1.0,0.0,1.0
Conditional Lite-CF,2.0,10,144.3337400983582,27.681058495821723,-23.897254536621602,79.25937152826505,38.3008356545961,0.0,54.40459610027855,-90.5292479108635,160.16713091922006,7,-116.65268160253648,0.7455954038997213,0.6673828953107759,0.4157065103178576
All-row multinomial,2.0,10,153.350501066309,30.81476323119777,-12.343281948820948,73.97280841121649,25.24373259052925,4.787604456824512,52.228412256267404,-69.63788300835654,156.68523676880224,7,-122.53573783511122,0.6373607242339833,0.5536005704766218,0.5409381294207651
Two-stage,2.0,10,136.76748542963225,37.778551532033426,-2.709352217044483,78.26645528111133,23.502785515320333,1.3057103064066853,61.80362116991643,-36.559888579387184,160.16713091922006,7,-98.9889338975988,0.44820682451253474,0.6186879305938829,0.48571241419434463
Frozen Lite-CF (ungated),2.0,10,,7.486072423398329,-11.745379142088112,26.71752398888477,5.222841225626741,-2.6114206128133706,21.76183844011142,-45.26462395543175,52.22841225626741,5,,0.5217618384401114,0.944093715570076,0.09548692150049426
Retrospective support gate Lite-CF,2.0,10,,0.6963788300835663,-14.296757268107077,15.689514928274209,0.0,0.0,7.834261838440112,-45.26462395543175,33.07799442896936,3,,0.3110724233983287,0.9591282978460376,0.06456448963466617
All-row multinomial (safety),2.0,10,,5.048746518105849,-1.579093332058572,11.676586368270272,2.6114206128133706,0.0,8.269498607242339,-3.481894150417827,27.855153203342617,5,,0.029665738161559856,0.9623677066398134,0.06501232879699273
Always PDRF,2.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,1.0,0.0
Always RO-PDRF-Lite,2.0,10,,15.494428969359333,-50.05569023245856,81.04454817117723,19.15041782729805,-50.4874651810585,59.62743732590529,-102.7158774373259,167.13091922005572,6,,1.0,0.0,1.0
