seed,calibration_rows,informative_rows,base_better_rows,lite_better_rows,threshold,threshold_tie_count,base_temperature,lite_temperature,repeated_auroc_median,repeated_auroc_min,threshold_min,threshold_max,threshold_range,event_count_gate,discrimination_gate,threshold_stability_gate,deployment_supported
101,1797,189,69,120,0.7,1,0.9380179113447048,1.0171927014960769,0.8427536231884057,0.8370772946859903,0.675,0.7,0.02499999999999991,True,True,True,True
102,1840,74,48,26,0.775,1,0.818148697748099,0.8355874588850503,0.9463141025641026,0.9407051282051282,0.725,0.8,0.07500000000000007,True,True,True,True
103,1860,71,21,50,0.9,2,0.5733853729876689,0.5800940994767164,0.7252380952380952,0.7047619047619047,0.8,0.9,0.09999999999999998,False,True,True,False
104,1868,70,36,34,0.825,2,0.7249484208941313,0.7636726627537513,0.7679738562091503,0.7205882352941176,0.8500000000000001,0.9,0.04999999999999993,True,True,True,True
105,1866,36,10,26,0.55,1,0.8631412313532546,0.8418156214487362,0.5346153846153847,0.3269230769230768,0.55,0.575,0.02499999999999991,False,False,True,False
106,1869,82,34,48,0.65,1,0.6240788034666606,0.6189521555788308,0.8308823529411765,0.8186274509803921,0.625,0.65,0.025000000000000022,True,True,True,True
107,1829,84,18,66,0.575,1,0.9294273882872308,0.8902207467601678,0.7226430976430978,0.6574074074074074,0.525,0.65,0.125,False,True,False,False
108,1853,104,76,28,0.9,4,1.040919939729362,0.921215173167158,0.6665883458646616,0.612312030075188,0.725,0.9,0.17500000000000004,True,True,False,False
109,1880,107,18,89,0.65,1,0.8198120201213096,0.7699680394260409,0.47034956304619224,0.4026217228464419,0.6,0.9,0.30000000000000004,False,False,False,False
110,1947,80,31,49,0.575,1,0.8415205307008368,0.8582553984729091,0.7152732060566163,0.6517445687952601,0.575,0.65,0.07500000000000007,True,True,True,True
