seed,fault_type,fault_scale,fault_prevalence,stream,method,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5215877437325905,0.8374822444303432,0.5798397300794497,2.230359038685916,0.7357018206257676,0.30701380659019156,0.3048755566792061,0.11369734449180184
101,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5278551532033426,0.8416574805769365,0.5895164636741547,2.027806337294181,0.7190421045043347,0.2885233896163351,0.2868389189429379,0.10516159713949273
101,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5194986072423399,0.8399582178975195,0.5858467306505178,2.0583161463826274,0.7280777809086062,0.30015472235184315,0.29801647244085766,0.10852576297651018
101,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5229805013927576,0.8446998771767075,0.607721720496529,2.4000927332174813,0.7713255339775846,0.32883221480630587,0.32883221480630587,0.1236994272819919
101,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5292479108635098,0.8432567848413296,0.6063806015619452,2.2763492195668444,0.7755758101556762,0.3150172596995835,0.3150172596995835,0.12324822794713557
101,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5201949860724234,0.844266576090997,0.6062797901949658,2.2779233224004853,0.7783960942494631,0.32612467553329183,0.32612467553329183,0.12334795325690112
101,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5348189415041783,0.8480824109534005,0.6116735493729003,2.322997407565669,0.7462157973737845,0.3207441479402582,0.3201884901074307,0.11711930180816398
101,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5403899721448467,0.8461486973019022,0.6097475901332552,2.207041030300596,0.7522223800210999,0.3076155746262429,0.3048672063596688,0.11773644412327726
101,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5299442896935933,0.8475434283018614,0.6103936556105134,2.2040938749041197,0.7538476928193695,0.31887113434795133,0.3183154765151239,0.11715063260644115
101,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5055710306406686,0.8361643488815238,0.6056290949897118,2.22371305788589,0.767889432318185,0.3130315444382083,0.3130315444382082,0.12379775097977914
101,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5111420612813371,0.8375448549701492,0.610954744768029,2.0751881256484928,0.7504862414355994,0.2961799670169503,0.29549948525450587,0.11732441237715847
101,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5055710306406686,0.8380730074218947,0.6103780389087675,2.0921689771403074,0.7543258703428068,0.3024510013425163,0.3024510013425163,0.11784787044463563
102,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5188022284122563,0.8243624623211728,0.5712312298336141,2.182827300660225,0.7168952813215451,0.27357010610037624,0.2728636305285951,0.10227093459843202
102,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5403899721448467,0.8351385397586782,0.5899661991792668,1.9038400788060206,0.6760285013358242,0.23474966414710277,0.23474966414710277,0.09390273722629801
102,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5194986072423399,0.8309171029366965,0.5839408868391434,1.9884963433989702,0.6972202391454502,0.2684709720103572,0.26776449643857614,0.0986347327082267
102,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5376044568245125,0.8436933150740068,0.6183245151339155,2.1877153538853142,0.7467125601499827,0.31103571703641975,0.3082752267239084,0.12360525920707195
102,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.541782729805014,0.8497414523292846,0.6257392150403169,1.9473637063654077,0.7088455154399015,0.2838405438676625,0.28144059201124577,0.11410754211268409
102,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5383008356545961,0.8497742693849689,0.6252051714894918,1.980377100716205,0.7193520167283343,0.29466537401941223,0.2919048837069008,0.11711491786389426
102,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5598885793871866,0.8505036221844132,0.6295104975774587,2.0360518366785065,0.6875063465546413,0.2805981101198778,0.2794874448264705,0.1080461908714726
102,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5724233983286908,0.8554919814981674,0.6357574624605339,1.8490596793740635,0.6611409886578742,0.2531064617527065,0.24893256270480563,0.10259966121756958
102,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5598885793871866,0.8550811559737707,0.6344736423507108,1.8750333644166592,0.6710496314830899,0.26848473034074594,0.2673740650473387,0.10490339758049423
102,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5236768802228412,0.8285571813564162,0.5931189754026739,1.7861727935439524,0.6805416623487489,0.22543317293659726,0.22748550773059495,0.10062022219407264
102,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5285515320334262,0.8353957420757078,0.5998399851447574,1.7069347174950105,0.6626211754245597,0.20881254908022986,0.20683395471676755,0.09520347531902414
102,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5236768802228412,0.8323008733907432,0.5975077216899545,1.7372714194166046,0.6744253665112251,0.2273751829894022,0.22942751778339995,0.09882831156410928
103,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5132311977715878,0.8156420433469318,0.5523117664354741,2.8110604637754,0.7787360621513646,0.32890371693710296,0.32737671636888027,0.11910704726768256
103,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5215877437325905,0.820173980758117,0.5640689308116285,2.535191765159287,0.7512534980501773,0.3095856175669512,0.3095856175669511,0.11211175874690198
103,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5132311977715878,0.8161238110753183,0.5564972249474072,2.734324664642417,0.7770734922178714,0.3281520173018706,0.326625016733648,0.11885648072260513
103,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.516016713091922,0.8226084292319978,0.5839792203938626,3.1496007022804084,0.8673813936186675,0.3917482103875528,0.39046167809921717,0.14383718673115542
103,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5250696378830083,0.8226187850091606,0.5915417790513996,2.9285854997458496,0.83771500528883,0.3742587656733569,0.37367777227921317,0.139434236797757
103,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.516016713091922,0.8244586082923484,0.589900715397972,2.9922371527863345,0.862158228489114,0.3895604024707888,0.38827387018245313,0.14304048025337532
103,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5341225626740947,0.8371652667942473,0.6059321864400503,2.745192571204069,0.7891512066393689,0.36604309369534244,0.36604309369534244,0.12702230482098031
103,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5487465181058496,0.8329338554343161,0.6061363748457151,2.636457980771409,0.7693923693853915,0.3435920941220212,0.3431239778288202,0.12423571516059849
103,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5341225626740947,0.8353956275974328,0.6050766637064161,2.669507925736384,0.78606566174871,0.3638428691054016,0.36384286910540176,0.1262721800181358
103,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.504874651810585,0.8206652753582913,0.5713540121074595,2.2163027388715935,0.7708835756866863,0.31951723982383706,0.31611339177833037,0.12189908266689675
103,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5118384401114207,0.8231513209909095,0.5783830499293222,2.091582633635719,0.7350727463327601,0.292986398285774,0.29149628983236237,0.11240690691299608
103,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.504874651810585,0.8214613131211337,0.5722447297339645,2.1888041643046283,0.7697350879954478,0.3189276302788947,0.31552378223338806,0.12164315412201208
104,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5236768802228412,0.8173141035940596,0.5461674032686789,2.684885724773336,0.7822870842954459,0.3343697253596808,0.33376657017924133,0.12005756001253849
104,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5334261838440112,0.8280671780450009,0.5720184407530674,2.371044227882491,0.7456281176138913,0.3110364274476185,0.31103642744761856,0.11500195269347831
104,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5236768802228412,0.8229823398865838,0.5626831502239843,2.4851805116241437,0.7692323891814574,0.32738630190032314,0.3267831467198835,0.11743879830242572
