seed,fault_type,fault_scale,fault_prevalence,stream,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000
101,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,40,1,0.025,31,4,0.8709677419354839,0.7472144846796658,0.5194986072423399,-20.891364902506965
101,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,32,1,0.03125,23,5,0.782608695652174,0.8091922005571031,0.5201949860724234,-27.855153203342617
101,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,33,0,0.0,25,7,0.72,0.8210306406685237,0.5299442896935933,-48.74651810584958
101,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,29,1,0.034482758620689655,21,1,0.9523809523809523,0.7402506963788301,0.5055710306406686,0.0
102,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,50,1,0.02,19,0,1.0,0.697075208913649,0.5194986072423399,6.963788300835654
102,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,12,2,0.16666666666666666,6,1,0.8333333333333334,0.8168523676880223,0.5383008356545961,6.963788300835654
102,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,20,0,0.0,2,0,1.0,0.8043175487465181,0.5598885793871866,0.0
102,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,17,1,0.058823529411764705,10,1,0.9,0.6232590529247911,0.5236768802228412,0.0
103,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,36,0,0.0,24,0,1.0,0.43941504178272983,0.5132311977715878,0.0
103,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,19,0,0.0,6,0,1.0,0.6323119777158774,0.516016713091922,0.0
103,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,22,0,0.0,1,0,1.0,0.6295264623955432,0.5341225626740947,0.0
103,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,19,0,0.0,9,0,1.0,0.33008356545961004,0.504874651810585,0.0
104,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,43,0,0.0,29,0,1.0,0.5459610027855153,0.5236768802228412,0.0
104,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,11,0,0.0,17,0,1.0,0.5571030640668524,0.5236768802228412,0.0
104,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,10,0,0.0,21,0,1.0,0.5940111420612814,0.5550139275766016,0.0
104,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,31,0,0.0,26,0,1.0,0.42896935933147634,0.49512534818941506,0.0
105,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,29,2,0.06896551724137931,14,1,0.9285714285714286,0.7019498607242339,0.5222841225626741,6.963788300835654
