held_out_building,contrast,metric,effect,ci_low,ci_high,reps
auditorium,RC-PDRF-NOQ - PDRF-NOQ,macro_auroc,0.0012337451930016785,0.0009265517159344566,0.0015724789742549727,500
auditorium,RC-PDRF-NOQ - CAGF,macro_auroc,-0.015207006120830036,-0.016432764131589814,-0.014075625263437938,500
auditorium,RC-PDRF-NOQ - EF-PD,macro_auroc,-0.015344716760437915,-0.016541893452768387,-0.014221121390862365,500
auditorium,RC-PDRF-NOQ - UF-PD,macro_auroc,-0.006979265313659777,-0.007800550830868755,-0.006202462601000144,500
hospital,RC-PDRF-NOQ - PDRF-NOQ,macro_auroc,-0.004877087444028372,-0.0057857001058517436,-0.003999966321200338,500
hospital,RC-PDRF-NOQ - CAGF,macro_auroc,-0.6918581903881702,-0.6988546222868153,-0.6856384311072943,500
hospital,RC-PDRF-NOQ - EF-PD,macro_auroc,-0.686430847374456,-0.6934673638328456,-0.6802814589612893,500
hospital,RC-PDRF-NOQ - UF-PD,macro_auroc,-0.04773593047553104,-0.05248862534886843,-0.04314531971174646,500
office,RC-PDRF-NOQ - PDRF-NOQ,macro_auroc,0.003936163053980146,0.003527069514092185,0.0044592965168241405,500
office,RC-PDRF-NOQ - CAGF,macro_auroc,-0.0985605712427079,-0.10102288467032645,-0.09614045613165213,500
office,RC-PDRF-NOQ - EF-PD,macro_auroc,-0.10630409076964564,-0.10871754101810649,-0.1039409245360439,500
office,RC-PDRF-NOQ - UF-PD,macro_auroc,-0.0641369961678897,-0.0661281577911505,-0.062161783863027155,500
