held_out_building,method,metric,value
auditorium,EF-PD,accuracy,0.9968407716856167
auditorium,EF-PD,macro_f1,0.9769613685261747
auditorium,EF-PD,macro_auroc,0.9998515241631842
auditorium,EF-PD,macro_auprc,0.9982230182071173
auditorium,EF-PD,nll,0.007495712390895383
auditorium,EF-PD,class_1_precision,0.9996670107555526
auditorium,EF-PD,class_1_recall,0.9970607283415533
auditorium,EF-PD,class_1_f1,0.9983621685885551
auditorium,EF-PD,class_1_auroc,0.9998515241631842
auditorium,EF-PD,class_1_auprc,0.9999947004640763
auditorium,EF-PD,class_2_precision,0.9228758169934641
auditorium,EF-PD,class_2_recall,0.990645463049579
auditorium,EF-PD,class_2_f1,0.9555605684637942
auditorium,EF-PD,class_2_auroc,0.9998515241631841
auditorium,EF-PD,class_2_auprc,0.9964513359501583
auditorium,EF-PD,balanced_accuracy,0.9938530956955662
auditorium,UF-PD,accuracy,0.9669483778886091
auditorium,UF-PD,macro_f1,0.8231201985557184
auditorium,UF-PD,macro_auroc,0.991486072716406
auditorium,UF-PD,macro_auprc,0.9186496972024403
auditorium,UF-PD,nll,0.09608618493922223
auditorium,UF-PD,class_1_precision,0.9982010690789473
auditorium,UF-PD,class_1_recall,0.9675185572659791
auditorium,UF-PD,class_1_f1,0.9826203546763136
auditorium,UF-PD,class_1_auroc,0.991486072716406
auditorium,UF-PD,class_1_auprc,0.9996901639612505
auditorium,UF-PD,class_2_precision,0.5096515417397844
auditorium,UF-PD,class_2_recall,0.95088868101029
auditorium,UF-PD,class_2_f1,0.6636200424351232
auditorium,UF-PD,class_2_auroc,0.991486072716406
auditorium,UF-PD,class_2_auprc,0.8376092304436299
auditorium,UF-PD,balanced_accuracy,0.9592036191381346
auditorium,CAGF,accuracy,0.9957182032490338
auditorium,CAGF,macro_f1,0.9691634446565734
auditorium,CAGF,macro_auroc,0.9997138135235761
auditorium,CAGF,macro_auprc,0.9968206301030227
auditorium,CAGF,nll,0.010882620925865553
auditorium,CAGF,class_1_precision,0.9995666955536298
auditorium,CAGF,class_1_recall,0.9959979408492337
auditorium,CAGF,class_1_f1,0.9977791271220982
auditorium,CAGF,class_1_auroc,0.9997138135235761
auditorium,CAGF,class_1_auprc,0.9999897796257003
auditorium,CAGF,class_2_precision,0.8975775605609859
auditorium,CAGF,class_2_recall,0.9878391019644528
auditorium,CAGF,class_2_f1,0.9405477621910487
auditorium,CAGF,class_2_auroc,0.9997138135235762
auditorium,CAGF,class_2_auprc,0.9936514805803449
auditorium,CAGF,balanced_accuracy,0.9919185214068432
auditorium,ENT-PD,accuracy,0.9656012957647097
auditorium,ENT-PD,macro_f1,0.8186041512840293
auditorium,ENT-PD,macro_auroc,0.9908825770036653
auditorium,ENT-PD,macro_auprc,0.9126005419942653
auditorium,ENT-PD,nll,0.1011819614266444
auditorium,ENT-PD,class_1_precision,0.9983010708401977
auditorium,ENT-PD,class_1_recall,0.9660240123549046
auditorium,ENT-PD,class_1_f1,0.9818973592931108
auditorium,ENT-PD,class_1_auroc,0.9908825770036653
auditorium,ENT-PD,class_1_auprc,0.9996647622942052
auditorium,ENT-PD,class_2_precision,0.49914320685434516
auditorium,ENT-PD,class_2_recall,0.9536950420954162
auditorium,ENT-PD,class_2_f1,0.6553109432749478
auditorium,ENT-PD,class_2_auroc,0.9908825770036652
auditorium,ENT-PD,class_2_auprc,0.8255363216943253
auditorium,ENT-PD,balanced_accuracy,0.9598595272251604
auditorium,PDRF-NOQ,accuracy,0.9518097406866911
auditorium,PDRF-NOQ,macro_f1,0.7742605209908544
auditorium,PDRF-NOQ,macro_auroc,0.9832730641515188
auditorium,PDRF-NOQ,macro_auprc,0.8027627484679258
auditorium,PDRF-NOQ,nll,0.17600839940901392
auditorium,PDRF-NOQ,class_1_precision,0.9980327298050139
auditorium,PDRF-NOQ,class_1_recall,0.9519752901908035
auditorium,PDRF-NOQ,class_1_f1,0.9744600923006315
auditorium,PDRF-NOQ,class_1_auroc,0.9832730660932932
auditorium,PDRF-NOQ,class_1_auprc,0.999389876189813
auditorium,PDRF-NOQ,class_2_precision,0.411836485661989
auditorium,PDRF-NOQ,class_2_recall,0.9471468662301216
auditorium,PDRF-NOQ,class_2_f1,0.5740609496810772
auditorium,PDRF-NOQ,class_2_auroc,0.9832730622097445
auditorium,PDRF-NOQ,class_2_auprc,0.6061356207460388
auditorium,PDRF-NOQ,balanced_accuracy,0.9495610782104625
auditorium,RC-PDRF-NOQ,accuracy,0.9595875362830155
auditorium,RC-PDRF-NOQ,macro_f1,0.7965596593052908
auditorium,RC-PDRF-NOQ,macro_auroc,0.9845068054609717
auditorium,RC-PDRF-NOQ,macro_auprc,0.8113273808398473
auditorium,RC-PDRF-NOQ,nll,0.15512259518648228
auditorium,RC-PDRF-NOQ,class_1_precision,0.9977570351455339
auditorium,RC-PDRF-NOQ,class_1_recall,0.9603115295836863
auditorium,RC-PDRF-NOQ,class_1_f1,0.9786762341552573
auditorium,RC-PDRF-NOQ,class_1_auroc,0.9845068035191972
auditorium,RC-PDRF-NOQ,class_1_auprc,0.9994364848653
auditorium,RC-PDRF-NOQ,class_2_precision,0.45657116871305137
auditorium,RC-PDRF-NOQ,class_2_recall,0.9391955098222639
auditorium,RC-PDRF-NOQ,class_2_f1,0.6144430844553244
auditorium,RC-PDRF-NOQ,class_2_auroc,0.9845068074027462
auditorium,RC-PDRF-NOQ,class_2_auprc,0.6232182768143947
auditorium,RC-PDRF-NOQ,balanced_accuracy,0.9497535197029751
hospital,EF-PD,accuracy,0.8965340426554713
hospital,EF-PD,macro_f1,0.7113935241627616
hospital,EF-PD,macro_auroc,0.9826797932551355
hospital,EF-PD,macro_auprc,0.9052356990730945
hospital,EF-PD,nll,0.28979733660113827
hospital,EF-PD,class_1_precision,0.9012284761451032
hospital,EF-PD,class_1_recall,0.9878401312967419
hospital,EF-PD,class_1_f1,0.9425487805963111
hospital,EF-PD,class_1_auroc,0.9826797916634675
hospital,EF-PD,class_1_auprc,0.9974310085992121
hospital,EF-PD,class_2_precision,0.8206327372764787
hospital,EF-PD,class_2_recall,0.3394401456531634
hospital,EF-PD,class_2_f1,0.48023826772921197
hospital,EF-PD,class_2_auroc,0.9826797948468036
hospital,EF-PD,class_2_auprc,0.8130403895469771
hospital,EF-PD,balanced_accuracy,0.6636401384749526
hospital,UF-PD,accuracy,0.7749931898665214
hospital,UF-PD,macro_f1,0.44997151186914647
hospital,UF-PD,macro_auroc,0.34398497981463527
hospital,UF-PD,macro_auprc,0.4393047075846762
hospital,UF-PD,nll,0.9161763401312868
hospital,UF-PD,class_1_precision,0.8486284596818238
hospital,UF-PD,class_1_recall,0.8983569257166303
hospital,UF-PD,class_1_f1,0.8727849248052183
hospital,UF-PD,class_1_auroc,0.34398508168139197
hospital,UF-PD,class_1_auprc,0.7778556990171337
hospital,UF-PD,class_2_precision,0.03471484236627701
hospital,UF-PD,class_2_recall,0.02230314064633591
hospital,UF-PD,class_2_f1,0.027158098933074686
hospital,UF-PD,class_2_auroc,0.3439848779478785
hospital,UF-PD,class_2_auprc,0.10075371615221879
hospital,UF-PD,balanced_accuracy,0.4603300331814831
