held_out_building,seed,method,metric,value
auditorium,101,EF-PD,accuracy,0.9961993040075693
auditorium,101,EF-PD,macro_f1,0.972343556949554
auditorium,101,EF-PD,macro_auroc,0.9998054283809839
auditorium,101,EF-PD,macro_auprc,0.9976438975055208
auditorium,101,EF-PD,nll,0.00846345712296674
auditorium,101,EF-PD,class_1_precision,0.9994171717844534
auditorium,101,EF-PD,class_1_recall,0.996645576977366
auditorium,101,EF-PD,class_1_f1,0.9980294501583923
auditorium,101,EF-PD,class_1_auroc,0.9998054225556607
auditorium,101,EF-PD,class_1_auprc,0.9999930666283754
auditorium,101,EF-PD,class_2_precision,0.9123644251626898
auditorium,101,EF-PD,class_2_recall,0.9836295603367633
auditorium,101,EF-PD,class_2_f1,0.9466576637407157
auditorium,101,EF-PD,class_2_auroc,0.999805434206307
auditorium,101,EF-PD,class_2_auprc,0.9952947283826662
auditorium,101,EF-PD,balanced_accuracy,0.9901375686570646
auditorium,101,EF-PD,native_sensor_fault_recall,0.9836295603367633
auditorium,101,EF-PD,mean_temperature_group_weight_on_faults,0.0
auditorium,101,EF-PD,train_seconds,18.665635600002133
auditorium,101,EF-PD,inference_seconds,0.019955099996877834
auditorium,101,UF-PD,accuracy,0.966852157736902
auditorium,101,UF-PD,macro_f1,0.8225503325582904
auditorium,101,UF-PD,macro_auroc,0.9913408027491052
auditorium,101,UF-PD,macro_auprc,0.9208417632345717
auditorium,101,UF-PD,nll,0.09386855391825209
auditorium,101,UF-PD,class_1_precision,0.9981326023642282
auditorium,101,UF-PD,class_1_recall,0.9674853451568441
auditorium,101,UF-PD,class_1_f1,0.9825700528716829
auditorium,101,UF-PD,class_1_auroc,0.991340796923782
auditorium,101,UF-PD,class_1_auprc,0.9996825627466901
auditorium,101,UF-PD,class_2_precision,0.508903937797843
auditorium,101,UF-PD,class_2_recall,0.9490177736202058
auditorium,101,UF-PD,class_2_f1,0.662530612244898
auditorium,101,UF-PD,class_2_auroc,0.9913408085744284
auditorium,101,UF-PD,class_2_auprc,0.8420009637224533
auditorium,101,UF-PD,balanced_accuracy,0.958251559388525
auditorium,101,UF-PD,native_sensor_fault_recall,0.9490177736202058
auditorium,101,UF-PD,mean_temperature_group_weight_on_faults,0.40000003576278687
auditorium,101,UF-PD,train_seconds,30.198777199999313
auditorium,101,UF-PD,inference_seconds,0.030043799997656606
auditorium,101,CAGF,accuracy,0.9952050291065959
auditorium,101,CAGF,macro_f1,0.9655856885538225
auditorium,101,CAGF,macro_auroc,0.9996647876038243
auditorium,101,CAGF,macro_auprc,0.995924728610291
auditorium,101,CAGF,nll,0.011433774345010824
auditorium,101,CAGF,class_1_precision,0.9994332199773288
auditorium,101,CAGF,class_1_recall,0.9955993955396137
auditorium,101,CAGF,class_1_f1,0.9975126240568353
auditorium,101,CAGF,class_1_auroc,0.9996647876038242
auditorium,101,CAGF,class_1_auprc,0.999988071978558
auditorium,101,CAGF,class_2_precision,0.8881384550443225
auditorium,101,CAGF,class_2_recall,0.9840972871842844
auditorium,101,CAGF,class_2_f1,0.9336587530508098
auditorium,101,CAGF,class_2_auroc,0.9996647876038243
auditorium,101,CAGF,class_2_auprc,0.9918613852420239
