building,method,target_coverage,coverage,selective_error,fault_recall
auditorium,CAGF,0.5,0.5,0.0,1.0
auditorium,CAGF,0.7,0.6999144750908702,0.0,1.0
auditorium,CAGF,0.8,0.7999786187727176,0.0,1.0
auditorium,CAGF,0.9,0.8999358563181526,0.0007127583749109156,0.992
auditorium,CAGF,0.95,0.9499679281590764,0.0014629754670267836,0.950354609929078
auditorium,CAGF,1.0,1.0,0.013256360915116505,0.6929824561403509
auditorium,EF-PD,0.5,0.5,0.0,1.0
auditorium,EF-PD,0.7,0.6999144750908702,0.0,1.0
auditorium,EF-PD,0.8,0.7999786187727176,0.0,1.0
auditorium,EF-PD,0.9,0.8999358563181526,0.0,1.0
auditorium,EF-PD,0.95,0.9499679281590764,0.00011253657438670128,0.9923076923076923
auditorium,EF-PD,1.0,1.0,0.009300833867864067,0.8201754385964912
auditorium,ENT-PD,0.5,0.5,0.0,
auditorium,ENT-PD,0.7,0.6999144750908702,0.0,1.0
auditorium,ENT-PD,0.8,0.7999786187727176,0.00013363624214890457,1.0
auditorium,ENT-PD,0.9,0.8999358563181526,0.007365169874079314,0.9090909090909091
auditorium,ENT-PD,0.95,0.9499679281590764,0.014854827819041239,0.8758169934640523
auditorium,ENT-PD,1.0,1.0,0.03613427410733372,0.8421052631578947
auditorium,HGB-current,0.5,0.5,0.0,
auditorium,HGB-current,0.7,0.6999144750908702,0.00015274171376200574,0.9886363636363636
auditorium,HGB-current,0.8,0.7999786187727176,0.00013363624214890457,0.990990990990991
auditorium,HGB-current,0.9,0.8999358563181526,0.0008315514373961053,0.9777777777777777
auditorium,HGB-current,0.95,0.9499679281590764,0.0016880486158001862,0.9727891156462585
auditorium,HGB-current,1.0,1.0,0.015929014325422264,0.8991228070175439
auditorium,HGB-lag,0.5,0.5,0.0,1.0
auditorium,HGB-lag,0.7,0.6999144750908702,0.0,1.0
auditorium,HGB-lag,0.8,0.7999786187727176,0.00013363624214890457,0.990909090909091
auditorium,HGB-lag,0.9,0.8999358563181526,0.0003563791874554578,0.9739130434782609
auditorium,HGB-lag,0.95,0.9499679281590764,0.0016880486158001862,0.9444444444444444
auditorium,HGB-lag,1.0,1.0,0.012828736369467575,0.7587719298245614
auditorium,PDRF-NOQ,0.5,0.5,0.0,1.0
auditorium,PDRF-NOQ,0.7,0.6999144750908702,0.003054834275240559,1.0
auditorium,PDRF-NOQ,0.8,0.7999786187727176,0.00815181077108107,1.0
auditorium,PDRF-NOQ,0.9,0.8999358563181526,0.026847232121644082,1.0
auditorium,PDRF-NOQ,0.95,0.9499679281590764,0.04276389826693672,1.0
auditorium,PDRF-NOQ,1.0,1.0,0.06521274321146031,0.9736842105263158
auditorium,RC-PDRF-NOQ,0.5,0.5,0.0,1.0
auditorium,RC-PDRF-NOQ,0.7,0.6999144750908702,0.0010691919963341512,1.0
auditorium,RC-PDRF-NOQ,0.8,0.7999786187727176,0.0072163570760390705,1.0
auditorium,RC-PDRF-NOQ,0.9,0.8999358563181526,0.020076027559990495,1.0
auditorium,RC-PDRF-NOQ,0.95,0.9499679281590764,0.034886338059869404,0.9900497512437811
auditorium,RC-PDRF-NOQ,1.0,1.0,0.062005559119093445,0.9517543859649122
auditorium,UF-PD,0.5,0.5,0.0,1.0
auditorium,UF-PD,0.7,0.6999144750908702,0.0,1.0
auditorium,UF-PD,0.8,0.7999786187727176,0.0022718161165308226,0.9866666666666667
auditorium,UF-PD,0.9,0.8999358563181526,0.00950344499881206,0.9274193548387096
auditorium,UF-PD,0.95,0.9499679281590764,0.015642583839747926,0.89375
auditorium,UF-PD,1.0,1.0,0.03249946546931792,0.8377192982456141
hospital,CAGF,0.5,0.5,0.017944883571886394,0.9342723004694836
hospital,CAGF,0.7,0.6999572740867336,0.0215168625057226,0.8943820224719101
hospital,CAGF,0.8,0.7999359111301004,0.019361730538122623,0.8917102315160568
hospital,CAGF,0.9,0.8999145481734672,0.0189910979228487,0.8818316100443131
hospital,CAGF,0.95,0.9499038666951506,0.019903294726189125,0.8713662790697675
hospital,CAGF,1.0,1.0,0.029267250587481253,0.8173913043478261
hospital,EF-PD,0.5,0.5,0.0,1.0
hospital,EF-PD,0.7,0.6999572740867336,0.00015260186174270718,0.9991714995857498
hospital,EF-PD,0.8,0.7999359111301004,0.0010682334089998635,0.9934587080948487
hospital,EF-PD,0.9,0.8999145481734672,0.005459940652818962,0.963808025177026
hospital,EF-PD,0.95,0.9499038666951506,0.010795007309119531,0.9279279279279279
hospital,EF-PD,1.0,1.0,0.024353770561845733,0.8568561872909699
hospital,ENT-PD,0.5,0.5,0.0034180730613116994,0.9867768595041322
hospital,ENT-PD,0.7,0.6999572740867336,0.011750343354188897,0.939417781274587
hospital,ENT-PD,0.8,0.7999359111301004,0.014421151021498213,0.9174311926605505
hospital,ENT-PD,0.9,0.8999145481734672,0.02183976261127596,0.8682891911238368
hospital,ENT-PD,0.95,0.9499038666951506,0.026875070279995472,0.836637047163363
hospital,ENT-PD,1.0,1.0,0.028092287972655394,0.8247491638795986
hospital,HGB-current,0.5,0.5,0.0,1.0
hospital,HGB-current,0.7,0.6999572740867336,0.0006104074469708287,0.996661101836394
hospital,HGB-current,0.8,0.7999359111301004,0.00827880891974897,0.9515625
hospital,HGB-current,0.9,0.8999145481734672,0.013412462908011902,0.9154191616766467
hospital,HGB-current,0.95,0.9499038666951506,0.019565950747779115,0.8758029978586723
hospital,HGB-current,1.0,1.0,0.02681051057466355,0.8448160535117056
hospital,HGB-lag,0.5,0.5,0.0036317026276436737,0.9860082304526749
hospital,HGB-lag,0.7,0.6999572740867336,0.004120250267053205,0.9781553398058253
hospital,HGB-lag,0.8,0.7999359111301004,0.01001468820937379,0.9420849420849421
hospital,HGB-lag,0.9,0.8999145481734672,0.020415430267062273,0.8765254845656856
hospital,HGB-lag,0.95,0.9499038666951506,0.02170246261104236,0.8642149929278642
hospital,HGB-lag,1.0,1.0,0.029267250587481253,0.8214046822742475
hospital,PDRF-NOQ,0.5,0.5,0.021790215765862042,0.7577197149643705
hospital,PDRF-NOQ,0.7,0.6999572740867336,0.02212726995269343,0.7723704866562009
hospital,PDRF-NOQ,0.8,0.7999359111301004,0.025237014287621817,0.7371349095966621
hospital,PDRF-NOQ,0.9,0.8999145481734672,0.029673590504451064,0.7693726937269373
