building,method,metric,mean,std,count
auditorium,CAGF,recall_return_air_temperature_fault,0.6670391061452514,0.171263450389031,5
auditorium,CAGF,recall_supply_air_temperature_fault,0.9755102040816327,0.03650723228571083,5
auditorium,EF-PD,recall_return_air_temperature_fault,0.7854748603351955,0.0969720406477811,5
auditorium,EF-PD,recall_supply_air_temperature_fault,1.0,0.0,5
auditorium,ENT-PD,recall_return_air_temperature_fault,0.7832402234636872,0.1078516181448795,5
auditorium,ENT-PD,recall_supply_air_temperature_fault,0.9469387755102041,0.03095051201653693,5
auditorium,HGB-current,recall_return_air_temperature_fault,0.8726256983240223,0.024158378000491244,5
auditorium,HGB-current,recall_supply_air_temperature_fault,0.9836734693877552,0.009126808071427683,5
auditorium,HGB-lag,recall_return_air_temperature_fault,0.6849162011173184,0.04479736356811053,5
auditorium,HGB-lag,recall_supply_air_temperature_fault,0.9836734693877551,0.026608989408990442,5
auditorium,PDRF-NOQ,recall_return_air_temperature_fault,0.9653631284916202,0.009179707667684391,5
auditorium,PDRF-NOQ,recall_supply_air_temperature_fault,1.0,0.0,5
auditorium,RC-PDRF-NOQ,recall_return_air_temperature_fault,0.9329608938547486,0.011850951639997947,5
auditorium,RC-PDRF-NOQ,recall_supply_air_temperature_fault,1.0,0.0,5
auditorium,UF-PD,recall_return_air_temperature_fault,0.7966480446927374,0.03023992983849015,5
auditorium,UF-PD,recall_supply_air_temperature_fault,0.9795918367346939,0.0,5
hospital,CAGF,recall_return_air_temperature_fault,0.8320107599193006,0.024369940481187208,5
hospital,CAGF,recall_supply_air_temperature_fault,0.0,0.0,5
hospital,EF-PD,recall_return_air_temperature_fault,0.8618695359784802,0.019707659465307628,5
hospital,EF-PD,recall_supply_air_temperature_fault,0.0,0.0,5
hospital,ENT-PD,recall_return_air_temperature_fault,0.8282447881640888,0.0022100439442037448,5
hospital,ENT-PD,recall_supply_air_temperature_fault,0.0,0.0,5
hospital,HGB-current,recall_return_air_temperature_fault,0.8458641560188298,0.0026646419308888852,5
hospital,HGB-current,recall_supply_air_temperature_fault,0.675,0.3811987670494227,5
hospital,HGB-lag,recall_return_air_temperature_fault,0.826630800268998,0.001105021972101855,5
hospital,HGB-lag,recall_supply_air_temperature_fault,0.0,0.0,5
hospital,PDRF-NOQ,recall_return_air_temperature_fault,0.8215198386012105,0.0018169813162214206,5
hospital,PDRF-NOQ,recall_supply_air_temperature_fault,0.0,0.0,5
hospital,RC-PDRF-NOQ,recall_return_air_temperature_fault,0.819502353732347,0.0051786478300412326,5
hospital,RC-PDRF-NOQ,recall_supply_air_temperature_fault,0.0,0.0,5
hospital,UF-PD,recall_return_air_temperature_fault,0.8360457296570276,0.0038748783566611568,5
hospital,UF-PD,recall_supply_air_temperature_fault,0.0,0.0,5
office,CAGF,recall_return_air_temperature_fault,0.9658703071672357,0.049869075754957165,5
office,CAGF,recall_supply_air_temperature_fault,1.0,0.0,5
office,EF-PD,recall_return_air_temperature_fault,0.9938566552901025,0.008148352482125224,5
office,EF-PD,recall_supply_air_temperature_fault,1.0,0.0,5
office,ENT-PD,recall_return_air_temperature_fault,0.7924914675767918,0.07136289440920202,5
office,ENT-PD,recall_supply_air_temperature_fault,0.5320754716981132,0.11737608313204367,5
office,HGB-current,recall_return_air_temperature_fault,1.0,0.0,5
office,HGB-current,recall_supply_air_temperature_fault,1.0,0.0,5
office,HGB-lag,recall_return_air_temperature_fault,1.0,0.0,5
office,HGB-lag,recall_supply_air_temperature_fault,1.0,0.0,5
office,PDRF-NOQ,recall_return_air_temperature_fault,0.992491467576792,0.0015263262645050554,5
office,PDRF-NOQ,recall_supply_air_temperature_fault,0.9320754716981131,0.07733547747894035,5
office,RC-PDRF-NOQ,recall_return_air_temperature_fault,0.9645051194539249,0.01998846479774238,5
office,RC-PDRF-NOQ,recall_supply_air_temperature_fault,0.618867924528302,0.13031167282892084,5
office,UF-PD,recall_return_air_temperature_fault,0.7945392491467577,0.07091259917780256,5
office,UF-PD,recall_supply_air_temperature_fault,0.5094339622641509,0.08115401195323234,5
