building,seed,method,true,predicted,count
auditorium,101,EF-PD,0,0,9082
auditorium,101,EF-PD,0,1,44
auditorium,101,EF-PD,1,0,44
auditorium,101,EF-PD,1,1,184
auditorium,101,UF-PD,0,0,8815
auditorium,101,UF-PD,0,1,311
auditorium,101,UF-PD,1,0,35
auditorium,101,UF-PD,1,1,193
auditorium,101,CAGF,0,0,9019
auditorium,101,CAGF,0,1,107
auditorium,101,CAGF,1,0,15
auditorium,101,CAGF,1,1,213
auditorium,101,ENT-PD,0,0,8934
auditorium,101,ENT-PD,0,1,192
auditorium,101,ENT-PD,1,0,77
auditorium,101,ENT-PD,1,1,151
auditorium,101,PDRF-NOQ,0,0,8543
auditorium,101,PDRF-NOQ,0,1,583
auditorium,101,PDRF-NOQ,1,0,7
auditorium,101,PDRF-NOQ,1,1,221
auditorium,101,RC-PDRF-NOQ,0,0,8570
auditorium,101,RC-PDRF-NOQ,0,1,556
auditorium,101,RC-PDRF-NOQ,1,0,15
auditorium,101,RC-PDRF-NOQ,1,1,213
auditorium,101,HGB-current,0,0,9016
auditorium,101,HGB-current,0,1,110
auditorium,101,HGB-current,1,0,23
auditorium,101,HGB-current,1,1,205
auditorium,101,HGB-lag,0,0,9083
auditorium,101,HGB-lag,0,1,43
auditorium,101,HGB-lag,1,0,55
auditorium,101,HGB-lag,1,1,173
auditorium,102,EF-PD,0,0,9108
auditorium,102,EF-PD,0,1,18
auditorium,102,EF-PD,1,0,55
auditorium,102,EF-PD,1,1,173
auditorium,102,UF-PD,0,0,8833
auditorium,102,UF-PD,0,1,293
auditorium,102,UF-PD,1,0,32
auditorium,102,UF-PD,1,1,196
auditorium,102,CAGF,0,0,9029
auditorium,102,CAGF,0,1,97
auditorium,102,CAGF,1,0,73
auditorium,102,CAGF,1,1,155
auditorium,102,ENT-PD,0,0,8739
auditorium,102,ENT-PD,0,1,387
auditorium,102,ENT-PD,1,0,33
auditorium,102,ENT-PD,1,1,195
auditorium,102,PDRF-NOQ,0,0,8499
auditorium,102,PDRF-NOQ,0,1,627
auditorium,102,PDRF-NOQ,1,0,7
auditorium,102,PDRF-NOQ,1,1,221
auditorium,102,RC-PDRF-NOQ,0,0,8539
auditorium,102,RC-PDRF-NOQ,0,1,587
auditorium,102,RC-PDRF-NOQ,1,0,12
auditorium,102,RC-PDRF-NOQ,1,1,216
auditorium,102,HGB-current,0,0,8989
auditorium,102,HGB-current,0,1,137
auditorium,102,HGB-current,1,0,26
auditorium,102,HGB-current,1,1,202
auditorium,102,HGB-lag,0,0,9026
auditorium,102,HGB-lag,0,1,100
auditorium,102,HGB-lag,1,0,44
auditorium,102,HGB-lag,1,1,184
auditorium,103,EF-PD,0,0,9081
auditorium,103,EF-PD,0,1,45
auditorium,103,EF-PD,1,0,40
auditorium,103,EF-PD,1,1,188
auditorium,103,UF-PD,0,0,8891
auditorium,103,UF-PD,0,1,235
