building,method,metric,mean,std
auditorium,CAGF,balanced_accuracy,0.8606508875739646,0.06696854245592654
auditorium,CAGF,class_2_f1,0.6735928469212694,0.09481872040408117
auditorium,CAGF,class_2_precision,0.6662723064457359,0.1908623183858009
auditorium,CAGF,class_2_recall,0.7333333333333334,0.14002154343322754
auditorium,CAGF,macro_auprc,0.9065570637436726,0.03143121741596006
auditorium,CAGF,macro_auroc,0.990034353360939,0.004339079096746058
auditorium,CAGF,macro_f1,0.8320985524294402,0.04968748573601233
auditorium,EF-PD,balanced_accuracy,0.912918555428677,0.03695513420956496
auditorium,EF-PD,class_2_f1,0.8070314188588771,0.02730281656871938
auditorium,EF-PD,class_2_precision,0.7927118443733842,0.07618656506467278
auditorium,EF-PD,class_2_recall,0.8315789473684211,0.07613155822786316
auditorium,EF-PD,macro_auprc,0.957351889022249,0.010441751796763833
auditorium,EF-PD,macro_auroc,0.9964862057895122,0.0009921122249737695
auditorium,EF-PD,macro_f1,0.9010259639096987,0.014039288032822525
auditorium,ENT-PD,balanced_accuracy,0.8931794064385159,0.04285488417256037
auditorium,ENT-PD,class_2_f1,0.5294382063471151,0.03722842893037348
auditorium,ENT-PD,class_2_precision,0.3952629107499662,0.04427789514502149
auditorium,ENT-PD,class_2_recall,0.8184210526315789,0.09119221630129819
auditorium,ENT-PD,macro_auprc,0.8326619171877162,0.02314639442879377
auditorium,ENT-PD,macro_auroc,0.9804317527326974,0.0037240526334976405
auditorium,ENT-PD,macro_f1,0.7554354170289818,0.019976982156909344
auditorium,HGB-current,balanced_accuracy,0.9406738410786992,0.010143554437940088
auditorium,HGB-current,class_2_f1,0.7170198477674656,0.027688611935490662
auditorium,HGB-current,class_2_precision,0.5979861202884262,0.03495065388734206
auditorium,HGB-current,class_2_recall,0.8964912280701756,0.019761193554506677
auditorium,HGB-current,macro_auprc,0.9323588524764966,0.008685710463449124
auditorium,HGB-current,macro_auroc,0.9926662687290218,0.0011606550588469534
auditorium,HGB-current,macro_f1,0.8540491287324128,0.014394544463233842
auditorium,HGB-lag,balanced_accuracy,0.8708467421018028,0.017519090577696038
auditorium,HGB-lag,class_2_f1,0.732712263232942,0.026751162541879824
auditorium,HGB-lag,class_2_precision,0.7201044909156196,0.05466646892229533
auditorium,HGB-lag,class_2_recall,0.7491228070175439,0.03635327330719665
auditorium,HGB-lag,macro_auprc,0.9245652474263164,0.011206664711010155
auditorium,HGB-lag,macro_auroc,0.9916994917163608,0.0026738815591330995
auditorium,HGB-lag,macro_f1,0.8629294283883795,0.013806931158181095
auditorium,PDRF-NOQ,balanced_accuracy,0.9536618914149277,0.004267882822137031
auditorium,PDRF-NOQ,class_2_f1,0.42383046869779034,0.013462294790761688
auditorium,PDRF-NOQ,class_2_precision,0.2710041365180575,0.01086015899711689
auditorium,PDRF-NOQ,class_2_recall,0.9728070175438598,0.0072068757566469
auditorium,PDRF-NOQ,macro_auprc,0.8123842489607569,0.013092624009102011
auditorium,PDRF-NOQ,macro_auroc,0.9850097658127348,0.0012463964070583533
auditorium,PDRF-NOQ,macro_f1,0.6948194252823396,0.007636147685802777
auditorium,RC-PDRF-NOQ,balanced_accuracy,0.9426410371754501,0.005136109224628851
auditorium,RC-PDRF-NOQ,class_2_f1,0.4278998348241455,0.016059536719096885
auditorium,RC-PDRF-NOQ,class_2_precision,0.2764703675951378,0.01329485133926829
auditorium,RC-PDRF-NOQ,class_2_recall,0.9473684210526315,0.009304036594559806
auditorium,RC-PDRF-NOQ,macro_auprc,0.8090812852801875,0.014608437980967797
auditorium,RC-PDRF-NOQ,macro_auroc,0.9844580358413018,0.0015275491435908994
auditorium,RC-PDRF-NOQ,macro_f1,0.6976012316739297,0.00905316092364661
auditorium,UF-PD,balanced_accuracy,0.9031128528092092,0.010949720955043525
auditorium,UF-PD,class_2_f1,0.5531685148395944,0.020806095996019264
auditorium,UF-PD,class_2_precision,0.4139740090450455,0.024862915630916534
auditorium,UF-PD,class_2_recall,0.8359649122807017,0.023740997548639214
