building,seed,method,metric,value
auditorium,101,EF-PD,accuracy,0.9905922599957238
auditorium,101,EF-PD,macro_f1,0.9010980772114375
auditorium,101,EF-PD,macro_auroc,0.9956642578943524
auditorium,101,EF-PD,macro_auprc,0.9497689951682736
auditorium,101,EF-PD,nll,0.03141830362998593
auditorium,101,EF-PD,class_1_precision,0.995178610563226
auditorium,101,EF-PD,class_1_recall,0.995178610563226
auditorium,101,EF-PD,class_1_f1,0.995178610563226
auditorium,101,EF-PD,class_1_auroc,0.9956644981948626
auditorium,101,EF-PD,class_1_auprc,0.9998904125013026
auditorium,101,EF-PD,class_2_precision,0.8070175438596491
auditorium,101,EF-PD,class_2_recall,0.8070175438596491
auditorium,101,EF-PD,class_2_f1,0.8070175438596491
auditorium,101,EF-PD,class_2_auroc,0.9956640175938422
auditorium,101,EF-PD,class_2_auprc,0.8996475778352446
auditorium,101,EF-PD,balanced_accuracy,0.9010980772114375
auditorium,101,EF-PD,native_sensor_fault_recall,0.8070175438596491
auditorium,101,EF-PD,mean_temperature_group_weight_on_faults,0.0
auditorium,101,EF-PD,train_seconds,3.24278869999398
auditorium,101,EF-PD,inference_seconds,0.003614100001868792
auditorium,101,EF-PD,recall_return_air_temperature_fault,0.7541899441340782
auditorium,101,EF-PD,recall_supply_air_temperature_fault,1.0
auditorium,101,UF-PD,accuracy,0.9630104768013684
auditorium,101,UF-PD,macro_f1,0.7540372591506344
auditorium,101,UF-PD,macro_auroc,0.9805726649518822
auditorium,101,UF-PD,macro_auprc,0.8280725569756395
auditorium,101,UF-PD,nll,0.09617870693763934
auditorium,101,UF-PD,class_1_precision,0.996045197740113
auditorium,101,UF-PD,class_1_recall,0.9659215428446197
auditorium,101,UF-PD,class_1_f1,0.980752113929684
auditorium,101,UF-PD,class_1_auroc,0.9805726649518822
auditorium,101,UF-PD,class_1_auprc,0.9994975897137629
auditorium,101,UF-PD,class_2_precision,0.38293650793650796
auditorium,101,UF-PD,class_2_recall,0.8464912280701754
auditorium,101,UF-PD,class_2_f1,0.5273224043715847
auditorium,101,UF-PD,class_2_auroc,0.9805726649518822
auditorium,101,UF-PD,class_2_auprc,0.6566475242375163
auditorium,101,UF-PD,balanced_accuracy,0.9062063854573976
auditorium,101,UF-PD,native_sensor_fault_recall,0.8464912280701754
auditorium,101,UF-PD,mean_temperature_group_weight_on_faults,0.40000009536743164
auditorium,101,UF-PD,train_seconds,5.686418000012054
auditorium,101,UF-PD,inference_seconds,0.006179200005135499
auditorium,101,UF-PD,recall_return_air_temperature_fault,0.8100558659217877
auditorium,101,UF-PD,recall_supply_air_temperature_fault,0.9795918367346939
auditorium,101,CAGF,accuracy,0.986957451357708
auditorium,101,CAGF,macro_f1,0.8853271005498569
auditorium,101,CAGF,macro_auroc,0.997214917086712
auditorium,101,CAGF,macro_auprc,0.9596932689131423
auditorium,101,CAGF,nll,0.04049724535335682
auditorium,101,CAGF,class_1_precision,0.9983396059331414
auditorium,101,CAGF,class_1_recall,0.9882752575060267
auditorium,101,CAGF,class_1_f1,0.9932819383259912
auditorium,101,CAGF,class_1_auroc,0.997214917086712
auditorium,101,CAGF,class_1_auprc,0.9999301635618927
auditorium,101,CAGF,class_2_precision,0.665625
auditorium,101,CAGF,class_2_recall,0.9342105263157895
auditorium,101,CAGF,class_2_f1,0.7773722627737226
auditorium,101,CAGF,class_2_auroc,0.9972149170867121
auditorium,101,CAGF,class_2_auprc,0.9194563742643921
auditorium,101,CAGF,balanced_accuracy,0.9612428919109082
auditorium,101,CAGF,native_sensor_fault_recall,0.9342105263157895
auditorium,101,CAGF,mean_temperature_group_weight_on_faults,0.09587867558002472
auditorium,101,CAGF,train_seconds,7.894414599999436
auditorium,101,CAGF,inference_seconds,0.010542599993641488
