building,split,rows,normal,sensor_fault,start,end
auditorium,train,7658,6000,1658,2022-01-01 00:00:00,2022-08-31 12:00:00
auditorium,selection,1728,1500,228,2022-08-31 13:00:00,2022-10-08 20:00:00
auditorium,calibration,1524,1500,24,2022-10-08 21:00:00,2022-11-02 05:00:00
auditorium,test,9354,9126,228,2022-11-02 05:00:00,2022-12-31 23:00:00
hospital,train,11300,6000,5300,2023-01-01 00:00:00,2023-08-07 22:00:00
hospital,selection,2675,1500,1175,2023-08-07 23:00:00,2023-09-30 16:00:00
hospital,calibration,2318,1500,818,2023-09-30 16:00:00,2023-11-02 05:00:00
hospital,test,9362,7867,1495,2023-11-02 06:00:00,2023-12-21 23:00:00
office,train,11727,6000,5727,2023-12-01 05:00:00,2024-07-06 00:00:00
office,selection,3000,1500,1500,2024-07-06 02:00:00,2024-09-06 07:00:00
office,calibration,1755,1500,255,2024-09-06 08:00:00,2024-10-05 13:00:00
office,test,19115,18769,346,2024-10-05 13:00:00,2024-11-30 17:00:00
