method,metric,mean,std,count
CAGF,accuracy,0.9722652578039167,0.020202012426238734,15
CAGF,balanced_accuracy,0.9137097563379809,0.058584750394113566,15
CAGF,class_1_auprc,0.9886841171761079,0.01789148070321768,15
CAGF,class_1_auroc,0.9622645567660815,0.0423876075369889,15
CAGF,class_1_f1,0.9849231248553137,0.010918783671156871,15
CAGF,class_1_precision,0.9870173073150726,0.0142873518400594,15
CAGF,class_1_recall,0.9834228034568349,0.024867838983212945,15
CAGF,class_2_auprc,0.7977708072079962,0.2032691208242269,15
CAGF,class_2_auroc,0.9622505167423788,0.042410175704610434,15
CAGF,class_2_f1,0.7119936918269992,0.18815606979454189,15
CAGF,class_2_precision,0.6943227323177933,0.28788181012917424,15
CAGF,class_2_recall,0.843996709219127,0.12852595930041805,15
CAGF,inference_seconds,0.008771006666938775,0.0012845091771181824,15
CAGF,macro_auprc,0.893227462192052,0.09977270481206503,15
CAGF,macro_auroc,0.9622575367542301,0.04239888287786174,15
CAGF,macro_f1,0.8484584083411566,0.09715968150932137,15
CAGF,mean_temperature_group_weight_on_faults,0.07281689244652322,0.08891276419063099,15
CAGF,native_sensor_fault_recall,0.843996709219127,0.12852595930041805,15
CAGF,nll,0.09177476471766378,0.05284850782563442,15
CAGF,recall_return_air_temperature_fault,0.8216400577439291,0.15894851038648286,15
CAGF,recall_supply_air_temperature_fault,0.6585034013605442,0.4824810106790662,15
CAGF,train_seconds,7.2216361399972815,1.0972348794955817,15
EF-PD,accuracy,0.9805273481771267,0.009848985093442028,15
EF-PD,balanced_accuracy,0.9418009493466202,0.03921158020390884,15
EF-PD,class_1_auprc,0.9992232789102161,0.0013642548671768688,15
EF-PD,class_1_auroc,0.9946111704943922,0.00535296823305568,15
EF-PD,class_1_f1,0.9892986026141455,0.005829769237830572,15
EF-PD,class_1_precision,0.989717692123319,0.012215766705489803,15
EF-PD,class_1_recall,0.9890571785888054,0.010233792985825435,15
EF-PD,class_2_auprc,0.9247833622701763,0.06868058206109388,15
EF-PD,class_2_auroc,0.9946110560554557,0.0053529427013291105,15
EF-PD,class_2_f1,0.7861346350472938,0.12878524773272862,15
EF-PD,class_2_precision,0.7476762284620873,0.22276425065147543,15
EF-PD,class_2_recall,0.8945447201044349,0.08533124422558513,15
EF-PD,inference_seconds,0.003256213335165133,0.0005024010202834805,15
EF-PD,macro_auprc,0.9620033205901961,0.03416186591392209,15
EF-PD,macro_auroc,0.9946111132749239,0.0053529554647171905,15
EF-PD,macro_f1,0.8877166188307196,0.06445462726053783,15
EF-PD,mean_temperature_group_weight_on_faults,0.0,0.0,15
EF-PD,native_sensor_fault_recall,0.8945447201044349,0.08533124422558513,15
EF-PD,nll,0.09063331441975644,0.08286300613494703,15
EF-PD,recall_return_air_temperature_fault,0.8804003505345928,0.10370504911288878,15
EF-PD,recall_supply_air_temperature_fault,0.6666666666666666,0.4879500364742666,15
EF-PD,train_seconds,3.0962572333335023,0.5078001126991457,15
ENT-PD,accuracy,0.9704897912563072,0.008805213570577562,15
ENT-PD,balanced_accuracy,0.8902237461883611,0.03469906785270185,15
ENT-PD,class_1_auprc,0.9962579339627943,0.004946645096440334,15
ENT-PD,class_1_auroc,0.9708721206261307,0.012531847156313317,15
ENT-PD,class_1_f1,0.983964544780319,0.005173563536486864,15
ENT-PD,class_1_precision,0.9860546754063043,0.013716795460070492,15
ENT-PD,class_1_recall,0.9821691864663743,0.012875295676735305,15
ENT-PD,class_2_auprc,0.6767304685252497,0.20069051168940205,15
ENT-PD,class_2_auroc,0.970872131962876,0.0125318370275595,15
ENT-PD,class_2_f1,0.6665027972609231,0.1658888010757841,15
ENT-PD,class_2_precision,0.6133216314281366,0.26334836450890114,15
ENT-PD,class_2_recall,0.7982783059103478,0.07229468248765694,15
ENT-PD,inference_seconds,0.007534299998466546,0.0015672937711519236,15
ENT-PD,macro_auprc,0.836494201244022,0.09836063670738174,15
ENT-PD,macro_auroc,0.9708721262945034,0.012531842091922605,15
ENT-PD,macro_f1,0.8252336710206211,0.08216962267165537,15
ENT-PD,mean_temperature_group_weight_on_faults,0.32012746334075926,0.0902055840798876,15
ENT-PD,native_sensor_fault_recall,0.7982783059103478,0.07229468248765694,15
ENT-PD,nll,0.09275598518825746,0.02727931783467486,15
ENT-PD,recall_return_air_temperature_fault,0.8013254930681892,0.07199548660169314,15
ENT-PD,recall_supply_air_temperature_fault,0.4930047490694391,0.40638843469943414,15
ENT-PD,train_seconds,6.579999386668593,1.06443496721053,15
HGB-current,accuracy,0.9744347389049088,0.0066407326632952615,15
HGB-current,balanced_accuracy,0.9484361687317084,0.027562034866550632,15
HGB-current,class_1_auprc,0.9982916568827915,0.0023093563299864638,15
HGB-current,class_1_auroc,0.9889282751198972,0.00842530545857353,15
HGB-current,class_1_f1,0.9861473827087431,0.003726157867495934,15
HGB-current,class_1_precision,0.9895606072837114,0.013415777553417722,15
HGB-current,class_1_recall,0.9830586505147186,0.012883349483808822,15
HGB-current,class_2_auprc,0.8667165292879911,0.08755326907990052,15
HGB-current,class_2_auroc,0.9889282751198972,0.008425305458573564,15
HGB-current,class_2_f1,0.7182311331235659,0.16139142085142105,15
HGB-current,class_2_precision,0.646864530221126,0.26654194137225656,15
HGB-current,class_2_recall,0.9138136869486984,0.06758217474178234,15
HGB-current,macro_auprc,0.9325040930853913,0.043065848950774026,15
HGB-current,macro_auroc,0.9889282751198972,0.008425305458573566,15
HGB-current,macro_f1,0.8521892579161545,0.08091838883236896,15
HGB-current,native_sensor_fault_recall,0.9138136869486984,0.06758217474178234,15
HGB-current,nll,0.0857906609907042,0.03174322639605433,15
HGB-current,recall_return_air_temperature_fault,0.9061632847809508,0.0708082566647303,15
HGB-current,recall_supply_air_temperature_fault,0.8862244897959184,0.25591125298744644,15
HGB-current,train_seconds,0.6620388866673844,0.46474634134177617,15
HGB-lag,accuracy,0.974959907415644,0.008705215766570903,15
HGB-lag,balanced_accuracy,0.9216252477338127,0.04919838890924463,15
HGB-lag,class_1_auprc,0.9965945193356291,0.005426802316629682,15
HGB-lag,class_1_auroc,0.9839856739309362,0.01616085674098931,15
HGB-lag,class_1_f1,0.986394134096926,0.00497614452889028,15
HGB-lag,class_1_precision,0.9870023687382922,0.014684467434348893,15
HGB-lag,class_1_recall,0.9861404405086003,0.014300970593498847,15
HGB-lag,class_2_auprc,0.8465867611332064,0.08835441279647208,15
HGB-lag,class_2_auroc,0.9839856739309362,0.01616085674098931,15
HGB-lag,class_2_f1,0.720000777064763,0.15794359991507453,15
HGB-lag,class_2_precision,0.6904335209915808,0.2703780011283052,15
HGB-lag,class_2_recall,0.8571100549590251,0.11076873461803814,15
HGB-lag,macro_auprc,0.9215906402344178,0.04271692696433129,15
HGB-lag,macro_auroc,0.9839856739309362,0.016160856740989302,15
HGB-lag,macro_f1,0.8531974555808444,0.07908910878279023,15
HGB-lag,native_sensor_fault_recall,0.8571100549590251,0.11076873461803814,15
HGB-lag,nll,0.08269283304578011,0.035850109528724125,15
HGB-lag,recall_return_air_temperature_fault,0.8371823337954388,0.13550477368209513,15
HGB-lag,recall_supply_air_temperature_fault,0.6612244897959184,0.4842248766672727,15
HGB-lag,train_seconds,0.6991021400007109,0.27301313241147696,15
PDRF-NOQ,accuracy,0.9415207907267589,0.02299988405104318,15
PDRF-NOQ,balanced_accuracy,0.9374671959945168,0.02154677229030995,15
PDRF-NOQ,class_1_auprc,0.9936459957591216,0.008614943761644537,15
PDRF-NOQ,class_1_auroc,0.9627436929946979,0.021290240605792366,15
PDRF-NOQ,class_1_f1,0.9684434659892791,0.011522840455423289,15
PDRF-NOQ,class_1_precision,0.9884505422178268,0.016131254513062018,15
PDRF-NOQ,class_1_recall,0.9505451394613966,0.037182801019693415,15
PDRF-NOQ,class_2_auprc,0.6463245100883681,0.20317251798474695,15
PDRF-NOQ,class_2_auroc,0.9627436646528343,0.021290277190543543,15
PDRF-NOQ,class_2_f1,0.5424997419385452,0.26628071752765126,15
PDRF-NOQ,class_2_precision,0.483706438301514,0.37993052058822285,15
PDRF-NOQ,class_2_recall,0.9243892525276369,0.07896419513654421,15
PDRF-NOQ,inference_seconds,0.008124846666275214,0.0020283704407274127,15
PDRF-NOQ,macro_auprc,0.8199852529237449,0.09777874986205888,15
PDRF-NOQ,macro_auroc,0.9627436788237662,0.021290258898112625,15
PDRF-NOQ,macro_f1,0.7554716039639121,0.1387602189025622,15
PDRF-NOQ,mean_temperature_group_weight_on_faults,0.36601505279541013,0.06114694697986938,15
PDRF-NOQ,native_sensor_fault_recall,0.9243892525276369,0.07896419513654421,15
PDRF-NOQ,nll,0.14574769100808685,0.010890754706593127,15
PDRF-NOQ,recall_return_air_temperature_fault,0.9264581448898741,0.07782297696312077,15
PDRF-NOQ,recall_supply_air_temperature_fault,0.6440251572327044,0.47405699489955394,15
PDRF-NOQ,train_seconds,8.601497826669947,1.4208914363401848,15
RC-PDRF-NOQ,accuracy,0.9418481283910164,0.0231828440273102,15
RC-PDRF-NOQ,balanced_accuracy,0.9214970958547372,0.018740279959600776,15
RC-PDRF-NOQ,class_1_auprc,0.9927372329228571,0.00990786734668416,15
RC-PDRF-NOQ,class_1_auroc,0.96047404838378,0.023024326964092283,15
RC-PDRF-NOQ,class_1_f1,0.9686436078314713,0.011624630651590835,15
RC-PDRF-NOQ,class_1_precision,0.9876280523295129,0.015800205650451742,15
RC-PDRF-NOQ,class_1_recall,0.9516454678593285,0.036722734457661936,15
RC-PDRF-NOQ,class_2_auprc,0.6408086262969725,0.20682842820380787,15
RC-PDRF-NOQ,class_2_auroc,0.9604740710572709,0.023024297610315974,15
RC-PDRF-NOQ,class_2_f1,0.5370304723137825,0.27143963873650084,15
RC-PDRF-NOQ,class_2_precision,0.4818366480929417,0.38209099582180805,15
RC-PDRF-NOQ,class_2_recall,0.8913487238501457,0.061001872504536064,15
RC-PDRF-NOQ,inference_seconds,0.00827470000270599,0.001671415433196403,15
RC-PDRF-NOQ,macro_auprc,0.8167729296099148,0.0990361015074,15
RC-PDRF-NOQ,macro_auroc,0.9604740597205254,0.023024312287168343,15
RC-PDRF-NOQ,macro_f1,0.752837040072627,0.14133975479092314,15
RC-PDRF-NOQ,mean_temperature_group_weight_on_faults,0.36497160196304324,0.06121119543899705,15
RC-PDRF-NOQ,native_sensor_fault_recall,0.8913487238501457,0.061001872504536064,15
RC-PDRF-NOQ,nll,0.14156764961969764,0.012096122321290809,15
RC-PDRF-NOQ,recall_return_air_temperature_fault,0.9056561223470069,0.0656959136383083,15
RC-PDRF-NOQ,recall_supply_air_temperature_fault,0.539622641509434,0.43218904097194055,15
RC-PDRF-NOQ,train_seconds,9.88389930666405,1.660008385350699,15
UF-PD,accuracy,0.9693386022124263,0.007272926748978945,15
UF-PD,balanced_accuracy,0.8931592406195791,0.027555028760785943,15
UF-PD,class_1_auprc,0.9959374821437315,0.0051352052947175935,15
UF-PD,class_1_auroc,0.9671082562630194,0.012970843024117003,15
UF-PD,class_1_f1,0.9832771971601549,0.004780749883799751,15
UF-PD,class_1_precision,0.9865954905616405,0.013165850113040719,15
UF-PD,class_1_recall,0.9801838576863788,0.0093281518211678,15
UF-PD,class_2_auprc,0.6873631845277022,0.17759340380324562,15
UF-PD,class_2_auroc,0.9671082402429855,0.012970824145980024,15
UF-PD,class_2_f1,0.6599212434309627,0.16188355320163214,15
UF-PD,class_2_precision,0.593915501928559,0.2516800267518705,15
UF-PD,class_2_recall,0.8061346235527794,0.05686763877071829,15
UF-PD,inference_seconds,0.007052773334241162,0.0017249872011300825,15
UF-PD,macro_auprc,0.8416503333357167,0.08652650231236907,15
UF-PD,macro_auroc,0.9671082482530025,0.012970833585014887,15
UF-PD,macro_f1,0.8215992202955588,0.07931609514783389,15
UF-PD,mean_temperature_group_weight_on_faults,0.3600669503211975,0.05845611693246128,15
UF-PD,native_sensor_fault_recall,0.8061346235527794,0.05686763877071829,15
UF-PD,nll,0.10295370852327479,0.021665437160213304,15
UF-PD,recall_return_air_temperature_fault,0.8090776744988409,0.04574615251856007,15
UF-PD,recall_supply_air_temperature_fault,0.49634193299961493,0.4163300390954037,15
UF-PD,train_seconds,5.096839093331558,0.7279706103862712,15
