dataset,task,seed,method,parameters,train_seconds,epochs,inference_ms_per_observation
chemical,gas_class,101,CAGF,26588,9.89020020001044,25,0.0013789413377075386
chemical,gas_class,101,RO-CAGF,26588,11.7855727999995,25,0.001402268561333551
chemical,gas_class,101,PDRF,19740,13.978709599992726,29,0.0013467231906507007
chemical,gas_class,101,RO-PDRF,19740,16.04521539999405,29,0.0016053620527718665
chemical,gas_class,102,CAGF,26588,7.205882499998552,19,0.0009491750669574295
chemical,gas_class,102,RO-CAGF,26588,8.808527100001811,19,0.0007881301548673433
chemical,gas_class,102,PDRF,19740,8.51998640000238,20,0.0007952795601701731
chemical,gas_class,102,RO-PDRF,19740,10.717777199999546,20,0.0013914069671243153
chemical,gas_class,103,CAGF,26588,6.803906100001768,19,0.0007110678268157758
chemical,gas_class,103,RO-CAGF,26588,8.027465699997265,18,0.0008574014662006933
chemical,gas_class,103,PDRF,19740,7.605198000004748,18,0.0008629697545621063
chemical,gas_class,103,RO-PDRF,19740,8.97973490000004,18,0.0009523602191063872
chemical,gas_class,104,CAGF,26588,8.519399600001634,24,0.0010124656278298575
chemical,gas_class,104,RO-CAGF,26588,6.719679800007725,16,0.0008332722266381785
chemical,gas_class,104,PDRF,19740,10.28411779999442,26,0.000862855179904167
chemical,gas_class,104,RO-PDRF,19740,12.331364399986342,26,0.0009494958726651233
chemical,gas_class,105,CAGF,26588,7.199800500005949,21,0.00103863427963101
chemical,gas_class,105,RO-CAGF,26588,6.671364199995878,16,0.0009628780926763413
chemical,gas_class,105,PDRF,19740,7.822762600000715,18,0.0007953483049649366
chemical,gas_class,105,RO-PDRF,19740,14.563924899994163,29,0.0013831118252457014
chemical,gas_class,106,CAGF,26588,11.352925099999993,33,0.0010518331801895253
chemical,gas_class,106,RO-CAGF,26588,9.421507799997926,21,0.0010898487615891186
chemical,gas_class,106,PDRF,19740,11.275339900006657,19,0.0017951649872598508
chemical,gas_class,106,RO-PDRF,19740,12.146608299997752,19,0.001266292394332009
chemical,gas_class,107,CAGF,26588,7.401026099993032,18,0.0009067827669699189
chemical,gas_class,107,RO-CAGF,26588,10.75154620000103,18,0.0012856095316064373
chemical,gas_class,107,PDRF,19740,7.50599050000892,19,0.0017034142981001666
chemical,gas_class,107,RO-PDRF,19740,11.8030723999982,25,0.0006900779095390431
chemical,gas_class,108,CAGF,26588,14.642429499988793,34,0.0015627864366661891
chemical,gas_class,108,RO-CAGF,26588,16.962751899991417,26,0.0017541475698294666
chemical,gas_class,108,PDRF,19740,26.800575799992657,41,0.0018261915678777292
chemical,gas_class,108,RO-PDRF,19740,32.933015900009195,41,0.0014997021068435155
chemical,gas_class,109,CAGF,26588,9.312620900003822,18,0.001476260308559564
chemical,gas_class,109,RO-CAGF,26588,10.573861900003976,16,0.0018521998184923027
