dataset,task,seed,method,environment,fault_type,group,scale,prevalence,subset,metric,value
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,all,accuracy,0.5368927589367553
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,all,macro_f1,0.5050382848140348
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,all,macro_auroc,0.8304232666794215
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,all,macro_auprc,0.5682411243262805
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,all,nll,1.7390871063757154
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,all,brier,0.6661484905839116
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,all,ece15,0.2162604076151013
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,affected,accuracy,0.4982598607888631
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,affected,macro_f1,0.45939639653817593
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,affected,macro_auroc,0.8161756935693926
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,affected,macro_auprc,0.5378762824077986
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,affected,nll,1.9005607317618278
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,affected,brier,0.7042119728879995
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,affected,ece15,0.23784228633838572
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,unaffected,accuracy,0.5621212121212121
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,unaffected,macro_f1,0.5346146182717114
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,unaffected,macro_auroc,0.8410688354968695
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,unaffected,macro_auprc,0.590301655486298
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,unaffected,nll,1.6336399358584206
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,unaffected,brier,0.6412918832004846
chemical,gas_class,101,CAGF,type:silent_gaussian,silent_gaussian,1,,0.4,unaffected,ece15,0.20216677718316062
chemical,gas_class,101,CAGF,type:gain_loss,gain_loss,1,,0.4,all,accuracy,0.5407882676443629
chemical,gas_class,101,CAGF,type:gain_loss,gain_loss,1,,0.4,all,macro_f1,0.5339674822272942
chemical,gas_class,101,CAGF,type:gain_loss,gain_loss,1,,0.4,all,macro_auroc,0.8306270084007243
chemical,gas_class,101,CAGF,type:gain_loss,gain_loss,1,,0.4,all,macro_auprc,0.5691444606173318
